experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,gamma,clfs,run,clf_nhid,clf_nlay,clf_kpru,epochs,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg,train_sharp_mag_toagg,train_var_grad_toagg,train_path_norm_toagg,train_y_pred_ent_toagg
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,1,128,1,0,best,0.4206,-6.715956229427366,0.9928222222222224,-0.020502982662015317,,,,
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,0,128,1,0,best,0.4101,-6.8731548728067935,0.9933777777777778,-0.02040901513543604,,,,
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.3472,-6.7376149459517105,0.9874444444444443,-0.03897190653409505,,,,
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.3813,-6.327963764179615,0.9888222222222224,-0.036803347121781,,,,
QminimalityBatch,cifar10,b64,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.3604,-6.454322171152325,0.9876666666666668,-0.03813891458478566,,,,
QminimalityBatch,cifar10,b16,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,-0.1,default,2,128,1,0,best,0.4273,-8.519673158635229,0.9970444444444444,-0.008390359536536234,,,,
QminimalityBatch,cifar10,b16,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,-0.1,default,0,128,1,0,best,0.4151,-8.581940643914344,0.9960666666666668,-0.010605071615458914,,,,
QminimalityBatch,cifar10,b16,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,-0.1,default,1,128,1,0,best,0.3958,-8.896745810344235,0.9953111111111111,-0.013887688703553449,,,,
QminimalityBatch,cifar10,b16,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.3298,-6.94217343266984,0.9932666666666666,-0.035444236853095085,,,,
QminimalityBatch,cifar10,b16,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.3346,-7.015867815993928,0.9903333333333332,-0.037671806517154495,,,,
