experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,run,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg,train_sharp_mag_toagg,train_var_grad_toagg,train_path_norm_toagg,train_y_pred_ent_toagg,train_d_H_Q_xCz_toagg,train_H_Q_xCz_further_toagg,train_H_Q_xCz_toagg,train_d_H_Q_xCz_nofreeze_toagg,train_d_H_Q_xCz_maxep_toagg,train_d_H_Q_xCz_minep_toagg,train_H_Q_xCzy_toagg,test_d_H_Q_xCz_test_toagg,train_d_H_Qm_xCz_toagg,train_d_H_Qp_xCz_toagg
corrResnetsBob,svhn,all,False,False,decay,adam,5e-05,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,2,128,2,0,0,best,0.8899815611555009,-0.9570690915968404,0.9999848326280504,-2.1111448019382767e-05,1213181.9210507732,,4771.78499096512,3.214390744687989e-05,13.212158565373384,,16.022007476451787,,,,,,16.05698955151462,14.80145852140678
corrResnetsBob,svhn,all,False,False,decay,adam,5e-05,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,3,128,2,0,0,best,0.8886754763368162,-0.937184751171303,0.9999848326280504,-2.1282093088543107e-05,1193046.4711111109,,5223.3539033843,3.2600783015368506e-05,13.203195867612381,,16.01762244498083,,,,,,16.062736097232314,14.793825999710913
corrResnetsBob,svhn,all,False,False,decay,adam,5e-05,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,1,128,2,0,0,best,0.8827980946527351,-1.021124220851168,0.9999848326280504,-2.1220709262285625e-05,1135558.8065305045,,6334.905839868498,3.265680788899772e-05,13.205102425213008,,16.025627261908483,,,,,,16.060852494350698,15.016583265260211
corrResnetsBob,svhn,all,False,False,decay,adam,5e-05,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,0,128,2,0,0,best,0.8864090350338045,-0.9673428922957332,0.9999848326280504,-2.1109264879255866e-05,1117317.19458897,,5628.692565774046,3.2077183277579024e-05,13.180124696835067,,16.013731690340265,,,,,,16.056637120801348,14.79357805178147
corrResnetsBob,svhn,all,False,False,decay,adam,5e-05,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,4,128,2,0,0,best,0.8839121081745543,-1.0055948953677998,0.9999848326280504,-2.141617828085732e-05,1369568.6530612244,,5708.599477980566,3.177673352183774e-05,13.198627878529155,,16.02102346937786,,,,,,16.060065483862115,15.03301941331967
corrResnetsBob,svhn,all,False,False,decay,adam,5e-05,last,0,erm,0,resnet50,128,2,0,128,2,0,1,0,1024,0,3,default,0,128,2,0,0,best,0.8786109403810695,-1.05232065240176,0.9999848326280504,-2.2031093862835896e-05,3827103.850300735,,7160353.077649732,3.356970046297647e-05,13.2118499519289,,16.05260874134626,,,,,,16.063372027966402,15.688536377840267
corrResnetsBob,svhn,all,False,False,decay,adam,5e-05,last,0,erm,0,resnet50,128,2,0,128,2,0,1,0,1024,0,3,default,1,128,2,0,0,best,0.8733097725875845,-1.1326840790813115,0.9999848326280504,-2.2177695238196103e-05,2823778.629848784,,6151746.796141728,3.4857523132814094e-05,13.22357757331789,,16.058513641357422,,,,,,16.067260239475456,15.880392762117607
corrResnetsBob,svhn,all,False,False,decay,adam,5e-05,last,0,erm,0,resnet50,128,2,0,128,2,0,1,0,1024,0,3,default,4,128,2,0,0,best,0.8828365089121082,-1.048160670023368,0.9999848326280504,-2.177035423119746e-05,2464035.165692567,,6315432.313943361,3.5990025935461745e-05,13.217276100040404,,16.052442565444828,,,,,,16.06654511680899,15.77071449368499
corrResnetsBob,svhn,all,False,False,decay,adam,5e-05,last,0,erm,0,resnet50,128,2,0,128,2,0,1,0,1024,0,3,default,3,128,2,0,0,best,0.8759219422249539,-1.073759730616375,0.9999848326280504,-2.1473728562039734e-05,3054198.966044445,,6679934.949010207,3.4112410503439605e-05,13.229389412458554,,16.056677115980047,,,,,,16.06734848022461,15.82232155910758
corrResnetsBob,svhn,all,False,False,decay,adam,5e-05,last,0,erm,0,resnet50,128,2,0,128,2,0,1,0,1024,0,3,default,2,128,2,0,0,best,0.8825676090964967,-1.0491506484915587,0.9999848326280504,-2.159255171287298e-05,3314017.975308642,,5515478.454055641,3.360183836775832e-05,13.22301885323931,,16.049332448678427,,,,,,16.063240435696386,15.656425601752227
corrResnetsBob,svhn,all,False,False,decay,adam,5e-05,last,0,erm,0,resnet34,128,2,0,128,2,0,1,0,1024,0,3,default,2,128,2,0,0,best,0.8959357713583282,-0.9394737626896844,0.9999848326280504,-2.113707041593425e-05,1588375.479289941,,32786.430363795334,3.1307583412854e-05,13.169876261274945,,16.039237828217736,,,,,,16.064556713252106,15.182557438695154
corrResnetsBob,svhn,all,False,False,decay,adam,5e-05,last,0,erm,0,resnet34,128,2,0,128,2,0,1,0,1024,0,3,default,3,128,2,0,0,best,0.8959741856177013,-0.9651391092146894,0.9999848326280504,-2.1181034126135195e-05,1788824.3631820076,,36452.247338127185,3.1487630621995784e-05,13.211374992548034,,16.037498474121097,,,,,,16.063894981561706,15.231242593868759
