data,encoder,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_loglike_mean,train_loglike_std,train_sharp_mag_mean,train_sharp_mag_std,train_path_norm_mean,train_path_norm_std,train_y_pred_ent_mean,train_y_pred_ent_std,train_d_H_Q_xCz_mean,train_d_H_Q_xCz_std,train_H_Q_xCz_mean,train_H_Q_xCz_std,train_d_H_Qm_xCz_mean,train_d_H_Qm_xCz_std,train_d_H_Qp_xCz_mean,train_d_H_Qp_xCz_std,run_count
cifar10,resnet101,0.58994,0.004899285662216456,-3.6177893373021432,0.0969958210079436,1.0,-2.240379410942713e-06,3.435619295126459e-07,24188519.628915925,4098030.594220156,729284562.2318299,274179381.76716465,2.6550126858637668e-05,1.6737669886848518e-06,12.197236778519372,0.007801392845253241,15.52214747992429,0.0032946537824829173,15.548834111473777,0.002657579555382598,15.272473157535899,0.0887714571815086,5
cifar10,resnet18,0.57612,0.004884874614562805,-4.1629977113599255,0.11154345548589858,1.0,-1.6538973148120323e-07,3.451149057497295e-08,4687571.748643203,266030.62279978406,11138.792256583807,437.16110398313583,3.604914445531904e-06,7.096002517826935e-07,12.114353346824647,0.0320025965137492,15.435560196096247,0.01890675063539253,15.538631957227533,0.003283502824976807,14.233480813286523,0.29347184527360476,5
cifar10,resnet34,0.55332,0.005295469761975797,-4.666922370132186,0.08328243587601328,1.0,-1.65760176421246e-07,2.4518627049369924e-08,8489015.809085371,1106691.7065803849,170043.2592001653,8614.578616029326,3.0829120532871456e-06,4.4976559580011504e-07,12.172203237360174,0.007542915439672235,15.50460505919023,0.007174712081381129,15.545112943649292,0.0031414815595252827,14.646501354737717,0.12862634034215373,5
cifar10,resnet50,0.5868,0.007081666470542112,-3.720907196542291,0.09739331717156904,1.0,-1.128193030063345e-06,2.1323022863079075e-07,12435352.590386469,1272733.8796617682,35292576.268680505,4311225.875125087,1.6487267930642702e-05,2.5299634055335385e-06,12.195083592154763,0.009989725529821827,15.518642176281322,0.008907999380373448,15.547895895351065,0.0027766999386719935,15.246084410494024,0.1035959144281032,5
svhn,resnet101,0.8796865396435157,0.0075775960639245165,-1.0254368942608443,0.07477270992852883,0.9999848326280503,-2.5810920047953126e-05,9.40407379222875e-06,4525038.029208252,301582.6658480036,111242259.61581703,6123107.492194789,4.596623184625059e-05,2.221749888148913e-05,13.216445984951283,0.015572707915634797,16.057213169659757,0.0013338974035255614,16.068286233354904,0.00014890500687247387,15.850095698630161,0.039934709369303246,5
svhn,resnet18,0.8863552550706822,0.0030478997614798837,-0.9776631702565688,0.034778480455412694,0.9999848326280503,-2.1227938706064934e-05,1.2852301036211416e-07,1205734.6092685168,99750.09738929296,5533.467355594506,582.7463262110114,3.2251083030132574e-05,3.720342478786195e-07,13.1998418867126,0.012050564498805665,16.020002468611846,0.004519069905628893,16.05945614955222,0.0026033705488723974,14.887693050295805,0.12533703503642402,5
svhn,resnet34,0.8958973570989551,0.0038388320990841917,-0.9410345624238214,0.03337858699818209,0.9999848326280503,-2.1184819399101995e-05,1.0713492156979522e-07,1626486.9847115404,136430.74423024952,35216.78864707214,2591.2913256355178,3.165761154377833e-05,2.863177201520389e-07,13.19886013740717,0.02242373835413938,16.041311945656474,0.002846589389518917,16.064497615015785,0.0010757164525639269,15.347759047219919,0.15649005291861418,5
svhn,resnet50,0.8786493546404426,0.004148384309457242,-1.0712151561228747,0.03591746596787963,0.9999848326280503,-2.1809084721428438e-05,2.9411397461177986e-07,3096626.9174390347,514119.1654088676,6364589.118160134,612656.1918392837,3.4426299680490044e-05,1.0177448793076386e-06,13.221022378197011,0.006683752701603203,16.053914902561395,0.0036623400572092014,16.065553260034367,0.0020752893748708728,15.763678158900536,0.092547630000613,5
