experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,gamma,clfs,run,,epochs,test_I_xz_toagg,train_I_xz_toagg,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_DIQ_xz_toagg,train_d_DIQ_xz_toagg,train_H_zCx_toagg,test_H_zCx_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_DIQ_xzCy_toagg,train_acc_toagg,test_acc_toagg,train_loss_toagg,test_loss_toagg,train_loglike_toagg,test_loglike_toagg,train_H_Q_xCz_toagg,train_d_H_Q_xCz_toagg,train_H_Q_xCzy_toagg,train_h_acc_toagg,train_h_delta_acc_toagg,train_z_norm_toagg,test_z_norm_toagg
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,1,transformer,best,,,3.321867685426365,-3.080260121822357,,2.338562884114005,,,6.0336902854694266e-05,6.40218814611435,,1.0,0.4681,,,-4.182303866080572e-05,-4.463757894244557,,9.89933930201964,,,0.20450446851325746,13.985470733859325,13.946556854248048
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,transformer,best,,,3.3218844709071247,-3.08038067817688,,3.9878627793355417,,,4.3545579253325485e-05,6.402308702468872,,1.0,0.4676,,,-3.0181445025426972e-05,-4.447908820979203,,8.250031980601223,,,0.3131143465909091,7.442174686626955,7.391057026386262
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,2,transformer,best,,,3.3218868144533853,-3.3179958939552305,,3.4258313246748666,,,4.1203604413650204e-05,6.639923918247223,,1.0,0.4629,,,-2.8558475496949933e-05,-4.6045602024412045,,8.812088809230113,,,0.27537568063446977,8.310659977522763,8.280089271068572
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,1,transformer,best,,,3.3155574026432904,-1.1124421000480649,,0.6305693868886341,,,0.006370623035102405,4.434370124340059,,1.0,0.45,,,-0.004416178717449736,-3.0973298170347605,,11.607333118265323,,,0.08574455492424246,2.514594764872031,2.5016840755939485
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,2,transformer,best,,,3.3157173950563776,-1.114836478233337,,0.5577921169725332,,,0.006210622753397646,4.43676450252533,,1.0,0.4409,,,-0.004305168434583422,-3.0822927964040066,,11.680128157138824,,,0.0766887133049243,2.4190183823758904,2.4061833202838896
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,0,transformer,best,,,3.3154028464447367,-0.9721772491931916,,0.6505770652808927,,,0.006525174410357563,4.294105273485184,,1.0,0.4494,,,-0.004522534954370282,-3.0111151989516745,,11.587317927317185,,,0.0834787079782197,2.4778100374070084,2.465543842315674
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,0,transformer,best,,,3.192697771570899,0.2306567132472992,,0.02859971374908293,,,0.12923025877468966,3.0912713110446934,,1.0,0.4098,,,-0.0895716752888699,-2.152655810034427,,12.209295348687606,,,0.009022401751893942,0.23849120329726825,0.23692172169685366
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,transformer,best,,,3.19101136516441,0.21370609998703,,0.02441151933850382,,,0.13091667686504396,3.1082219243049622,,0.9999777777777776,0.4142,,,-0.0907592308996623,-2.1607414300342667,,12.213508833538404,,,0.008019945549242423,0.25181089976633136,0.2497158959507942
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,1,transformer,best,,,3.1931001571091735,0.15148285627365113,,0.02983918827323412,,,0.1288278650661761,3.170445168018341,,0.9999111111111112,0.414,,,-0.08930519765999936,-2.199076994809308,,12.208063212308016,,,0.010568181818181815,0.250019516711208,0.24866838827729226
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,0,transformer,best,,,3.298076624220068,-0.37534411549568175,,0.11999558589675208,,,0.023851402368481187,3.6972721397876738,,1.0,0.4283,,,-0.016531145906846314,-2.581989369268604,,12.117899385365574,,,0.027764855587121214,0.7559571493078362,0.7516368716955185
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,2,transformer,best,,,3.297444972124967,-0.4157038271427155,,0.12937097795392302,,,0.024483049404807392,3.737631851434708,,1.0,0.4278,,,-0.016971440186482455,-2.5790052891887054,,12.108549307693135,,,0.03002434008049241,0.759495886889371,0.7565278187394142
