data,model,beta,epochs,train_z_norm_mean,train_z_norm_std,train_d_H_Q_xCz_mean,train_d_H_Q_xCz_std,train_h_delta_acc_mean,train_h_delta_acc_std,train_d_DIQ_xz_mean,train_d_DIQ_xz_std,train_H_Q_yCz_mean,train_H_Q_yCz_std,train_DIQ_yz_mean,train_DIQ_yz_std,valid_z_norm_mean,valid_z_norm_std,valid_d_H_Q_xCz_mean,valid_d_H_Q_xCz_std,valid_h_delta_acc_mean,valid_h_delta_acc_std,valid_d_DIQ_xz_mean,valid_d_DIQ_xz_std,valid_H_Q_yCz_mean,valid_H_Q_yCz_std,valid_DIQ_yz_mean,valid_DIQ_yz_std,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,valid_acc_mean,valid_acc_std,valid_loglike_mean,valid_loglike_std,train_acc_mean,train_acc_std,train_aux_loss_mean,train_aux_loss_std,valid_aux_loss_mean,valid_aux_loss_std,train_H_zCx_mean,train_H_zCx_std,train_I_xz_mean,train_I_xz_std,valid_H_zCx_mean,valid_H_zCx_std,valid_I_xz_mean,valid_I_xz_std,run_count
cifar10,cdib,0.0,0,2.0544790291424957,0.07017612585261522,12.190944669824658,0.0011891447959389836,0.020328332149621212,0.0004494388571246246,0.04696426782968708,0.0011798444214263194,5.568997633276564,0.4059170086822972,-2.2470696089845714,0.40591700868229724,2.0515881280104318,0.07481499722208519,12.234790356953939,0.0007968049706968964,-0.00016882404003268003,0.0014435781989473252,0.003668469968154871,0.001208118907214444,5.5838284651438395,0.3775034353481587,-2.2619004408518473,0.37750343534815883,5.5689081732008185,0.4059351177048782,5.580128327433268,0.3772843186911044,0.09306666666666667,0.010214368964029712,-3.8678502902339833,0.2615135963789376,0.09369629629629629,0.011902117942729086,,,,,,,,,,,,,3
cifar10,cdib,0.0,1,2.0544607612219727,0.07027784642682425,12.16201463612643,0.0037890462803411716,0.022240347814078288,0.0007232479181289243,0.07588667066231597,0.0037940721596238596,5.568829343174443,0.4058560193023069,-2.246901318882451,0.405856019302307,2.0515756487846373,0.0747675870236769,12.234414196014404,0.0016496947187071098,-0.0005958307802287588,0.0005946007349716943,0.004044573975746365,0.0012319996537367593,5.583912269274393,0.3780268489887704,-2.261984244982402,0.3780268489887706,5.5689360927440505,0.40593151066073346,5.580178177897135,0.3777195355882821,0.0928,0.01039422916814902,-3.867884847495643,0.26181523379887145,0.09398518518518519,0.011885904782989306,,,,,,,,,,,,,3
cifar10,cdib,0.0,2,2.0549258156256243,0.07016201433506404,12.140436813686833,0.0019055681146104427,0.027126489504419177,0.0004638542099854384,0.09746584318804019,0.001894670222976243,5.562757803635162,0.4002585202540613,-2.2408297793431715,0.40025852025406083,2.232882944742838,0.11361248503007074,12.235799169540405,0.0007210940612269276,-0.0013509114583333335,0.0021937525063047835,0.002659775258022516,0.000534054773285328,4.725777371724447,0.4522126447420671,-1.4038493474324545,0.4522126447420673,5.56379264964351,0.4008601260510823,4.727102208073934,0.44849067027873696,0.17320000000000002,0.013604411049361899,-3.276577611474755,0.3108700257854592,0.0944962962962963,0.011998566443863995,,,,,,,,,,,,,3
cifar10,cdib,0.0,3,3.7989588804317242,0.694676292934579,12.172042781656438,0.001031185798262714,0.02138745857007576,0.001050991711776818,0.06584361166284053,0.0010325184222013148,2.4891762677015676,0.023710547496413163,0.8327517565904241,0.023710547496413346,3.1390702168146767,0.5680927289687778,12.235670216878255,0.0003414641555066928,-0.0016228170955882354,0.0008553031910699163,0.0027886139769786196,0.0002974657586880204,2.228754703203837,0.02462450375226572,1.0931733210881551,0.024624503752265905,2.4893293677718553,0.023815327650871052,2.2257413485209145,0.02420622955389069,0.46373333333333333,0.009321659365871156,-1.5427663752421583,0.01677848133516189,0.398362962962963,0.0065287335785677286,,,,,,,,,,,,,3
cifar10,cdib,0.0,4,3.1844286033601468,0.7252558001777142,12.17906366514437,0.0040120317978478166,0.02017728555082071,0.000564987089195283,0.05884078936651349,0.004022297522949128,1.9852881259990458,0.021052651202117988,1.3366398982929464,0.021052651202117988,3.13786985874176,0.783053984630527,12.235293308893839,0.0007444644567291335,0.0005907245710784316,0.0006492249728350147,0.0031654690195864533,0.0007971065247960091,2.093761215607325,0.028797113886443248,1.2281668086846669,0.02879711388644305,1.985375212824786,0.020939882277330343,2.091630659739176,0.02881951874396032,0.49513333333333337,0.00387986254052039,-1.449807917688845,0.019976178158753383,0.5214444444444445,0.006581830583292238,,,,,,,,,,,,,3
cifar10,cdib,0.0,5,3.2114388793706894,0.7593684153484183,12.162367222887097,0.0031461793627643032,0.022924632062815652,0.0002572024296653091,0.07553416992551788,0.003135881728157064,1.7112056940342442,0.03475305695627365,1.610722330257748,0.03475305695627365,3.078450294335683,0.6937963607957681,12.235531632105511,0.0009443817549395077,-0.0003296696282679737,0.0011616722697789874,0.00292721336845716,0.0005564629180620416,2.028487773736318,0.02095764507905903,1.2934402505556741,0.020957645079059197,1.7112944138774164,0.03481242271007928,2.025803751118978,0.020959546361590392,0.5136000000000001,0.01098908549425288,-1.404180175148076,0.014528036301411116,0.5918148148148148,0.00851932685375743,,,,,,,,,,,,,3
cifar10,cdib,0.0,6,3.256365668593031,0.743142429035071,12.146968863227151,0.007289989575969101,0.025832272924558083,0.0012556344245107662,0.09092394968099667,0.007296377214412564,1.4678701600342086,0.042660471111718855,1.8540578649351092,0.04266047143241277,3.2696538448333743,0.819916381587148,12.235811614990235,0.0006670767735229318,-0.0008230570874183011,0.0006677786281182005,0.0026472079231704506,0.00017444583003312737,2.0393558700879413,0.007205958128390915,1.2825721542040507,0.007205958128390746,1.4679689502645423,0.04262790400210852,2.0368370663960778,0.00775513837089534,0.5171333333333333,0.0017243356208503707,-1.4118278875660877,0.005375456717942152,0.6566740740740741,0.012194399308108481,,,,,,,,,,,,,3
cifar10,cdib,0.0,7,3.3995779612750714,0.7706996664138814,12.132184006951073,0.009009283557383764,0.028185763888888885,0.0011507378382658543,0.10571753599850292,0.009009517225493273,1.2330160495458227,0.05212500076212476,2.088911974746169,0.05212500181741951,3.389843463897705,0.7847201484236448,12.236078262329102,0.0002444381688865866,-0.0006095537173202613,0.000939886437234119,0.0023805711686842794,0.00037195851010144847,2.0200483918190004,0.04460871058298488,1.301879632472992,0.04460871058298483,1.2328825148123281,0.05220484424678084,2.017656508255005,0.04492652034831066,0.5306666666666667,0.00669726312259961,-1.3985329423341533,0.03114067960212555,0.7184296296296296,0.015597694247664348,,,,,,,,,,,,,3
cifar10,cdib,0.0,8,3.604101697152311,0.8154193565591223,12.114844226475919,0.009397309517921554,0.03189100477430556,0.0013204914099157299,0.12306034175509756,0.009405944826633596,1.0161930742588912,0.04779757421499583,2.3057349509362015,0.047797569181214944,3.615796097119649,0.848140539713964,12.235950946807861,0.0005920130791282534,-0.0005900862949346405,0.00026974172095801545,0.0025078694627154617,0.0002324211783027082,2.0527582863966627,0.033256169873964486,1.2691697378953297,0.03325616987396433,1.0161881741099887,0.047749937139899654,2.0511207110087075,0.034607993861509125,0.5289333333333334,0.003807011076071753,-1.4217285598280684,0.023988421799187122,0.7761777777777777,0.014465352389523269,,,,,,,,,,,,,3
cifar10,cdib,0.0,9,3.780992492130308,0.8700920987489478,12.099045569246465,0.013393273135494389,0.03431598701862374,0.0019196108958543557,0.1388532621151006,0.0133960514630671,0.8225316807176127,0.05201760047570493,2.4993963399619763,0.05201760006619728,3.7687304973602296,0.8947863323950296,12.236257457733155,0.0006567616836194175,-9.829452614379068e-05,0.0006165668259547828,0.002201516169679962,0.00038301296670120336,2.0982925693194074,0.01482227229447164,1.223635454972585,0.014822272294471528,0.8224879208282189,0.05191695340440683,2.0955052706400554,0.013727188359834684,0.5332,0.0039849717690342,-1.4524935806533765,0.009514968098000584,0.827362962962963,0.015178433910225329,,,,,,,,,,,,,3
cifar10,cdib,0.0,10,3.9441704293995197,0.8851582393831506,12.081195002252406,0.01548957960299893,0.0367093049636995,0.002246081450498186,0.15669295337107597,0.015470188293164763,0.6491256731026099,0.04784239166013085,2.6728023493831805,0.047842393141739215,3.9734093149503074,0.9084289187544253,12.236772886912027,0.0003766021638160351,-0.001192618974673203,0.00040168328347215597,0.0016858631192008036,0.00013172319425363164,2.199608405431112,0.021630670208046755,1.1223196188608806,0.021630670208046522,0.6490829990280998,0.04793451798578059,2.1967095788319906,0.024044690866501663,0.5302,0.0029866369046135806,-1.5226430783205054,0.01666652223231756,0.8735111111111111,0.01277116737222491,,,,,,,,,,,,,3
cifar10,cdib,0.0,11,4.158374216971976,0.9133829494539814,12.063430592869267,0.018481725662297138,0.03969470091540404,0.002457786978134915,0.17445404900971687,0.01849499686583183,0.498149159731287,0.047603044739500826,2.823778861399853,0.04760304029327782,4.1765158375104265,0.8718852607429642,12.236249049504599,0.0015122738868055534,-0.0006494459763071895,0.0012587955743290245,0.0022098104747631927,0.00199227838022722,2.2785150607426963,0.00961631864221395,1.0434129635492961,0.009616318642213767,0.49812643846405874,0.047601132377181846,2.2757954591115315,0.00938573835290499,0.5313333333333333,0.00826155756097682,-1.5774612353866866,0.006505715090079877,0.9117925925925926,0.012702489953895071,,,,,,,,,,,,,3
cifar10,cdib,0.0,12,4.35112543042862,0.8994494354358626,12.048413397687854,0.023571774574821572,0.041519343828914146,0.0028101424636401318,0.1894901312718337,0.02357754263112998,0.3794271496943001,0.0419735922433193,2.94250087575479,0.04197358823080348,4.379974937438965,0.9515020747429164,12.235995817184447,0.0008532108391841029,-0.0019990808823529414,0.001412525403706161,0.00246304547811936,0.0013322196681470387,2.3676781872908275,0.03124333211846926,0.9542498370011648,0.031243332118468907,0.3793764102706203,0.04201805963180259,2.363366328684489,0.0319589624744476,0.5356666666666666,0.0032331615074618998,-1.6381607413737582,0.022152237833404566,0.9388592592592593,0.009933540473438883,,,,,,,,,,,,,3
cifar10,cdib,0.0,13,4.541844702128208,0.9395225780147294,12.029575369574806,0.020830314062034203,0.04424072265625,0.0027544841052400786,0.20832640664990654,0.020816617841826698,0.2814825488480203,0.03297413746089974,3.0404454745126492,0.03297413527005336,4.575451413790384,0.9372966988595025,12.237304910024008,0.001136935282973572,-0.0006567861519607843,0.0005896529088733871,0.0011540426562229793,0.0006441966999472864,2.4824728528658553,0.014424950708268224,0.8394551714261373,0.014424950708268177,0.2814903671194006,0.0329725329073594,2.477819941584269,0.01528246585392252,0.5332,0.00752861208988749,-1.7174939274912902,0.010592996602228491,0.9610888888888889,0.006913790120271242,,,,,,,,,,,,,3
