model,beta,run,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg
cdib,0.01,2,0.4845,-4.381844175944461,0.9980222222222224,-0.012348272582818185
cdib,0.01,1,0.4809,-4.6629367893094535,0.9981555555555556,-0.011127265462820007
cdib,0.01,0,0.4874,-4.272482334939129,0.9984666666666666,-0.011538157796473759
cdib,100.0,2,0.2694,-2.0710728518009187,0.2690444444444444,-2.068408990116914
cdib,100.0,1,0.1929,-2.2264185152858498,0.1930888888888889,-2.2233834100855723
cdib,100.0,0,0.2169,-2.2243192535430194,0.21226666666666666,-2.228639210224814
cdib,1.0,2,0.4742,-2.8049784657205468,0.9984888888888888,-0.02445606158999884
cdib,1.0,1,0.4737,-3.082885218563213,0.9977555555555556,-0.022696127192589025
cdib,1.0,0,0.4706,-3.028409032287141,0.9978666666666668,-0.025692799428856126
cdib,10.0,2,0.4793,-1.4897223671663553,0.6270444444444444,-1.0660273749563975
cdib,10.0,1,0.3122,-1.9611947267614305,0.3063111111111111,-1.9604362968140177
cdib,10.0,0,0.4792,-1.4772661068502801,0.5921111111111111,-1.1991867937006937
cdib,0.0,2,0.4631,-5.500091236849031,0.9969555555555556,-0.011593192919620552
cdib,0.0,1,0.475,-5.404821510611831,0.9970444444444444,-0.010109861209641824
cdib,0.0,0,0.4628,-5.476955894512336,0.9975555555555556,-0.011110568869740307
cdib,0.1,1,0.4757,-4.274285449180464,0.9967777777777778,-0.015701040618850103
cdib,0.1,0,0.4748,-4.077809494736166,0.9971333333333332,-0.015897907673660637
cdib,0.1,2,0.4733,-4.178478748308357,0.9971777777777778,-0.01602129894767167
cdibfree,0.0,0,0.4628,-5.476955894512336,0.9975555555555556,-0.011110568869740307
cdibfree,0.0,1,0.475,-5.404821510611831,0.9970444444444444,-0.010109861209641824
cdibfree,0.0,2,0.4631,-5.500091236849031,0.9969555555555556,-0.011593192919620552
cdibfree,10.0,1,0.2503,-2.1603539090234785,0.2497333333333333,-2.168175991881142
cdibfree,10.0,2,0.3148,-1.9438136631481349,0.3115777777777778,-1.9400234628978703
cdibfree,10.0,0,0.2871,-2.065368737692572,0.2855111111111111,-2.0685020147468065
cdibfree,100.0,1,0.2233,-2.2826514388114214,0.21193333333333333,-2.2928631526692045
cdibfree,100.0,2,0.2229,-2.155951943668723,0.21911111111111112,-2.159299769699905
cdibfree,100.0,0,0.2355,-2.2788898237518964,0.23146666666666665,-2.267311723904477
cdibfree,0.01,1,0.4945,-4.037606046115567,0.9984444444444444,-0.011753806221879659
cdibfree,0.01,0,0.4972,-3.606755660034172,0.9982,-0.01623717958660887
cdibfree,0.01,2,0.501,-3.7275084794375695,0.9984,-0.014683454766176747
cdibfree,1.0,0,0.3857,-1.7582896017492982,0.40246666666666653,-1.6955776238714164
cdibfree,1.0,1,0.3815,-1.7683513370254078,0.3983777777777778,-1.72257294240091
cdibfree,1.0,2,0.3672,-1.8133095695285129,0.3678666666666667,-1.8009109703647181
cdibfree,0.1,0,0.512,-2.5693208225732334,0.9907555555555556,-0.05860898306042309
cdibfree,0.1,1,0.5164,-2.556941821386337,0.9942222222222222,-0.047298644235292855
cdibfree,0.1,2,0.5134,-2.7005645633220934,0.9927111111111112,-0.050892099823048015
