experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,run,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg,train_sharp_mag_toagg,train_var_grad_toagg,train_path_norm_toagg,train_y_pred_ent_toagg
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,default,2,128,1,0,-0.55,best,0.4845,-4.381844175944461,0.9980222222222224,-0.012348272582818185,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,default,1,128,1,0,-0.55,best,0.4809,-4.6629367893094535,0.9981555555555556,-0.011127265462820007,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,default,0,128,1,0,-0.55,best,0.4874,-4.272482334939129,0.9984666666666666,-0.011538157796473759,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,default,2,128,1,0,-0.55,best,0.2694,-2.0710728518009187,0.2690444444444444,-2.068408990116914,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,default,1,128,1,0,-0.55,best,0.1929,-2.2264185152858498,0.1930888888888889,-2.2233834100855723,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,default,0,128,1,0,-0.55,best,0.2169,-2.2243192535430194,0.21226666666666666,-2.228639210224814,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,default,2,128,1,0,-0.55,best,0.4742,-2.8049784657205468,0.9984888888888888,-0.02445606158999884,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,default,1,128,1,0,-0.55,best,0.4737,-3.082885218563213,0.9977555555555556,-0.022696127192589025,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,default,0,128,1,0,-0.55,best,0.4706,-3.028409032287141,0.9978666666666668,-0.025692799428856126,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,default,2,128,1,0,-0.55,best,0.4793,-1.4897223671663553,0.6270444444444444,-1.0660273749563975,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,default,1,128,1,0,-0.55,best,0.3122,-1.9611947267614305,0.3063111111111111,-1.9604362968140177,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,default,0,128,1,0,-0.55,best,0.4792,-1.4772661068502801,0.5921111111111111,-1.1991867937006937,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,2,128,1,0,-0.55,best,0.4631,-5.500091236849031,0.9969555555555556,-0.011593192919620552,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,1,128,1,0,-0.55,best,0.475,-5.404821510611831,0.9970444444444444,-0.010109861209641824,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,0,128,1,0,-0.55,best,0.4628,-5.476955894512336,0.9975555555555556,-0.011110568869740307,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,default,1,128,1,0,-0.55,best,0.4757,-4.274285449180464,0.9967777777777778,-0.015701040618850103,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,default,0,128,1,0,-0.55,best,0.4748,-4.077809494736166,0.9971333333333332,-0.015897907673660637,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,default,2,128,1,0,-0.55,best,0.4733,-4.178478748308357,0.9971777777777778,-0.01602129894767167,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibfree,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,0,128,1,0,-0.55,best,0.4628,-5.476955894512336,0.9975555555555556,-0.011110568869740307,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibfree,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,1,128,1,0,-0.55,best,0.475,-5.404821510611831,0.9970444444444444,-0.010109861209641824,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibfree,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,2,128,1,0,-0.55,best,0.4631,-5.500091236849031,0.9969555555555556,-0.011593192919620552,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibfree,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,default,1,128,1,0,-0.55,best,0.2503,-2.1603539090234785,0.2497333333333333,-2.168175991881142,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibfree,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,default,2,128,1,0,-0.55,best,0.3148,-1.9438136631481349,0.3115777777777778,-1.9400234628978703,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibfree,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,default,0,128,1,0,-0.55,best,0.2871,-2.065368737692572,0.2855111111111111,-2.0685020147468065,,,,
