experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,run_count,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std,train_sharp_mag_mean,train_sharp_mag_std,train_var_grad_mean,train_var_grad_std,train_path_norm_mean,train_path_norm_std,train_y_pred_ent_mean,train_y_pred_ent_std
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,128,1,0,-0.55,best,3,0.4669666666666667,0.006958687615731375,-5.460622880657733,0.049690599619130846,0.9971851851851853,0.0003238147110281249,-0.010937874333000896,0.0007565948669676758,,,,,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,default,128,1,0,-0.55,best,3,0.4842666666666667,0.003256275991578925,-4.4390877667310145,0.2014231658697946,0.998214814814815,0.000228071175086397,-0.01167123194737065,0.0006212858794462156,,,,,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,default,128,1,0,-0.55,best,3,0.47459999999999997,0.0012124355652982277,-4.176857897408329,0.09824800525674572,0.9970296296296296,0.0002192392383251624,-0.01587341574672747,0.00016152783091025064,,,,,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,default,128,1,0,-0.55,best,3,0.47283333333333327,0.0019502136635079876,-2.972090905523634,0.14726452176441396,0.9980370370370371,0.00039523915768737425,-0.024281662737148,0.0015059290630073797,,,,,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,default,128,1,0,-0.55,best,3,0.42356666666666665,0.09644637542869787,-1.6427277335926886,0.2758708192410354,0.5084888888888889,0.17596015121275277,-1.4085501551570363,0.48256252725926824,,,,,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,default,128,1,0,-0.55,best,3,0.22639999999999996,0.03912480031897925,-2.1739368735432625,0.08908903945897748,0.22479999999999997,0.03949841690842309,-2.1734772034757666,0.0910296817120216,,,,,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibfree,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,128,1,0,-0.55,best,3,0.4669666666666667,0.006958687615731367,-5.460622880657733,0.04969059961913086,0.9971851851851853,0.0003238147110281604,-0.010937874333000896,0.0007565948669676754,,,,,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibfree,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,default,128,1,0,-0.55,best,3,0.4975666666666667,0.0032654759734735877,-3.7906233951957695,0.22225128400077973,0.998348148148148,0.00013021033949066956,-0.014224813524888425,0.0022766033960812545,,,,,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibfree,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,default,128,1,0,-0.55,best,3,0.5139333333333332,0.002247962040011635,-2.608942402427221,0.07958815987871985,0.9925629629629631,0.0017380751853110544,-0.05226657570625465,0.005779085485606661,,,,,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibfree,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,default,128,1,0,-0.55,best,3,0.3781333333333334,0.009698625332145418,-1.7799835027677398,0.0292964105907066,0.38957037037037034,0.018906819376353027,-1.739687178879015,0.05471244180751626,,,,,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibfree,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,default,128,1,0,-0.55,best,3,0.2840666666666667,0.032356812780824584,-2.0565121032880618,0.10854146443028093,0.28227407407407407,0.031049035955160623,-2.0589004898419394,0.11437891449362379,,,,,,,,
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibfree,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,default,128,1,0,-0.55,best,3,0.22723333333333331,0.0071619364234355885,-2.2391644020773467,0.07208864239787866,0.22083703703703703,0.009880379193336414,-2.2398248820911957,0.07089738480509848,,,,,,,,
