experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,run,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,train_loss_toagg,valid_loss_toagg,valid_acc_toagg,train_acc_toagg
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,default,2,128,1,0,-0.55,0,1.2934997033856133,1.6234015626907348,0.4526,0.42664444444444444
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,default,2,128,1,0,-0.55,1,0.3381857699350877,1.606368039894104,0.5028,0.8077111111111112
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,default,2,128,1,0,-0.55,2,0.0854881373383782,1.696253910446167,0.5156,0.9124666666666666
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,default,2,128,1,0,-0.55,3,-0.03273381855447184,1.8219047943115234,0.5238,0.9545777777777777
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,default,2,128,1,0,-0.55,4,-0.09889284692244096,1.9616691011428833,0.5216,0.9712444444444445
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,default,2,128,1,0,-0.55,5,-0.13972256734804675,2.043466801071167,0.5256,0.9807333333333333
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,default,2,128,1,0,-0.55,6,-0.171929065823555,2.150434846496582,0.5248,0.9861333333333333
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,default,2,128,1,0,-0.55,7,-0.19319866135337135,2.232426012420654,0.5254,0.9892444444444445
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,default,2,128,1,0,-0.55,8,-0.2131774015968496,2.318156926345825,0.5246,0.9912888888888889
QminimalityZnorm,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,default,2,128,1,0,-0.55,9,-0.22993503165245055,2.4132442661285403,0.527,0.9923777777777778
