experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,gamma,clfs,clf_nhid,clf_nlay,clf_kpru,epochs,run_count,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,valid_acc_mean,valid_acc_std,train_acc_mean,train_acc_std
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,128,1,0,0,3,1.214969886211193,0.19392599846830938,1.7969248654047647,0.04562295580846427,0.4625333333333333,0.0160727512683216,0.4832592592592593,0.04395567539211466
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,128,1,0,1,3,0.1800938691567291,0.035693939096720154,1.9221238437652588,0.03959732257971436,0.5013333333333333,0.010058495580022572,0.8603185185185186,0.017683881666135853
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,128,1,0,2,3,-0.043991430705424515,0.014892585413839863,2.110853029378255,0.04701238055356487,0.5118,0.007277362159464092,0.9506592592592593,0.00624856856035831
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,128,1,0,3,3,-0.1343335632165273,0.009557907137054997,2.2843127986907956,0.07075834787056104,0.5132666666666666,0.010433280085061163,0.9760592592592593,0.0023597795809740265
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,128,1,0,4,3,-0.1851348972862417,0.009095019410733521,2.454074770482381,0.08433195132745133,0.5172666666666667,0.007529497548530861,0.9861999999999999,0.0012366821402645773
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,128,1,0,5,3,-0.21967000049822258,0.007602755632074377,2.6025906946818034,0.07476623557606854,0.5168,0.00865332306111358,0.9908962962962963,0.0007904783153750699
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,128,1,0,6,3,-0.24677423110477856,0.007393925247148606,2.761858976491292,0.09597037444818457,0.5149333333333334,0.008700191568772091,0.9933259259259258,0.0006480105674086087
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,128,1,0,7,3,-0.26986276375308177,0.006994275547860477,2.889733351771037,0.08753963517982231,0.5179999999999999,0.008316249154516722,0.9946888888888888,0.0005003702332977007
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,128,1,0,8,3,-0.290277169583783,0.006856021885676313,3.0136903242746986,0.10096121482448642,0.5169333333333334,0.010169234648356413,0.9955481481481482,0.0006745216259455947
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,128,1,0,9,3,-0.3089506697987065,0.006657413656803969,3.1322938163757326,0.08452641433221102,0.5157333333333334,0.009470656436242062,0.9960222222222223,0.0005047918529600005
