data,model,beta,run_count,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std
cifar10,cdib,0.0,3,0.46946666666666664,0.005621684207898317,-5.528132038596571,0.0583843167907502,0.9972222222222223,0.00030872097754330765,-0.010091715198308612,0.0006261404406004942
cifar10,cdib,0.1,3,0.4789333333333334,0.001474222959166441,-4.208523217943139,0.06692289276402257,0.9974592592592594,0.00040511137522593706,-0.013676303726998094,0.00031577670352005155
cifar10,cdib,1.0,3,0.47669999999999996,0.001442220510185612,-3.223657879090361,0.03148325202045109,0.9982296296296296,0.0004715790827376937,-0.01971277061568249,0.0014960333961431766
cifar10,cdib,10.0,3,0.4795,0.00157162336455016,-2.455011511163676,0.03539680350866277,0.9973185185185186,3.394500514785566e-05,-0.05003708597837944,0.0011409632555345395
cifar10,cdib,100.0,3,0.4414666666666667,0.002059935274064044,-1.721040578186371,0.0888213211193,0.5627851851851852,0.03832373041285517,-1.172286485201755,0.10577508164996526
cifar10,vib,0.0,3,0.4624,0.0037509998667022144,-5.181904180509652,0.04843440764799805,0.9975555555555556,0.00016777409856162358,-0.01166998068014199,0.00010567657087522773
cifar10,vib,0.1,3,0.49090000000000006,0.003078960863668141,-3.5727062808876493,0.007722247335709095,0.9999111111111111,2.222222222220127e-05,-0.010368214275637772,0.0006048005110668365
cifar10,vib,1.0,3,0.4962,0.004803123983409144,-2.7903236620937566,0.03141910924751407,1.0,0.0,-0.011711699772370292,0.0007179946676621417
cifar10,vib,10.0,3,0.4721666666666667,0.0064065071086617294,-2.3486057990709126,0.0509869840350831,0.999674074074074,7.143445008143965e-05,-0.041762073510218906,0.0009847265814808567
cifar10,vib,100.0,3,0.34349999999999997,0.00157162336455016,-1.840919574806094,0.008070144731395938,0.3811333333333333,0.004901599638112678,-1.7611830486406885,0.015258487747177779
cifar100,cdib,0.0,3,0.1843,0.00045825756949559256,-5.040699889248626,0.11642935873481364,0.7425777777777777,0.009201690665910853,-0.9379403848280257,0.034765614681193664
cifar100,cdib,0.1,3,0.1913,0.0047696960070847325,-4.588436763411129,0.03847124473607049,0.7772148148148149,0.008459470062885457,-0.8911776904728171,0.028846424728989774
cifar100,cdib,1.0,3,0.18356666666666666,0.0031785741037976935,-4.148534812449666,0.07428941503465249,0.768437037037037,0.015351041840758197,-1.0758676949034527,0.06690865985777213
cifar100,cdib,10.0,3,0.17036666666666667,0.0005507570547286174,-3.678818526117069,0.005974585663276351,0.48121481481481476,0.02455208958277598,-2.3384907375415014,0.09678105014319299
cifar100,cdib,100.0,3,0.03476666666666667,0.0049409850569834095,-4.300231034680207,0.02222928564153839,0.03756296296296296,0.005084876309035382,-4.287358637268455,0.023220436570044096
cifar100,vib,0.0,3,0.18433333333333335,0.001950213663508003,-4.958879091125337,0.0833177201779157,0.7272740740740741,0.010633195943227827,-1.003815456684624,0.03766281692328253
cifar100,vib,0.1,3,0.19796666666666665,0.0022143471573656676,-4.862934822305593,0.06353330693207723,0.9457703703703704,0.005656956095231375,-0.38670554511739635,0.017434120165630836
cifar100,vib,1.0,3,0.19856666666666664,0.0016502525059315474,-4.584751287922233,0.08713263752456792,0.978948148148148,0.0010759625798562778,-0.3473579321356061,0.01179927962421531
cifar100,vib,10.0,3,0.18530000000000002,0.0021633307652783873,-3.7752334472120737,0.03264922433345872,0.6358888888888888,0.01686508556489147,-1.713309430975855,0.0657476571487765
cifar100,vib,100.0,3,0.014233333333333334,0.0011372481406154659,-4.6178897143046065,0.008836929779254455,0.014866666666666667,0.0010200459926692006,-4.598717090498959,0.005305988965310222
cifar10mnist,cdib,0.0,3,0.39199999999999996,0.007299315036357824,-6.879392111158854,0.12490964773871543,0.9969851851851853,0.00011403558754331163,-0.010414723127672732,0.00022105932260512755
cifar10mnist,cdib,0.1,3,0.40240000000000004,0.0104014422076941,-5.210700518790257,0.31557962023474495,0.9963555555555557,0.0006351824856870323,-0.01722491742088895,0.0008731439458335028
