data,model,beta,run,epochs,train_loss_toagg,valid_loss_toagg,valid_acc_toagg,train_acc_toagg
cifar10mnist,cdib,0.0,1,0,1.2759565987110137,2.209711037063599,0.4012,0.47875555555555555
cifar10mnist,cdib,0.0,1,1,0.11333945771672509,2.457067774581909,0.4342,0.8631555555555556
cifar10mnist,cdib,0.0,1,2,-0.11636679654554888,2.7270256450653076,0.444,0.9534444444444444
cifar10mnist,cdib,0.0,1,3,-0.20506653058745644,2.955129977798462,0.447,0.9793555555555555
cifar10mnist,cdib,0.0,1,4,-0.25637602017576044,3.153564220428467,0.445,0.9884444444444445
cifar10mnist,cdib,0.0,1,5,-0.2945126405585896,3.3818198108673094,0.4446,0.9918888888888889
cifar10mnist,cdib,0.0,1,6,-0.32533648039644414,3.543524786376953,0.4488,0.9935333333333334
cifar10mnist,cdib,0.0,1,7,-0.3501858934922652,3.7048025382995604,0.4462,0.9954
cifar10mnist,cdib,0.0,1,8,-0.376209675767205,3.918627522659302,0.4432,0.9950444444444444
cifar10mnist,cdib,0.0,1,9,-0.39714222874207933,4.068501763916015,0.4426,0.9955333333333334
cifar10mnist,cdib,0.0,1,10,-0.4188730132666501,4.1676269599914555,0.4398,0.9960222222222223
cifar10mnist,cdib,0.0,1,11,-0.43875356048670683,4.33206286239624,0.4308,0.9960888888888889
cifar10mnist,cdib,0.0,1,12,-0.4568452814535661,4.426234001922608,0.436,0.9961111111111111
cifar10mnist,cdib,0.0,1,13,-0.4752853146379644,4.581916826629639,0.4348,0.9957111111111111
cifar10mnist,cdib,0.0,1,14,-0.4925302411772988,4.712378095245361,0.4374,0.9960222222222223
cifar10mnist,cdib,0.0,1,15,-0.5089913309964267,4.790636331939697,0.429,0.9957777777777778
cifar10mnist,cdib,0.0,1,16,-0.5216621216253801,4.876236685943604,0.433,0.9959333333333333
cifar10mnist,cdib,0.0,1,17,-0.5392939922766252,4.99664956741333,0.4286,0.9961777777777778
cifar10mnist,cdib,0.0,1,18,-0.5529033313231034,5.064562678527832,0.4312,0.9954222222222222
cifar10mnist,cdib,0.0,1,19,-0.5641456028894944,5.127526959991455,0.432,0.9961333333333333
cifar10mnist,cdib,0.0,1,20,-0.5776986869551919,5.184730179595947,0.4292,0.9962444444444445
cifar10mnist,cdib,0.0,1,21,-0.5902943928718567,5.20936206817627,0.4288,0.9958222222222223
cifar10mnist,cdib,0.0,1,22,-0.5992751812241294,5.302521462249756,0.4266,0.9960666666666667
