data,model,beta,run,epochs,train_loss_toagg,valid_loss_toagg,valid_acc_toagg,train_acc_toagg
cifar10mnist,cdib,0.0,1,23,-0.6099902039007707,5.36072498626709,0.4288,0.9961111111111111
cifar10mnist,cdib,0.0,1,24,-0.6199018516193737,5.432009335327148,0.4314,0.9958222222222223
cifar10mnist,cdib,0.0,1,25,-0.6281391817873174,5.530099229431152,0.4222,0.9960444444444444
cifar10mnist,cdib,0.0,1,26,-0.6375980041070418,5.572569151306152,0.4246,0.9962
cifar10mnist,cdib,0.0,1,27,-0.6438749366760254,5.613576979064941,0.424,0.9961777777777778
cifar10mnist,cdib,0.0,1,28,-0.6539346471699802,5.588695092010498,0.425,0.9959111111111111
cifar10mnist,cdib,0.0,1,29,-0.6608248073924672,5.655641300964356,0.4242,0.9966444444444444
cifar10mnist,cdib,0.0,1,30,-0.6674877037221735,5.681312958526611,0.4214,0.9959111111111111
cifar10mnist,cdib,0.0,1,31,-0.6740015797094865,5.690444541931153,0.4266,0.9960222222222223
cifar10mnist,cdib,0.0,1,32,-0.6804066378853538,5.708791503143311,0.4246,0.9964444444444445
cifar10mnist,cdib,0.0,1,33,-0.6848215310790322,5.768661263275146,0.424,0.9965555555555555
cifar10mnist,cdib,0.0,1,34,-0.6906064289959994,5.816101091766358,0.4256,0.9964666666666666
cifar10mnist,cdib,0.0,1,35,-0.6973187820001082,5.8212072532653805,0.424,0.9964444444444445
cifar10mnist,cdib,0.0,1,36,-0.7006049458937211,5.864361354827881,0.426,0.9965777777777778
cifar10mnist,cdib,0.0,1,37,-0.7061371823657643,5.879462108612061,0.4216,0.9967555555555555
cifar10mnist,cdib,0.0,1,38,-0.7115768534833735,5.917969149017334,0.4242,0.9963777777777778
cifar10mnist,cdib,0.0,1,39,-0.7147080553488298,5.9460898231506345,0.4222,0.9966888888888888
cifar10mnist,cdib,0.0,1,40,-0.7198644221045755,5.94088126373291,0.4234,0.9962888888888889
cifar10mnist,cdib,0.0,1,41,-0.7236702393271707,5.965164632415772,0.4214,0.9966444444444444
cifar10mnist,cdib,0.0,1,42,-0.7269126793948086,6.003957346343994,0.4204,0.9968222222222223
cifar10mnist,cdib,0.0,1,43,-0.7320999664480036,5.979905461120605,0.423,0.9962222222222222
cifar10mnist,cdib,0.0,1,44,-0.7342367110945962,5.996551770782471,0.4206,0.9968444444444444
cifar10mnist,cdib,0.0,1,45,-0.7378192504449325,6.035119400024414,0.421,0.9966
cifar10mnist,cdib,0.0,1,46,-0.7401440776348114,6.050589806365966,0.4212,0.9968
cifar10mnist,cdib,0.0,1,47,-0.7425624094963074,6.0788681457519536,0.4198,0.9964888888888889
cifar10mnist,cdib,0.0,1,48,-0.7462040654529225,6.06339337310791,0.4218,0.9964444444444445
cifar10mnist,cdib,0.0,1,49,-0.7481525274623524,6.045933232116699,0.422,0.9966222222222222
cifar10mnist,cdib,0.0,1,50,-0.7503451112573797,6.073521321868896,0.4196,0.9966444444444444
cifar10mnist,cdib,0.0,1,51,-0.7525867412740535,6.107893984222412,0.4198,0.9967555555555555
cifar10mnist,cdib,0.0,1,52,-0.7549479209119624,6.106582457733154,0.4204,0.9967555555555555
cifar10mnist,cdib,0.0,1,53,-0.7577147858532992,6.106055265808106,0.4212,0.9968888888888889
cifar10mnist,cdib,0.0,1,54,-0.7596826852191578,6.121865943145752,0.4206,0.9966888888888888
cifar10mnist,cdib,0.0,1,55,-0.7615742889404297,6.138608329772949,0.42,0.9970222222222223
cifar10mnist,cdib,0.0,1,56,-0.7634842398296703,6.158149209594726,0.4188,0.9969555555555556
cifar10mnist,cdib,0.0,1,57,-0.7663140791112726,6.158551972198486,0.4198,0.9963111111111111
cifar10mnist,cdib,0.0,1,58,-0.7694565853639083,6.150251685333252,0.42,0.9963777777777778
cifar10mnist,cdib,0.0,1,59,-0.7705428157372908,6.178200717926026,0.4196,0.9968666666666667
cifar10mnist,cdib,0.0,1,60,-0.772244012780623,6.178710945892334,0.4198,0.9967333333333334
cifar10mnist,cdib,0.0,1,61,-0.7736680400154807,6.166106213378907,0.419,0.9965333333333334
cifar10mnist,cdib,0.0,1,62,-0.7743401123913851,6.192927307128906,0.418,0.9969555555555556
cifar10mnist,cdib,0.0,1,63,-0.7770464426820929,6.191874221038819,0.4188,0.9965333333333334
cifar10mnist,cdib,0.0,1,64,-0.7773061594442888,6.196033627319336,0.4188,0.9968444444444444
cifar10mnist,cdib,0.0,1,65,-0.7784545815988021,6.206136024475097,0.4182,0.9967111111111111
cifar10mnist,cdib,0.0,1,66,-0.7798490190159191,6.213615609741211,0.418,0.9966
cifar10mnist,cdib,0.0,1,67,-0.7805579863028093,6.233068940734864,0.4172,0.9967555555555555
cifar10mnist,cdib,0.0,1,68,-0.7823918881416321,6.217370838928223,0.4182,0.9966444444444444
cifar10mnist,cdib,0.0,1,69,-0.783467034331235,6.217788803863526,0.4182,0.9966666666666667
cifar10mnist,cdib,0.0,1,70,-0.7834534278782931,6.23577099609375,0.417,0.9966444444444444
cifar10mnist,cdib,0.0,1,71,-0.7845522469000383,6.230112512969971,0.4182,0.9967111111111111
cifar10mnist,cdib,0.0,1,72,-0.7850692085439509,6.24657917098999,0.4172,0.9968666666666667
cifar10mnist,cdib,0.0,1,73,-0.7869219733151522,6.243860344696045,0.4166,0.9967111111111111
cifar10mnist,cdib,0.0,1,74,-0.7871286786859686,6.245509658050537,0.4184,0.9967777777777778
cifar10mnist,cdib,0.0,1,75,-0.7884239409099926,6.248718713378906,0.4174,0.9967555555555555
cifar10mnist,cdib,0.0,1,76,-0.7886154166221618,6.2548419921875,0.4178,0.9968
cifar10mnist,cdib,0.0,1,77,-0.7895373340693387,6.256824529266358,0.418,0.9967333333333334
cifar10mnist,cdib,0.0,1,78,-0.7902743685202165,6.248690431976319,0.418,0.9966
cifar10mnist,cdib,0.0,1,79,-0.7903432168093595,6.24991213760376,0.4182,0.9968444444444444
cifar10mnist,cdib,0.0,1,80,-0.7913470839587124,6.2621345024108885,0.418,0.9966888888888888
cifar10mnist,cdib,0.0,1,81,-0.7916494370807301,6.259638752746582,0.4174,0.9966
cifar10mnist,cdib,0.0,1,82,-0.7923851665453477,6.26748850479126,0.4178,0.9968
cifar10mnist,cdib,0.0,1,83,-0.7925669903061606,6.263869538116455,0.4188,0.9966888888888888
cifar10mnist,cdib,0.0,1,84,-0.7925493491346186,6.277221392822265,0.4172,0.9968888888888889
cifar10mnist,cdib,0.0,1,85,-0.794061853798953,6.269160187530518,0.4172,0.9967111111111111
cifar10mnist,cdib,0.0,1,86,-0.7940421193382957,6.272554286193848,0.4182,0.9966888888888888
cifar10mnist,cdib,0.0,1,87,-0.7944914743683555,6.274509382629395,0.4168,0.9968444444444444
cifar10mnist,cdib,0.0,1,88,-0.7947822433645075,6.27760597076416,0.4178,0.9967333333333334
cifar10mnist,cdib,0.0,1,89,-0.7950447835315357,6.278793767547607,0.4176,0.9968666666666667
cifar10mnist,cdib,0.0,1,90,-0.7957840534990485,6.28202700881958,0.417,0.9968
cifar10mnist,cdib,0.0,1,91,-0.7958960276343606,6.279268199920654,0.4176,0.9967777777777778
cifar10mnist,cdib,0.0,1,92,-0.7957876947142861,6.285096801757812,0.417,0.9969555555555556
cifar10mnist,cdib,0.0,1,93,-0.7967117614486001,6.2814943389892575,0.4174,0.9968222222222223
cifar10mnist,cdib,0.0,1,94,-0.7969990483674136,6.282694351196289,0.4178,0.9966888888888888
cifar10mnist,cdib,0.0,1,95,-0.7971486564636231,6.2850463020324705,0.4182,0.9968222222222223
cifar10mnist,cdib,0.0,1,96,-0.797250151608207,6.286006251525879,0.4178,0.9968
cifar10mnist,cdib,0.0,1,97,-0.7976417103767395,6.287567407989502,0.4176,0.9968888888888889
cifar10mnist,cdib,0.0,1,98,-0.7978328815373508,6.288271057128906,0.4178,0.9968444444444444
cifar10mnist,cdib,0.0,1,99,-0.7981329028563066,6.288399445343018,0.4176,0.9968888888888889
cifar10mnist,cdib,0.0,0,0,1.086311123492501,2.0461836402893065,0.403,0.4942666666666667
cifar10mnist,cdib,0.0,0,1,0.11491239087568088,2.274344486618042,0.4318,0.8788444444444444
cifar10mnist,cdib,0.0,0,2,-0.10358341691277244,2.5276936431884764,0.4422,0.9585333333333333
cifar10mnist,cdib,0.0,0,3,-0.1962112444747578,2.776441242980957,0.4462,0.9803777777777778
cifar10mnist,cdib,0.0,0,4,-0.2505091540033167,3.0212338989257814,0.448,0.9898666666666667
cifar10mnist,cdib,0.0,0,5,-0.28966622123284774,3.2107593761444093,0.451,0.9927555555555555
cifar10mnist,cdib,0.0,0,6,-0.3205863198887218,3.4217604961395263,0.4452,0.9944666666666667
cifar10mnist,cdib,0.0,0,7,-0.3481628162167289,3.5748583557128906,0.4466,0.9945555555555555
cifar10mnist,cdib,0.0,0,8,-0.374722677451914,3.765520220565796,0.4472,0.9947333333333334
cifar10mnist,cdib,0.0,0,9,-0.3962070954843001,3.905864762496948,0.446,0.9956222222222222
cifar10mnist,cdib,0.0,0,10,-0.4179930578145114,4.08704635925293,0.4396,0.9958222222222223
cifar10mnist,cdib,0.0,0,11,-0.43902634305087,4.257612322998047,0.4388,0.9953111111111111
cifar10mnist,cdib,0.0,0,12,-0.45813610517328435,4.311369369506836,0.4408,0.9954888888888889
cifar10mnist,cdib,0.0,0,13,-0.4767853373700922,4.418158998870849,0.4404,0.9952222222222222
cifar10mnist,cdib,0.0,0,14,-0.49228299496390604,4.526309300994873,0.4418,0.9954
cifar10mnist,cdib,0.0,0,15,-0.5099139680515636,4.619864127349853,0.4354,0.9951333333333333
cifar10mnist,cdib,0.0,0,16,-0.5244719672896645,4.7510271087646485,0.4298,0.9956222222222222
cifar10mnist,cdib,0.0,0,17,-0.5380943324609236,4.777192418670654,0.4352,0.9954
cifar10mnist,cdib,0.0,0,18,-0.5511457860643213,4.898436937713623,0.433,0.9957555555555555
cifar10mnist,cdib,0.0,0,19,-0.5636461258454756,4.9965313461303715,0.425,0.9958
cifar10mnist,cdib,0.0,0,20,-0.5753505020835182,5.058604080200196,0.4258,0.9958444444444444
cifar10mnist,cdib,0.0,0,21,-0.5857634892290289,5.110049252319336,0.4284,0.9957777777777778
cifar10mnist,cdib,0.0,0,22,-0.5961888600262729,5.152786192321777,0.4256,0.9955777777777778
cifar10mnist,cdib,0.0,0,23,-0.6045477309660479,5.234805622863769,0.4244,0.9958
cifar10mnist,cdib,0.0,0,24,-0.6146103286049582,5.2447388702392574,0.4254,0.9955555555555555
cifar10mnist,cdib,0.0,0,25,-0.6234832509430972,5.285789189910889,0.4276,0.9959111111111111
cifar10mnist,cdib,0.0,0,26,-0.62995636770942,5.337090634918213,0.4274,0.9958666666666667
cifar10mnist,cdib,0.0,0,27,-0.6377901978406039,5.378469831085205,0.4262,0.9962222222222222
cifar10mnist,cdib,0.0,0,28,-0.6438953189416365,5.442429319763184,0.4248,0.9960444444444444
cifar10mnist,cdib,0.0,0,29,-0.6509973966945302,5.446809742736816,0.4254,0.9961555555555556
cifar10mnist,cdib,0.0,0,30,-0.6574903255982832,5.480689645385742,0.4262,0.9959777777777777
cifar10mnist,cdib,0.0,0,31,-0.6627504361412742,5.502295091247559,0.426,0.9963555555555555
cifar10mnist,cdib,0.0,0,32,-0.6689522633639249,5.5454511581420896,0.4246,0.9964222222222222
cifar10mnist,cdib,0.0,0,33,-0.6746291124690663,5.549948845672607,0.4238,0.9964222222222222
cifar10mnist,cdib,0.0,0,34,-0.6794027736056935,5.6184885070800785,0.4238,0.9962888888888889
cifar10mnist,cdib,0.0,0,35,-0.6845237714854153,5.598265203094482,0.426,0.9963555555555555
cifar10mnist,cdib,0.0,0,36,-0.6882174424951727,5.627351889801026,0.424,0.9964888888888889
cifar10mnist,cdib,0.0,0,37,-0.6927525614565069,5.646899642944336,0.4244,0.9967111111111111
cifar10mnist,cdib,0.0,0,38,-0.6967967883543534,5.679211041259766,0.4258,0.9962222222222222
cifar10mnist,cdib,0.0,0,39,-0.7003031440561468,5.708604235839844,0.4232,0.997
cifar10mnist,cdib,0.0,0,40,-0.7042754236958244,5.694542111968994,0.4222,0.9965555555555555
cifar10mnist,cdib,0.0,0,41,-0.7075335471933538,5.710108615112305,0.4234,0.9967777777777778
cifar10mnist,cdib,0.0,0,42,-0.7110385710759597,5.734284350585938,0.4242,0.9965333333333334
cifar10mnist,cdib,0.0,0,43,-0.7133493070689114,5.734690406036377,0.424,0.9964888888888889
cifar10mnist,cdib,0.0,0,44,-0.7162689251813021,5.788031035614014,0.4228,0.9967555555555555
cifar10mnist,cdib,0.0,0,45,-0.719605589056015,5.773145293426514,0.423,0.9962
cifar10mnist,cdib,0.0,0,46,-0.7217642749959772,5.802100375366211,0.424,0.9969333333333333
cifar10mnist,cdib,0.0,0,47,-0.7247393036105416,5.816017064666748,0.4242,0.9965111111111111
cifar10mnist,cdib,0.0,0,48,-0.7275488056529652,5.802042265319824,0.4246,0.9963555555555555
cifar10mnist,cdib,0.0,0,49,-0.7287299478270791,5.807565036773681,0.4242,0.9964
cifar10mnist,cdib,0.0,0,50,-0.7308564852974632,5.819365985107422,0.4236,0.9967777777777778
cifar10mnist,cdib,0.0,0,51,-0.7334009612343528,5.846227964019775,0.4232,0.9968222222222223
cifar10mnist,cdib,0.0,0,52,-0.7360936955365268,5.842616579437256,0.4232,0.9964444444444445
cifar10mnist,cdib,0.0,0,53,-0.7364283941615711,5.868614327239991,0.4232,0.9968888888888889
cifar10mnist,cdib,0.0,0,54,-0.7394484323501587,5.865667057037354,0.4236,0.9966444444444444
cifar10mnist,cdib,0.0,0,55,-0.7403709287903526,5.8750582122802735,0.424,0.9969333333333333
cifar10mnist,cdib,0.0,0,56,-0.7418342085058038,5.903002182006836,0.4236,0.9969333333333333
cifar10mnist,cdib,0.0,0,57,-0.7435323713562705,5.895958811187744,0.423,0.9969333333333333
cifar10mnist,cdib,0.0,0,58,-0.7452016210209239,5.899885766601563,0.4224,0.9969555555555556
cifar10mnist,cdib,0.0,0,59,-0.7464911352417686,5.923564147949219,0.4248,0.9967333333333334
cifar10mnist,cdib,0.0,0,60,-0.7482943688392639,5.916407106781006,0.4218,0.9967555555555555
cifar10mnist,cdib,0.0,0,61,-0.7488578025904569,5.923714432525634,0.4238,0.9969333333333333
cifar10mnist,cdib,0.0,0,62,-0.7505506021066145,5.923391366577149,0.4214,0.9966888888888888
cifar10mnist,cdib,0.0,0,63,-0.7516217029744928,5.925670736694336,0.4204,0.9968
cifar10mnist,cdib,0.0,0,64,-0.7526043494137851,5.932564605712891,0.4222,0.9967111111111111
cifar10mnist,cdib,0.0,0,65,-0.7536740012862465,5.933559210968018,0.421,0.9969777777777777
cifar10mnist,cdib,0.0,0,66,-0.7541327111330899,5.948114797973632,0.4226,0.9970666666666667
cifar10mnist,cdib,0.0,0,67,-0.7560938434774226,5.942996654510498,0.421,0.9968888888888889
cifar10mnist,cdib,0.0,0,68,-0.7561080883719704,5.952138505554199,0.4214,0.9968666666666667
cifar10mnist,cdib,0.0,0,69,-0.7570204464739019,5.955197387695312,0.4212,0.9968
cifar10mnist,cdib,0.0,0,70,-0.7584640949422663,5.953600567626953,0.4214,0.9968
cifar10mnist,cdib,0.0,0,71,-0.7586633805968545,5.957621909332276,0.4222,0.9967777777777778
cifar10mnist,cdib,0.0,0,72,-0.7592812133789062,5.965508393096924,0.4236,0.9969333333333333
cifar10mnist,cdib,0.0,0,73,-0.7602816195401279,5.969653691864013,0.4222,0.9968666666666667
cifar10mnist,cdib,0.0,0,74,-0.7608617146492005,5.973032242584228,0.4222,0.9969111111111111
cifar10mnist,cdib,0.0,0,75,-0.761670740665089,5.974566632080078,0.4228,0.9968888888888889
cifar10mnist,cdib,0.0,0,76,-0.7622172311609442,5.974507180023194,0.4214,0.9970666666666667
cifar10mnist,cdib,0.0,0,77,-0.7626860779242082,5.9770204460144045,0.422,0.9968888888888889
cifar10mnist,cdib,0.0,0,78,-0.7633554694262418,5.9795662223815915,0.4222,0.9968888888888889
cifar10mnist,cdib,0.0,0,79,-0.7636624813166532,5.982011748504639,0.4214,0.9969777777777777
cifar10mnist,cdib,0.0,0,80,-0.7642561565572565,5.984380071258545,0.4208,0.9970222222222223
cifar10mnist,cdib,0.0,0,81,-0.7648201487541199,5.984094511413574,0.4208,0.9968888888888889
cifar10mnist,cdib,0.0,0,82,-0.7645709955302151,5.987078782653809,0.4218,0.997
cifar10mnist,cdib,0.0,0,83,-0.7655249957691539,5.9894182540893555,0.4214,0.9967777777777778
cifar10mnist,cdib,0.0,0,84,-0.7661254314509305,5.991019887542724,0.4218,0.9969555555555556
cifar10mnist,cdib,0.0,0,85,-0.7665334072633223,5.992248399353027,0.4212,0.9969333333333333
cifar10mnist,cdib,0.0,0,86,-0.7665807081525976,5.994210932159424,0.4208,0.9968888888888889
cifar10mnist,cdib,0.0,0,87,-0.7670559651288119,5.994603566741944,0.421,0.9968888888888889
cifar10mnist,cdib,0.0,0,88,-0.7670038824688304,5.9981421875,0.4216,0.9970666666666667
cifar10mnist,cdib,0.0,0,89,-0.7682019897200845,6.000227310943604,0.4216,0.9969555555555556
cifar10mnist,cdib,0.0,0,90,-0.768403497505188,6.000416024780273,0.4218,0.9969111111111111
cifar10mnist,cdib,0.0,0,91,-0.7682918967073614,6.00166702041626,0.4214,0.997
cifar10mnist,cdib,0.0,0,92,-0.7686661026347767,6.0039550331115725,0.4212,0.9968888888888889
cifar10mnist,cdib,0.0,0,93,-0.7692262708750638,6.005353177642823,0.4216,0.9968444444444444
cifar10mnist,cdib,0.0,0,94,-0.769178133244948,6.004784829711914,0.4216,0.9970222222222223
cifar10mnist,cdib,0.0,0,95,-0.7693638091174039,6.0068308517456055,0.4218,0.9970444444444444
cifar10mnist,cdib,0.0,0,96,-0.7699603873512961,6.007342765808105,0.422,0.9969555555555556
cifar10mnist,cdib,0.0,0,97,-0.7702647270809521,6.007181262207031,0.422,0.9970444444444444
cifar10mnist,cdib,0.0,0,98,-0.7699148686235602,6.0080790641784665,0.4218,0.9968888888888889
cifar10mnist,cdib,0.0,0,99,-0.7702515797181563,6.009790829467773,0.422,0.9970888888888889
cifar10mnist,cdib,0.0,2,0,1.2158302770311182,2.0547760131835937,0.4108,0.47326666666666667
cifar10mnist,cdib,0.0,2,1,0.11123907901590521,2.325653826904297,0.4356,0.8763333333333333
cifar10mnist,cdib,0.0,2,2,-0.12446358470916748,2.6532632659912108,0.445,0.9630666666666666
cifar10mnist,cdib,0.0,2,3,-0.21326436742435803,2.8823978549957276,0.4482,0.9842888888888889
cifar10mnist,cdib,0.0,2,4,-0.26527958793206646,3.1154814968109132,0.4432,0.9916222222222222
cifar10mnist,cdib,0.0,2,5,-0.3046677986535159,3.3768539009094236,0.447,0.9943333333333333
cifar10mnist,cdib,0.0,2,6,-0.3370027751315724,3.5877218643188478,0.443,0.9952222222222222
cifar10mnist,cdib,0.0,2,7,-0.3650463789766485,3.7202124797821043,0.4412,0.9957333333333334
cifar10mnist,cdib,0.0,2,8,-0.3907812772360715,3.980415805053711,0.4368,0.9961333333333333
cifar10mnist,cdib,0.0,2,9,-0.41683763993003153,4.155281855773926,0.4282,0.9957555555555555
cifar10mnist,cdib,0.0,2,10,-0.43986348644603385,4.294435231018066,0.4316,0.9962666666666666
cifar10mnist,cdib,0.0,2,11,-0.46266457269408484,4.424597142028809,0.4346,0.9961333333333333
cifar10mnist,cdib,0.0,2,12,-0.48333866846344686,4.547847040557861,0.4312,0.9962
cifar10mnist,cdib,0.0,2,13,-0.5039262813177976,4.701826521301269,0.4192,0.9959333333333333
cifar10mnist,cdib,0.0,2,14,-0.5222818159536882,4.784784781646729,0.4272,0.9962222222222222
cifar10mnist,cdib,0.0,2,15,-0.5401833680759777,4.940502109527588,0.4272,0.996
cifar10mnist,cdib,0.0,2,16,-0.5560078620780599,5.022754293823242,0.4192,0.9959555555555556
cifar10mnist,cdib,0.0,2,17,-0.570862203129855,5.078288777160645,0.4192,0.9963333333333333
cifar10mnist,cdib,0.0,2,18,-0.5853915782581676,5.166457695770264,0.4232,0.9957555555555555
cifar10mnist,cdib,0.0,2,19,-0.597499442802776,5.288956558227539,0.4204,0.9959555555555556
cifar10mnist,cdib,0.0,2,20,-0.6112088492306796,5.305200791168213,0.4234,0.9957777777777778
cifar10mnist,cdib,0.0,2,21,-0.6227851582353765,5.367068347167969,0.419,0.9959777777777777
cifar10mnist,cdib,0.0,2,22,-0.6336954577792775,5.383520569610596,0.423,0.9960444444444444
cifar10mnist,cdib,0.0,2,23,-0.643310000185533,5.522547094726563,0.4164,0.996
cifar10mnist,cdib,0.0,2,24,-0.6536795409982855,5.517080950164795,0.4154,0.9961777777777778
cifar10mnist,cdib,0.0,2,25,-0.6621960253238678,5.57442052154541,0.4136,0.9965111111111111
cifar10mnist,cdib,0.0,2,26,-0.6718066261464899,5.599068126678467,0.416,0.9961777777777778
cifar10mnist,cdib,0.0,2,27,-0.6791977804617448,5.646732884216308,0.4148,0.9966
cifar10mnist,cdib,0.0,2,28,-0.6861271954363043,5.732836516571045,0.4108,0.9964888888888889
cifar10mnist,cdib,0.0,2,29,-0.6948891312078996,5.752901155853271,0.4134,0.9963333333333333
cifar10mnist,cdib,0.0,2,30,-0.7016456104625355,5.782192992401123,0.4132,0.9963111111111111
cifar10mnist,cdib,0.0,2,31,-0.7074897326556119,5.794097650909424,0.4142,0.9962666666666666
cifar10mnist,cdib,0.0,2,32,-0.7132745313557711,5.823383176422119,0.4124,0.9961333333333333
cifar10mnist,cdib,0.0,2,33,-0.7189917085214095,5.880644404602051,0.4134,0.9969111111111111
cifar10mnist,cdib,0.0,2,34,-0.7252138665372675,5.922742746734619,0.4122,0.9966666666666667
cifar10mnist,cdib,0.0,2,35,-0.729141913691434,5.948498648071289,0.4118,0.9964222222222222
cifar10mnist,cdib,0.0,2,36,-0.7343962621342052,5.955182793426514,0.4112,0.9963333333333333
cifar10mnist,cdib,0.0,2,37,-0.7400155898050829,5.969756830596924,0.4132,0.9962
cifar10mnist,cdib,0.0,2,38,-0.7438809495145624,5.966823028564453,0.4122,0.9965111111111111
cifar10mnist,cdib,0.0,2,39,-0.7481158864888278,5.981566011810303,0.4126,0.9966
cifar10mnist,cdib,0.0,2,40,-0.7508395576910539,6.005558358001709,0.4126,0.9966222222222222
cifar10mnist,cdib,0.0,2,41,-0.7552846639026295,6.013606792449951,0.4104,0.9963555555555555
cifar10mnist,cdib,0.0,2,42,-0.7580937863956798,6.049378287506103,0.4108,0.9965333333333334
cifar10mnist,cdib,0.0,2,43,-0.7615420862457969,6.032825447082519,0.4124,0.9963333333333333
cifar10mnist,cdib,0.0,2,44,-0.7646481999570673,6.073821253204346,0.4108,0.9964222222222222
cifar10mnist,cdib,0.0,2,45,-0.7683030604969372,6.094526362609863,0.4116,0.9967555555555555
cifar10mnist,cdib,0.0,2,46,-0.77125018862811,6.116422845458985,0.411,0.9967555555555555
cifar10mnist,cdib,0.0,2,47,-0.7746255925265225,6.097198046875,0.4094,0.9962222222222222
cifar10mnist,cdib,0.0,2,48,-0.776402161658894,6.134782698822021,0.4126,0.9971333333333333
cifar10mnist,cdib,0.0,2,49,-0.7791213854442943,6.139019515991211,0.4098,0.9966666666666667
cifar10mnist,cdib,0.0,2,50,-0.7822586330673912,6.134954252624512,0.4126,0.9965111111111111
cifar10mnist,cdib,0.0,2,51,-0.7833574785145846,6.167293486022949,0.41,0.9965777777777778
cifar10mnist,cdib,0.0,2,52,-0.7860983026677912,6.17205952835083,0.4106,0.9968888888888889
cifar10mnist,cdib,0.0,2,53,-0.7887529045278375,6.161376470184326,0.411,0.9962444444444445
cifar10mnist,cdib,0.0,2,54,-0.7891321894472295,6.181429460906982,0.4114,0.9967777777777778
cifar10mnist,cdib,0.0,2,55,-0.791816484711387,6.193477128601074,0.4116,0.9966666666666667
cifar10mnist,cdib,0.0,2,56,-0.7940581212043762,6.2072724342346195,0.4106,0.9966666666666667
cifar10mnist,cdib,0.0,2,57,-0.7955120447245511,6.217193650817871,0.4102,0.9968444444444444
cifar10mnist,cdib,0.0,2,58,-0.7972035319848494,6.206023833465576,0.4108,0.9965333333333334
cifar10mnist,cdib,0.0,2,59,-0.7985114440484481,6.221684796142578,0.4088,0.9966222222222222
cifar10mnist,cdib,0.0,2,60,-0.7990282070593401,6.2344234252929684,0.4118,0.9966888888888888
cifar10mnist,cdib,0.0,2,61,-0.8015440628311851,6.2305247024536135,0.4086,0.9966666666666667
cifar10mnist,cdib,0.0,2,62,-0.8022925162662159,6.233309380340576,0.4108,0.9966222222222222
cifar10mnist,cdib,0.0,2,63,-0.8040332411245866,6.2489289413452145,0.4102,0.9966666666666667
cifar10mnist,cdib,0.0,2,64,-0.8050348878773776,6.239841565704346,0.41,0.9965555555555555
cifar10mnist,cdib,0.0,2,65,-0.8062212286255577,6.252152500915527,0.41,0.9967333333333334
cifar10mnist,cdib,0.0,2,66,-0.8069393254193392,6.2506128036499025,0.41,0.9968444444444444
cifar10mnist,cdib,0.0,2,67,-0.8077283055999063,6.258889197540284,0.4092,0.9967777777777778
cifar10mnist,cdib,0.0,2,68,-0.8087871763055975,6.266887602996826,0.4098,0.997
cifar10mnist,cdib,0.0,2,69,-0.8100451758731495,6.266039170837402,0.4094,0.9966222222222222
