experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,,epochs,run_count,train_z_norm_mean,train_z_norm_std,train_z_mean_norm_mean,train_z_mean_norm_std,train_z_std_mean,train_z_std_std,train_d_H_Q_xCz_mean,train_d_H_Q_xCz_std,train_h_delta_acc_mean,train_h_delta_acc_std,train_d_DIQ_xz_mean,train_d_DIQ_xz_std,train_H_Q_yCz_mean,train_H_Q_yCz_std,train_DIQ_yz_mean,train_DIQ_yz_std,train_aux_loss_mean,train_aux_loss_std,valid_z_norm_mean,valid_z_norm_std,valid_z_mean_norm_mean,valid_z_mean_norm_std,valid_z_std_mean,valid_z_std_std,valid_H_Q_yCz_mean,valid_H_Q_yCz_std,valid_DIQ_yz_mean,valid_DIQ_yz_std,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,valid_acc_mean,valid_acc_std,valid_loglike_mean,valid_loglike_std,train_acc_mean,train_acc_std
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,transformer,0,3,2.042451360460484,0.044472138137987456,1.1136634555278404,0.01098715810585005,0.01941438823599707,0.001460948432621551,11.246848290616816,0.02833531729589577,0.13719770951704538,0.003046753012753031,0.991060604651769,0.028325231206093787,5.474714694601118,0.41151898831362294,-2.1527866703091245,0.41151898831362305,,,2.036773469712999,0.05361033340312312,1.1123489273918998,0.013218938092610374,0.019354482491811115,0.0013306478876622476,5.496570216284858,0.3735766119234757,-2.1746421919928656,0.37357661192347547,5.474625148886222,0.41133594844907406,5.491164064025878,0.3724219540531692,0.09026666666666666,0.010958710386415601,-3.8061850095900396,0.2581433026847986,0.09286666666666665,0.011107310461088782
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,transformer,1,3,2.0424711257219315,0.04450174166011374,1.1136675691514304,0.010984967074340482,0.01941438787969563,0.0014606338171074954,11.104555025245205,0.028817643231859532,0.14563146109532826,0.00306872260548356,1.1333461407233367,0.02879999560623197,5.474952057455525,0.41147534258496216,-2.153024033163533,0.4114753425849622,,,2.0367747147878013,0.053600846162728526,1.1123489273918998,0.013218938092610374,0.019354482491811115,0.0013306478876622476,5.495907465616862,0.37303352999200107,-2.1739794413248696,0.37303352999200096,5.474982167618362,0.4113638862661044,5.490865538787841,0.3718780652834776,0.09093333333333332,0.01173768858563446,-3.8059780540666854,0.25776624980720503,0.09306666666666667,0.01081380005386351
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,transformer,2,3,2.0427697890184144,0.04448118492542469,1.113763828394991,0.010978032840559742,0.01940982438144133,0.0014574781014844921,10.820308163310543,0.029505992067742116,0.16745178839172983,0.002525040525269916,1.4175943705168637,0.02948329388909507,5.469754786202402,0.40586297164609053,-2.1478267619104097,0.40586297164609075,,,2.1729701095157203,0.11681200031531629,1.1505464845233495,0.029918394955798833,0.01900274430712064,0.0010713268867217722,4.615634123484294,0.5010047639179726,-1.2937060991923015,0.5010047639179723,5.470584095509847,0.40641797941069696,4.625034136199951,0.49972470805043134,0.1597333333333333,0.010192807921928747,-3.205829420834655,0.3463828027993288,0.0931111111111111,0.01032137898720568
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,transformer,3,3,3.9459241940216585,0.8632800711292029,1.5259292608860766,0.17079196450590114,0.022838913281730405,0.0029063750732520703,11.586057137359271,0.05996505488752069,0.09206967132260102,0.007003865627614813,0.6518292386987895,0.05996190660143107,2.6238436581510487,0.024574296639036992,0.6980843661409435,0.024574296639037072,,,3.1743089093102355,0.7654423753786581,1.3760033978356256,0.16657558416979149,0.01850152698655923,0.0017414454692573705,2.3759460979037814,0.022511500885443226,0.9459819263882108,0.022511500885443212,2.6240537092279506,0.024701257704301073,2.378045146052042,0.01918147059705788,0.423,0.003934463114581201,-1.6483353101355647,0.013295602845203442,0.3581407407407407,0.004622133190025732
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,transformer,4,3,3.1924741435231585,0.9148187948739726,1.3786020924647648,0.19764281389004212,0.01822800540795663,0.0022895352292999546,11.586513537349122,0.07589153753027092,0.0930909189551768,0.007343092844529527,0.6513909420393632,0.07590006665830991,2.1264300019000513,0.024334422514071915,1.1954980223919407,0.024334422514071894,,,3.125265200932821,0.9471855734925346,1.3630613883336384,0.205271964921833,0.017696377924746935,0.0024026869873392154,2.277143663830227,0.019261920564132715,1.0447843604617646,0.019261920564132777,2.1264758780020254,0.02424867985485064,2.2750030848185223,0.016285314490236506,0.449,0.007135825109964479,-1.5769120153577845,0.01128807966486448,0.4849555555555556,0.004715040290206605
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,transformer,5,3,3.2209781435402953,1.0061263340725417,1.3836576627059418,0.2159487956568846,0.01787977612923097,0.002235642776981907,11.499754683537917,0.10354876299558093,0.10044813368055551,0.00988026201588243,0.7381467914039438,0.10354052166558335,1.8174686122572783,0.04217598198802686,1.504459412034714,0.04217598198802686,,,3.1477742989857993,0.9310106158688373,1.3686319324705336,0.2023793344529827,0.017091370705101225,0.0013406233870560072,2.2410856352912054,0.03507776080196243,1.0808423890007866,0.035077760801962385,1.81752527790776,0.04222293041218561,2.2415413898468017,0.03347130883420317,0.4584,0.014636939570825592,-1.553718128930176,0.023200599658633664,0.5666296296296296,0.010599565174713785
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,transformer,6,3,3.308299602884235,0.992957043260111,1.402945983590502,0.20997603798516679,0.017349408221586298,0.0018789334903127881,11.396156536810325,0.11608742282940375,0.10875446358112371,0.010948078981473828,0.8417363103592034,0.11609362425481946,1.5327086010665603,0.05932244691218276,1.789219423225432,0.05932244691218276,,,3.2846226692199707,0.9925089094815219,1.3981377946005928,0.2104381013057146,0.016497230260736413,0.0016758604932418342,2.2599354055192737,0.023726468596619605,1.0619926187727187,0.023726468596619914,1.5327633573955959,0.0592580390832624,2.2575271124521894,0.03259292202434717,0.4638,0.004728636167014766,-1.5647986056372396,0.02259167057776504,0.6428518518518519,0.016695683382880716
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,transformer,7,3,3.4886493953791535,1.0346749275911433,1.4409763212456845,0.21299410968267304,0.016969914657458885,0.0016649843603185805,11.305786273696205,0.14216498487331472,0.1150598514441288,0.012647561901012672,0.9321153315179275,0.142167165698784,1.250555535834847,0.07146685048839414,2.0713724913922227,0.07146685191140162,,,3.487184762954712,1.0738866869537127,1.4401765929328072,0.22088747681535498,0.016441818844113085,0.0017570212870132889,2.281451251771715,0.01499119281317017,1.0404767725202773,0.01499119281317023,1.2504383408723054,0.07154901646413327,2.2806793547312414,0.02373860272622527,0.4676,0.0076078906406440985,-1.580846493193792,0.016454355988304185,0.7192148148148148,0.021163331126317103
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,transformer,8,3,3.713355301907568,1.1197689092147818,1.4863531925913058,0.22268269901737217,0.016860210834155707,0.001923156779179951,11.19674608924172,0.1848397676017274,0.12310243548768941,0.015664541552450097,1.0411584238437088,0.18484816753692088,0.9863863506100393,0.07891605430976736,2.335541671875751,0.07891605852215262,,,3.741687986585829,1.1764294476298252,1.4913195901446874,0.23287707735566568,0.016551485078202352,0.0020267346363279414,2.3654454284244117,0.011369525688332544,0.9564825958675808,0.011369525688332398,0.9864114781591627,0.07882574260586953,2.361970776494344,0.009185986525444164,0.46773333333333333,0.005367805262240173,-1.637193387648205,0.0063672439324470595,0.7911259259259259,0.022364934340745237
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,transformer,9,3,3.9485238835667125,1.1860696717981436,1.532816156744957,0.22852358400390577,0.01697388549765685,0.002388802140939509,11.103993502530185,0.22115039664371663,0.12901742029671717,0.017123103448164364,1.1339052763174882,0.221150313623564,0.7478877246154078,0.08795652388075756,2.574040295499744,0.08795652652455703,,,3.923164579603407,1.15384735517482,1.5283198356628418,0.22383908316458814,0.0164260296151042,0.0023874627217111127,2.4674140082465272,0.007250477180963403,0.8545140160454645,0.007250477180963314,0.747832649842015,0.08789916500487291,2.4613964576721195,0.01551495642409838,0.46893333333333337,0.007600877142365453,-1.7061099875693955,0.01075412332138971,0.8554296296296297,0.02521663504767383
