datasize,model,beta,epochs,train_z_norm_mean,train_z_norm_std,train_d_H_Q_xCz_mean,train_d_H_Q_xCz_std,train_h_delta_acc_mean,train_h_delta_acc_std,train_d_DIQ_xz_mean,train_d_DIQ_xz_std,train_H_Q_yCz_mean,train_H_Q_yCz_std,train_DIQ_yz_mean,train_DIQ_yz_std,valid_z_norm_mean,valid_z_norm_std,valid_h_delta_acc_mean,valid_h_delta_acc_std,valid_H_Q_yCz_mean,valid_H_Q_yCz_std,valid_DIQ_yz_mean,valid_DIQ_yz_std,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,valid_acc_mean,valid_acc_std,valid_loglike_mean,valid_loglike_std,train_acc_mean,train_acc_std,train_aux_loss_mean,train_aux_loss_std,valid_aux_loss_mean,valid_aux_loss_std,valid_d_H_Q_xCz_mean,valid_d_H_Q_xCz_std,valid_d_DIQ_xz_mean,valid_d_DIQ_xz_std,train_H_zCx_mean,train_H_zCx_std,train_I_xz_mean,train_I_xz_std,valid_H_zCx_mean,valid_H_zCx_std,valid_I_xz_mean,valid_I_xz_std,run_count
mini,cdib,0.0,0,2.052392250015622,0.08674311891646996,1.5782045296260288,0.07307447414134415,0.5575396825396826,0.024781738088882444,1.7437239942096527,0.07307441483424296,5.556908743722098,0.7051893561167759,-2.2349807194301063,0.7051893561167761,2.038093864727325,0.05516418146059375,0.00462962962962963,0.002004688434686199,5.492002757847373,0.37039051055878314,-2.1700747335553805,0.3703905105587835,5.377992115020752,0.521559092149696,5.491117947387695,0.3711527488299531,0.09073333333333333,0.011705269468633919,-3.8061529811194164,0.25726346406349526,0.09666666666666666,0.03214550253664318,,,,,,,,,,,,,,,,,3
mini,cdib,0.0,1,2.0312631811414446,0.028481601976669883,0.7499240665208725,0.05309267486414304,0.7658730158730159,0.0074899151143559585,2.57200440906343,0.05309266278163237,5.1809296040307915,0.5807655577401687,-1.8590015797387984,0.5807655577401682,2.0380992640575535,0.05514640196107793,0.00925925925925926,0.014456013885181479,5.492000770010253,0.3708424032687685,-2.1700727457182603,0.37084240326876816,5.38342027982076,0.5187494687743659,5.4910891924540195,0.371567489690267,0.09073333333333333,0.011595401387331677,-3.8061330560803412,0.2575509623949235,0.09333333333333334,0.030550504633038933,,,,,,,,,,,,,,,,,3
mini,cdib,0.0,2,2.0375937961396717,0.04802817518197005,0.2279051895297709,0.027131222701187407,0.8849206349206349,0.0034366087451764117,3.0940232844579785,0.027131192408615543,5.125961655662173,0.4270559370995037,-1.8040336313701808,0.42705593709950374,2.016724093780477,0.0626011706307625,-0.0023148148148148143,0.008018753738744805,4.294070728797629,0.4310823704942706,-0.972142704505636,0.4310823704942705,5.268669913609823,0.5124916261363592,4.294059278869629,0.4315098044544078,0.12206666666666666,0.017900093109627487,-2.9764151294564214,0.2990998109367479,0.09999999999999999,0.0264575131106459,,,,,,,,,,,,,,,,,3
mini,cdib,0.0,3,2.067526607286362,0.055874323973482194,0.08005537021727789,0.0038063886588289657,0.9017857142857143,0.008928571428571383,3.2418731734866184,0.0038064610796325984,3.2535965102059503,0.6941830159901091,0.06833151408604214,0.6941830159901089,2.026400813533348,0.06424267750912961,0.012731481481481483,0.005303907054347039,3.9050289068740014,0.25442137606817466,-0.5831008825820094,0.2544213760681749,3.2008926486969,0.560283733996406,3.9052221808115646,0.2541557543631504,0.1492,0.008316249154516715,-2.706893794713976,0.17616734401164372,0.3566666666666667,0.04725815626252606,,,,,,,,,,,,,,,,,3
mini,cdib,0.0,4,2.1087248893011186,0.042891363934362985,0.0537803325624693,0.0066161983972959845,0.9047619047619048,0.010309826235528995,3.268148229235694,0.006616123268922242,1.0015524129072826,0.19822153497296657,2.3203756241571334,0.1982215475329774,2.0579375729393274,0.09595540787739242,-0.0023148148148148147,0.01219404369543141,3.855169963531982,0.027299183405409107,-0.5332419392399895,0.027299183405409218,1.0381386617819468,0.18371195875239296,3.854189202245076,0.028955777331270336,0.168,0.01597372843139635,-2.671520418115581,0.020070627443197202,0.7933333333333333,0.04163331998932263,,,,,,,,,,,,,,,,,3
mini,cdib,0.0,5,2.181402058828445,0.022410226903708093,0.03177074963847796,0.008789257686167628,0.8988095238095237,0.010309826235529035,3.290157806305658,0.008789254196217327,0.25623631814406034,0.05457596503416856,3.0656917095184326,0.05457595118295582,2.0928204015167124,0.11157384323330403,-0.008101851851851851,0.005303907054347037,3.8774785134739003,0.23024226560475364,-0.5555504891819085,0.23024226560475358,0.2770750740667184,0.05435960006043714,3.8758866544087724,0.23005774776320068,0.18146666666666667,0.015258221827373387,-2.6865599436814587,0.15946388277273577,1.0,0.0,,,,,,,,,,,,,,,,,3
mini,cdib,0.0,6,2.2415610268002464,0.18262387495507418,0.022574720660313255,0.0065939441894469165,0.9047619047619048,0.005154913117764418,3.2993538152603876,0.006593926520295668,0.09940650526966367,0.0321843944509223,3.222521509443011,0.03218441371451893,2.122931419216152,0.11530302709960742,0.00462962962962963,0.013145621170833966,3.932743644308104,0.1843628709167501,-0.6108156200161122,0.18436287091675024,0.10374435022473334,0.033912841075869574,3.931173368326823,0.18453578415628732,0.18353333333333333,0.013914500829470431,-2.7248817916156263,0.12791044948442937,1.0,0.0,,,,,,,,,,,,,,,,,3
mini,cdib,0.0,7,2.203729340008327,0.11036324914303583,0.015945031751124633,0.006267782489498883,0.9047619047619048,0.0051549131177644975,3.305983577455793,0.006267767517527634,0.04591583048126527,0.017489308809489127,3.2760121822357178,0.01748929200735646,2.1451544473473385,0.1172692208528362,-0.0011574074074074078,0.014456013885181477,3.988178069853046,0.19554233976301622,-0.6662500455610542,0.19554233976301588,0.04586394898593426,0.01649275756832387,3.986636025238037,0.1957957334750327,0.18386666666666665,0.009683663218706723,-2.763325568227369,0.1357152648073675,1.0,0.0,,,,,,,,,,,,,,,,,3
mini,cdib,0.0,8,2.2479927426292785,0.07861500951535871,0.01095397120696448,0.002743335027278159,0.8988095238095237,0.005154913117764634,3.3109746092841736,0.002743362635997475,0.025601147674024105,0.009875260369274613,3.2963268756866455,0.009875261692787615,2.1604614450781745,0.11880210710414582,-5.782411586589357e-19,0.0183732729935041,4.029659065829552,0.22903841203145048,-0.7077310415375601,0.2290384120314505,0.025346274189651016,0.008239228356785215,4.028098477172851,0.22932710195560224,0.18533333333333332,0.008600775158864083,-2.7920651536040046,0.15895743745336177,1.0,0.0,,,,,,,,,,,,,,,,,3
mini,cdib,0.0,9,2.316731816246396,0.14299323240013032,0.00768408469767088,0.0014844452747295052,0.8988095238095238,0.0051549131177644975,3.3142444973900207,0.0014844695800824883,0.017756602527307614,0.004923753861019399,3.304171437308902,0.004923750365852883,2.171328789255998,0.11998722896714459,-0.0023148148148148143,0.017818060553635013,4.051605844396118,0.24511941346768296,-0.7296778201041256,0.24511941346768296,0.017938686944544317,0.005610924752858802,4.050046687062582,0.245397016933006,0.18499999999999997,0.008052328855678963,-2.8072784936040445,0.17009626172082093,1.0,0.0,,,,,,,,,,,,,,,,,3
