experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,gamma,clfs,run,,epochs,train_z_norm_toagg,train_d_H_Q_xCz_toagg,train_h_delta_acc_toagg,train_d_DIQ_xz_toagg,train_H_Q_yCz_toagg,train_DIQ_yz_toagg,valid_z_norm_toagg,valid_h_delta_acc_toagg,valid_H_Q_yCz_toagg,valid_DIQ_yz_toagg,train_loss_toagg,valid_loss_toagg,valid_acc_toagg,valid_loglike_toagg,train_acc_toagg,train_aux_loss_toagg,valid_aux_loss_toagg,valid_d_H_Q_xCz_toagg,valid_d_DIQ_xz_toagg,train_H_zCx_toagg,train_I_xz_toagg,valid_H_zCx_toagg,valid_I_xz_toagg
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,transformer,0,2.1387814623968944,1.505849301815033,0.5773809523809523,1.8160791524818964,6.064664704459054,-2.742736680167062,2.0951781726112,0.006944444444444443,5.511662200616953,-2.18973417632496,5.634870262145996,5.511549055480957,0.0938,-3.8203147521130743,0.06,,,,,,,,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,transformer,1,2.0639977284840176,0.712121286562511,0.7738095238095238,2.60980715070452,5.505635874611991,-2.1837078503199985,2.0951492535039637,0.020833333333333332,5.510416186274812,-2.1884881619828196,5.643705024719238,5.510318282318115,0.0942,-3.8194616209834815,0.06,,,,,,,,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,transformer,2,2.070965153830392,0.22817383813006537,0.8869047619047618,3.093754666192191,5.263608285358974,-1.9416802610669817,2.083583191560861,-0.006944444444444443,4.785509804948069,-1.4635817806560771,5.489731302261353,4.785767230224609,0.1348,-3.317241117822379,0.07,,,,,,,,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,transformer,3,2.0126475606645857,0.07764735844518457,0.9017857142857142,3.2442812579018727,3.557966027941023,-0.2360380036490304,2.0658374316395283,0.006944444444444443,3.6964988609472402,-0.3745708366552481,3.6955139732360838,3.695765480041504,0.1588,-2.5617094755753875,0.32,,,,,,,,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,transformer,4,2.1529595170702254,0.05062626302242279,0.9107142857142857,3.2713022913251604,0.9599827826023102,2.361945254462106,2.0977208244914824,0.010416666666666666,3.8277858118660535,-0.5058577875740612,1.0542212808132172,3.8251760681152343,0.1646,-2.6514100325444714,0.76,,,,,,,,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,transformer,5,2.1704318523406982,0.029237790033221245,0.9107142857142857,3.2926907539367676,0.27494016289711,3.046987874167306,2.131789997362862,-0.013888888888888888,3.8351398138954234,-0.5132117896034314,0.2966195750236511,3.8326591117858886,0.1742,-2.65659689182695,1.0,,,,,,,,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,transformer,6,2.199566057750157,0.023068185230450972,0.9017857142857143,3.298860345567976,0.10676470771431923,3.2151633330753873,2.164209755845725,0.01388888888888889,3.830494388604697,-0.5085663643127052,0.11356743350625038,3.828693073272705,0.1828,-2.653847874431312,1.0,,,,,,,,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,transformer,7,2.2231455189841136,0.013482035536851202,0.9017857142857143,3.3084465094975064,0.05286309655223574,3.26906486919948,2.1882795628648215,0.010416666666666666,3.879069908739279,-0.5571418844472867,0.054537194818258285,3.877360213470459,0.1824,-2.6875813365671783,1.0,,,,,,,,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,transformer,8,2.2106600318636214,0.01070091953235013,0.9017857142857143,3.311227696282523,0.0342870902802263,3.2876409121922086,2.2043883861444247,0.013888888888888886,3.9166918356959433,-0.594763811403951,0.03173993080854416,3.9148871070861815,0.1832,-2.71359300968796,1.0,,,,,,,,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,transformer,9,2.3855000053133284,0.0070887441480798384,0.8928571428571429,3.3148398399353027,0.022402582823165824,3.299525465284075,2.2164391393478686,0.01736111111111111,3.937015422997764,-0.6150873987057719,0.023174063488841056,3.9350786613464357,0.1832,-2.727588722383231,1.0,,,,,,,,
