model,beta,run,epochs,train_z_norm_toagg,train_z_mean_norm_toagg,train_z_std_toagg,train_d_H_Q_xCz_toagg,train_h_delta_acc_toagg,train_d_DIQ_xz_toagg,train_H_Q_yCz_toagg,train_DIQ_yz_toagg,train_aux_loss_toagg,valid_z_norm_toagg,valid_z_mean_norm_toagg,valid_z_std_toagg,valid_H_Q_yCz_toagg,valid_DIQ_yz_toagg,train_loss_toagg,valid_loss_toagg,valid_acc_toagg,valid_loglike_toagg,train_acc_toagg
cdib,0.01,2,0,2.0218367644331674,1.0940274474295704,0.021361273522912103,11.281944041902369,0.13234123461174235,0.9559613114053552,6.01994003220038,-2.6980120079083876,-0.11079760137098757,1.9989420970280964,1.088113268216451,0.02107112544278304,6.00086243947347,-2.678934415181478,5.909147519599067,5.993571336364746,0.0806,-4.154427135527134,0.07995555555555556
cdib,0.01,2,1,2.021715149283409,1.0940298681909388,0.021359606254422528,11.190993178974498,0.13680301550662868,1.0468941703438759,6.019913109866056,-2.6979850855740635,-0.10988821385597641,1.9989309708277385,1.088113268216451,0.02107112544278304,5.998795827229817,-2.6768678029378257,5.910324639892578,5.991812496185303,0.0814,-4.153208188734576,0.08008888888888889
cdib,0.01,2,2,2.0220645849000323,1.0941220122304829,0.021354089967313816,10.956565856933594,0.1551657936789773,1.2813234993002631,6.0038909478621045,-2.681962923570113,-0.1075435916639187,2.0929439862569175,1.1115066607793171,0.020470773801207542,4.214433352152507,-0.8925053278605143,5.898182602606879,4.214259373474121,0.1892,-2.921102109669894,0.08064444444444445
cdib,0.01,2,3,3.5492001988671045,1.4347379891709848,0.021736127292652698,11.58586558970538,0.0929262103456439,0.6520186046307738,2.509690822525458,0.8122372017665342,-0.11230945295061577,2.4925030867258706,1.2117901643117268,0.014695545968910059,2.2195751667022705,1.1023528575897217,2.397367875756158,2.23121333656311,0.4572,-1.546559240552457,0.3913333333333333
cdib,0.01,2,4,2.5175182006575842,1.2183430377732625,0.015167180237106302,11.575871733101932,0.09457660097064396,0.6620247912677851,2.000454007224603,1.321474017067389,-0.11324119639836928,2.3473928769429526,1.1767419576644897,0.014379394551118216,2.0764989058176675,1.2454291184743245,1.887385801739163,2.0806103885650633,0.4906,-1.442169208987453,0.5170222222222223
cdib,0.01,2,5,2.476657599210739,1.209372105923566,0.015062017906033858,11.488879534331234,0.10235580906723482,0.7490302253175866,1.7147568179802462,1.607171206311746,-0.11241213528608734,2.388556480407715,1.1874293088912964,0.014587472192943096,2.0119912226994834,1.309936801592509,1.6023515883127848,2.0196257009506224,0.512,-1.3998979064749715,0.5886666666666667
cdib,0.01,2,6,2.50506185807965,1.217540050094778,0.014551015941172162,11.392102631655606,0.10952577533143938,0.845793542875485,1.4630028727379711,1.8589251522313466,-0.11141596205363219,2.44715682665507,1.2020248174667358,0.014199618250131607,2.009647488594055,1.312280535697937,1.3516602748235067,2.0226346296310425,0.522,-1.4019835034276351,0.6541777777777777
cdib,0.01,2,7,2.618257454850457,1.2445385124195705,0.01489551169586114,11.310790191997182,0.1160867956912879,0.9271148697219112,1.2192079147154635,2.1027201000939715,-0.11048964195122774,2.5803414980570474,1.2341098388036091,0.014480751318236193,1.9849180380503337,1.3370099862416585,1.1086038304222954,1.9927411962509156,0.5304,-1.3812628959640236,0.7203333333333334
cdib,0.01,2,8,2.79454227198254,1.2867414809086106,0.015130456007847732,11.219094823707234,0.121869081439394,1.0188098783520134,0.9902050207284364,2.331722995096987,-0.10939640378240835,2.7545286814371743,1.2772459983825684,0.014740439131855965,2.018441319465637,1.303486704826355,0.8808115108807881,2.0269963136672975,0.533,-1.4050067958845436,0.7824
cdib,0.01,2,9,2.920838953419165,1.3163005086508663,0.014903677278198302,11.129560438069431,0.12817797111742424,1.1083271083506672,0.7992637858472087,2.522664239460772,-0.1083747627298263,2.853952646255493,1.3011611302693684,0.014322780693570772,2.082165320714315,1.2397627035776775,0.6908818159739176,2.0933638343811034,0.5376,-1.451009257977124,0.8324666666666667
cdib,0.01,2,10,3.0570688234134153,1.3472688739950007,0.014922007733151655,11.017842818390239,0.135540068655303,1.2200356579639695,0.6201021735641089,2.7018258544531735,-0.10712135727093978,3.071915785471598,1.3509173393249512,0.014706608218451342,2.198956569035848,1.1229714552561443,0.5129662537468804,2.2047771450042726,0.5302,-1.5282351181226745,0.8818222222222222
cdib,0.01,2,11,3.2161984714594753,1.3829393278468738,0.014892884032716129,10.898801841519095,0.14428710937499997,1.3390937149524689,0.47684504210271617,2.8450829779559914,-0.10577181722460822,3.263953765233358,1.3932496706644695,0.014788073177138964,2.2562952041625977,1.0656328201293945,0.371121572860082,2.2616614681243896,0.5362,-1.56766427397296,0.9170666666666667
