model,beta,train_DIQ_yz_mean,train_DIQ_yz_std,test_DIQ_yz_mean,test_DIQ_yz_std,train_H_Q_yCz_mean,train_H_Q_yCz_std,test_H_Q_yCz_mean,test_H_Q_yCz_std,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,train_loglike_mean,train_loglike_std,test_loglike_mean,test_loglike_std,train_z_norm_mean,train_z_norm_std,test_z_norm_mean,test_z_norm_std,train_z_mean_norm_mean,train_z_mean_norm_std,test_z_mean_norm_mean,test_z_mean_norm_std,train_z_std_mean,train_z_std_std,test_z_std_mean,test_z_std_std,run_count
cdib,0.0,3.3218392350456933,2.1306083499964988e-05,-2.0336590131123864,0.11935726776714244,8.878449057881494e-05,2.1313630452009172e-05,5.355587037404379,0.11935726776714203,1.0,0.0,0.5392,0.0034394767043839825,-6.153938712362836e-05,1.4774837968115712e-05,-3.7106443850511392,0.08050207154820575,8.929341583540946,1.1250947380460683,8.85581995646159,1.120675977357103,2.3104690349463266,0.15485954649284395,2.3005300680796306,0.15509533017184243,0.010885626627978954,0.0005737088892332336,0.010821592000623546,0.000573038524155392,3
cdib,0.01,3.3200654875148428,0.0001174797765201091,-0.838898229598999,0.06381107598601511,0.001862540345455548,0.00011749956980255844,4.160826253890991,0.06381107598601583,1.0,0.0,0.5343,0.0054369108876272925,-0.001291036742892782,8.13899916454407e-05,-2.8830404432736265,0.04409170656411606,5.466988729708123,0.17656457451817492,5.412705898284912,0.18364949164266475,1.9513014807845608,0.05765040962119128,1.944428563117981,0.058920742698389476,0.13704896198980734,0.006863892061232287,0.1358373334010442,0.006649373495382773,3
cdib,0.1,3.3162045045332476,0.00036426034852895926,-0.47308295567830405,0.019902428520256463,0.005723518382927233,0.00036425133849624406,3.795010979970296,0.019902428520256168,1.0,0.0,0.5173666666666666,0.0023755701070128955,-0.003967370444770089,0.0002523948058382971,-2.629032305962417,0.013383342846987169,1.9055202549154109,0.06316461165828545,1.8874716520309447,0.06130455871155024,1.2290599544843037,0.02557431558324826,1.2247162501017252,0.02527757486020448,0.010302274544356447,0.0009300382149891766,0.010262316962083181,0.0009179529262210699,3
cdib,1.0,3.2884943665880146,0.0017828507901792674,0.4655339241027832,0.044486940651122006,0.033433662163037246,0.0017828527005512922,2.8563941001892093,0.04448694065112194,1.0,0.0,0.5106666666666667,0.0028867513459481715,-0.02317475204043067,0.0012352295779191004,-1.97820146834194,0.03014572349392036,1.0358444109107505,0.006283802994153353,1.0303117116292317,0.007109839405164297,0.926386900020368,0.007839124064951387,0.9241957624753318,0.007563592243772131,0.0065619457498983,7.319901091230513e-05,0.006560173444449902,7.287704647948209e-05,3
cdib,10.0,1.214940155997421,0.6806485788922684,0.9508824189503988,0.4501487176619421,2.1069878682945715,0.6806485788922688,2.371045605341594,0.450148717661942,0.5230814814814815,0.17218130887983168,0.43389999999999995,0.09422441297243511,-1.4604398240819545,0.47179063687104505,-1.6433905503379493,0.31210558133438704,0.8757786786917484,0.20135920104042698,0.8853346188863118,0.18815086188984412,0.6604604847503431,0.33880393865245534,0.6629548529783885,0.3354841623817961,0.006509541484499067,0.00042634744043988974,0.006531014697005351,0.0004601260048461017,3
cdib,100.0,0.13974597237326886,0.12405410736755094,0.14210589726765951,0.1201079811388416,3.182182051918724,0.12405410736755076,3.1798221270243325,0.12010798113884122,0.20503703703703705,0.062313783162447,0.2059,0.0608540056200083,-2.2057181399700823,0.0859918473303931,-2.204132712625464,0.08319661944972728,0.7296415355169413,0.2944574396876063,0.7359506587187449,0.32402951048442225,0.4578061503442851,0.25689315961543674,0.4603590041399002,0.2633574858286509,0.006467117398807947,0.00015914895395925264,0.006453276922305425,0.00012213970575930538,3
cdibfree,0.0,3.3218392350456933,2.1306083500048393e-05,-2.0336590131123864,0.1193572677671425,8.878449057881494e-05,2.1313630452009172e-05,5.355587037404379,0.11935726776714205,1.0,0.0,0.5392,0.003439476704383904,-6.153938712362836e-05,1.477483796811571e-05,-3.7106443850511392,0.08050207154820607,8.929341583540944,1.1250947380460683,8.85581995646159,1.120675977357103,2.310469034946326,0.15485954649284395,2.3005300680796306,0.15509533017184246,0.010885626627978954,0.0005737088892332351,0.010821592000623546,0.0005730385241553914,3
cdibfree,0.01,3.320470542618722,0.000105439329035278,-1.1530850410461426,0.02534210896537421,0.0014574909371069887,0.00010543109024792204,4.475013065338135,0.02534210896537358,1.0,0.0,0.5338333333333333,0.003231614663497717,-0.0010102817658706172,7.306024602066606e-05,-3.100769778934904,0.015469911712381953,34.911114663788766,5.18054431347472,34.71359952290853,5.146577892729312,4.643005067651923,0.20248151179488313,4.63078711827596,0.20083530048227324,0.17600189691240134,0.010388111374766126,0.1746880898873011,0.010494428521409112,3
cdibfree,0.1,3.3161097114736386,0.000795178382668571,-0.8454342365264892,0.07833994490456965,0.0058183354875919495,0.0007951816290869926,4.167362260818481,0.07833994490456954,1.0,0.0,0.5288666666666666,0.0035529330606322443,-0.004032998054905002,0.0005511889180085888,-2.8871753338612205,0.05351969630262448,101.99373881022136,3.976246014465377,101.61341400146485,4.08391782898843,8.960085305300625,0.18854713052523203,8.945308876037599,0.19477950620594153,0.051113649468981864,0.0013758109544156022,0.05075038298964501,0.0013095379114957556,3
cdibfree,1.0,1.2161136341817451,0.09827944640507195,1.0928886572519938,0.05866529948204041,2.105814390110247,0.09827944640507184,2.229039367039998,0.05866529948204008,0.4903037037037037,0.025376817780376506,0.4564,0.01419048977308393,-1.4596531503216212,0.06810222247917191,-1.544763172835946,0.04073575833035521,1413.1077233516808,428.47580403647385,1427.6868855794273,451.68099504829735,25.907152724988535,2.8981469092642493,25.981149037679035,3.066643415165884,0.07059006179880463,0.08754679213928164,0.07180465422570705,0.08944296164962155,3
cdibfree,10.0,0.3641099713065407,0.1821201969074903,0.3676907221476237,0.17243356808899943,2.9578180529854516,0.18212019690749032,2.9542373021443686,0.17243356808899943,0.2678148148148148,0.04829884508157507,0.26786666666666664,0.047461177117021996,-2.05019607750514,0.12623076690851553,-2.0476789411942167,0.11982082986011398,4121.1770426432295,1940.864168428925,4128.796761067708,1939.163576137935,41.46321735960064,11.71245481042581,41.507931391398124,11.725391473943693,2.1821824890194517,1.4412070922019629,2.186039618651072,1.449675651865532,3
cdibfree,100.0,0.2195311640248154,0.0145173851914674,0.22996773719787597,0.012865335441253898,3.102396860267177,0.014517385191467442,3.091960287094116,0.012865335441253815,0.2209481481481482,0.008603454182380055,0.22240000000000001,0.01186549619695695,-2.1504024733550016,0.010055506508283346,-2.1432139349828163,0.008870855594073867,18224.555131392044,5287.162429465763,18334.073697916665,5470.840915711239,87.86974207560222,13.380914073809931,88.01901245117188,13.636679402096535,10.196413950486617,0.9338478433433667,10.203557014465334,0.9300857041239399,3
