datasize,model,beta,epochs,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,train_acc_mean,train_acc_std,valid_acc_mean,valid_acc_std,run_count
mini,cdib,0.0,0,-1.0893222352380407,0.01987428984220903,12.205930440266926,0.1647979541160151,0.10000000000000002,0.0,,,3
mini,cdib,0.0,1,-1.090938408949194,0.01252019423521416,11.477854511006674,0.8002990104278556,0.10000000000000002,0.0,,,3
mini,cdib,0.0,2,-1.0950902461533498,0.006997371913825922,11.79252123006185,0.32648328550355094,0.10000000000000002,0.0,,,3
mini,cdib,0.0,3,-1.1063964962329802,0.004825427537525779,12.031327161661784,0.5966295958169967,0.10000000000000002,0.0,,,3
mini,cdib,0.0,4,-1.1236491087010199,0.003834457535741557,11.820628363545737,0.3641848762767075,0.10000000000000002,0.0,,,3
mini,cdib,0.0,5,-1.1371993792647184,0.0034672373635989085,11.77348388112386,0.08693974474367618,0.10666666666666667,0.01154700538379251,,,3
mini,cdib,0.0,6,-1.158347026601483,0.00862310942846868,12.32599388631185,0.5531712090414337,0.11,0.017320508075688773,,,3
mini,cdib,0.0,7,-1.1775327246495992,0.01011051565149967,12.379358854166666,0.22799118927984682,0.11666666666666665,0.005773502691896256,,,3
mini,cdib,0.0,8,-1.1971427165399684,0.004196260756648461,11.846027302551269,0.3584367073096782,0.13,0.0,,,3
mini,cdib,0.0,9,-1.2147884550739831,0.004472196011647438,12.368284479268391,0.288006095811008,0.15333333333333335,0.0288675134594813,,,3
mini,cdib,0.0,10,-1.2391303642512155,0.011262325545604652,12.036709996541342,0.5307907633207188,0.19333333333333336,0.01527525231651946,,,3
mini,cdib,0.0,11,-1.2551504961492206,0.004472153806362673,12.282315340677897,0.2544568068099768,0.25,0.03605551275463988,,,3
mini,cdib,0.0,12,-1.274315356893508,0.00273668385139784,12.644331505330404,0.25384659134705856,0.3233333333333333,0.023094010767585025,,,3
mini,cdib,0.0,13,-1.299701432489326,0.004298574589247806,12.655426539611815,0.677469532012167,0.37666666666666665,0.023094010767585056,,,3
mini,cdib,0.0,14,-1.315251565042502,0.005014365804557629,12.77938253733317,0.15960048560681864,0.4466666666666666,0.03214550253664318,,,3
mini,cdib,0.0,15,-1.3334548227700462,0.0019704389491626137,12.902109208170573,0.2649140369927652,0.49666666666666665,0.0057735026918962675,,,3
mini,cdib,0.0,16,-1.3537696254214044,0.005701610053588513,12.822789498392739,0.28209775743333143,0.5466666666666667,0.0057735026918962545,,,3
mini,cdib,0.0,17,-1.367031030403112,0.0003011441288731698,13.195407336425781,0.2060856508543657,0.6366666666666667,0.011547005383792535,,,3
mini,cdib,0.0,18,-1.387799950810549,0.006939983470936501,13.300824146016438,0.21444940230413248,0.6766666666666666,0.025166114784235784,,,3
mini,cdib,0.0,19,-1.404693982829355,0.0032833217886158667,13.078483839925129,0.3324000394151043,0.7399999999999999,0.036055512754639925,,,3
mini,cdib,0.0,20,-1.4172387180076573,0.00403079808490632,13.173330318196614,0.11149231714916633,0.7566666666666667,0.04041451884327383,,,3
mini,cdib,0.0,21,-1.4320921079239044,0.0013698906726550316,13.54026655731201,0.28399752418273166,0.8366666666666666,0.011547005383792535,,,3
mini,cdib,0.0,22,-1.4494251166239822,0.003656600152142776,13.317002380371093,0.20458338315909114,0.86,0.030000000000000027,,,3
mini,cdib,0.0,23,-1.4620872734875567,0.003090369614340542,13.543261467997231,0.15829247877905772,0.89,0.036055512754639925,,,3
mini,cdib,0.0,24,-1.4777703111478597,0.003832646315393881,13.5639654103597,0.36088791033058054,0.93,0.009999999999999981,,,3
mini,cdib,0.0,25,-1.488565493117858,0.005725660443783612,13.850234941101073,0.08495144094623919,0.9233333333333333,0.02886751345948121,,,3
mini,cdib,0.0,26,-1.5025004106150208,0.003786486727154033,13.860090580749512,0.15352679391143917,0.9466666666666667,0.020816659994661302,,,3
mini,cdib,0.0,27,-1.5139278286439748,0.0054405939512388625,14.028773790995281,0.10575205186097954,0.96,0.03,,,3
mini,cdib,0.0,28,-1.5207342825313603,0.009832117975763574,13.842904142252605,0.044905998545743314,0.9733333333333333,0.015275252316519468,,,3
mini,cdib,0.0,29,-1.5316051274636397,0.009439400654467557,14.109464556884767,0.18965431507800976,0.9766666666666666,0.015275252316519477,,,3
mini,cdib,0.0,30,-1.5403542785676005,0.009381718727104957,13.979477922058104,0.184279739900664,0.9766666666666666,0.015275252316519494,,,3
