datasize,model,beta,run,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg
mini,cdib,0.0,0,0.1,-14.506386784015115,1.0,-0.011663130468061313
mini,cdib,0.0,2,0.0999,-14.549266810332924,1.0,-0.006374494129215975
mini,cdib,0.0,1,0.1,-14.600625060024793,1.0,-0.013005748836959513
mini,cdib,1.0,0,0.1,-14.299312503207386,1.0,-0.0042030492153182315
mini,cdib,1.0,1,0.1,-14.233319509864561,1.0,-0.004340684899084692
mini,cdib,1.0,2,0.1,-14.25987565557459,1.0,-0.0033321058575779714
mini,cdib,10.0,1,0.1,-12.6051333877667,0.43,-1.5342446713576785
mini,cdib,10.0,0,0.1,-12.429606006341164,0.34,-1.790464665558276
mini,cdib,10.0,2,0.1,-12.444669608220194,0.36,-1.7772268098089377
mini,cdib,100.0,1,0.1,-12.525521440199315,0.31,-2.020268104827453
mini,cdib,100.0,0,0.1,-12.4215038479037,0.29,-2.371074700727414
mini,cdib,100.0,2,0.1,-12.26696593258517,0.22,-2.240872595968267
mini,cdib,0.1,1,0.1,-14.514654016896687,1.0,-0.009133453844883021
mini,cdib,0.1,0,0.1,-14.501625729167356,1.0,-0.008701298270203281
mini,cdib,0.1,2,0.0999,-14.467538383710403,1.0,-0.00521047412486297
mini,cdib,0.01,0,0.1,-14.52318196596162,1.0,-0.011979766477136736
mini,cdib,0.01,2,0.0999,-14.528875773106055,1.0,-0.005734118016771674
mini,cdib,0.01,1,0.1,-14.567272769557226,1.0,-0.01118534866464465
mini,vib,1.0,0,0.1,-12.29623500209696,0.41,-0.9635837280672422
mini,vib,1.0,1,0.1,-12.389634118904988,0.52,-0.844828296929727
mini,vib,1.0,2,0.1,-12.2831809320339,0.41,-0.9569728864843636
mini,vib,0.1,0,0.1,-13.94243752923866,0.98,-0.1989059382319816
mini,vib,0.1,1,0.1,-14.111560803912266,0.98,-0.20218610914424676
mini,vib,0.1,2,0.1,-13.920569704239636,0.98,-0.2186047344392128
mini,vib,0.01,0,0.1,-14.717337932257035,1.0,-0.023605359671288254
mini,vib,0.01,1,0.0999,-14.676237720442266,1.0,-0.04018441089663589
mini,vib,0.01,2,0.1,-14.81230910482083,1.0,-0.023698222565104884
mini,vib,0.0,0,0.1,-14.54423132004666,1.0,-0.008819363152208411
mini,vib,0.0,1,0.0999,-14.56952205536774,1.0,-0.012544428977165864
mini,vib,0.0,2,0.1,-14.552268534010564,1.0,-0.0069346775698979
mini,vib,100.0,0,0.1,-11.814572957036097,0.1,-4.296289695929737
mini,vib,100.0,1,0.1,-11.77197119950645,0.1,-4.701051820348948
mini,vib,100.0,2,0.1,-11.742803066917643,0.1,-4.32583645937033
mini,vib,10.0,0,0.1,-11.753240776456582,0.1,-2.416247646018164
mini,vib,10.0,1,0.1,-11.726839004878563,0.11,-2.5644118279786925
mini,vib,10.0,2,0.1,-11.732441731275426,0.1,-2.5626657971390525
small,cdib,0.0,0,0.1032,-12.135091696767425,0.935,-0.23383708886304785
small,cdib,0.0,2,0.1034,-11.96118628348125,0.905,-0.3007363810863958
small,cdib,0.0,1,0.1014,-12.317542853521482,0.934,-0.2328931758705397
small,cdib,1.0,0,0.1042,-8.873513899489572,0.544,-1.1048878285385009
small,cdib,1.0,2,0.1031,-8.877131109154671,0.521,-1.0640364932595363
small,cdib,1.0,1,0.1044,-9.058477827025714,0.56,-1.0082299148784633
small,cdib,100.0,0,0.1,-7.0313058513008455,0.1,-6.1984645231261375
small,cdib,100.0,1,0.1,-6.9160197411923985,0.1,-6.127735472556589
small,cdib,100.0,2,0.1,-6.795835397817035,0.1,-5.817163737110843
small,cdib,10.0,0,0.1005,-6.933586615848106,0.163,-2.645583123930733
small,cdib,10.0,1,0.102,-7.117867460518083,0.218,-2.2944303888799684
small,cdib,10.0,2,0.1006,-6.961930196013938,0.163,-2.6416914930094793
small,cdib,0.1,0,0.069,-10.082948863372168,0.736,-0.7110374194294201
small,cdib,0.1,1,0.1049,-10.884517463820398,0.8079999999999999,-0.4546861369389854
small,cdib,0.1,2,0.107,-10.388977996903254,0.7490000000000001,-0.5642937060405037
small,cdib,0.01,0,0.1026,-12.233915876546158,0.945,-0.2248738725674296
small,cdib,0.01,2,0.0912,-11.89141969602304,0.914,-0.2690686678553487
small,cdib,0.01,1,0.1053,-12.250202244490707,0.9179999999999999,-0.2450545478678109
small,vib,0.0,0,0.0608,-11.792609130376023,0.8740000000000001,-0.38418037314021
small,vib,0.0,1,0.0532,-12.003226909616627,0.89,-0.3433389297078365
small,vib,0.0,2,0.1033,-11.66096139958439,0.9059999999999999,-0.30947237029451463
small,vib,100.0,1,0.1009,-4.4686639062143865,0.12300000000000001,-3.3864739026576283
small,vib,100.0,0,0.1,-4.544144732393196,0.1,-3.354585131630301
small,vib,100.0,2,0.1,-4.294918593334546,0.1,-3.3195567499548195
small,vib,1.0,1,0.1036,-7.889814007349144,0.9129999999999999,-0.3274153550629805
small,vib,1.0,0,0.10400000000000001,-7.6544022279800545,0.8690000000000001,-0.3679681157222351
small,vib,1.0,2,0.105,-7.500948487541474,0.852,-0.37959024516751694
small,vib,10.0,1,0.1068,-5.787072457598553,0.79,-0.5545378897956398
small,vib,10.0,0,0.1034,-5.733940961506796,0.5670000000000001,-0.6544009330885019
small,vib,10.0,2,0.1092,-5.1927680577756465,0.727,-0.605503079631806
small,vib,0.01,0,0.1039,-10.792428447790863,0.902,-0.28302774305277195
small,vib,0.01,2,0.1038,-10.778433420676794,0.9079999999999999,-0.2924917412173174
small,vib,0.01,1,0.10300000000000001,-11.021452262045305,0.925,-0.2597701781829958
small,vib,0.1,0,0.1053,-9.532499310979805,0.9159999999999999,-0.2744803674187333
small,vib,0.1,2,0.1044,-9.63570427485898,0.914,-0.2848475476799107
small,vib,0.1,1,0.0977,-9.60663699257365,0.9359999999999999,-0.2508090985131189
