experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,gamma,clfs,clf_nhid,clf_nlay,clf_kpru,epochs,run_count,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std,train_sharp_mag_mean,train_sharp_mag_std,train_var_grad_mean,train_var_grad_std,train_path_norm_mean,train_path_norm_std,train_y_pred_ent_mean,train_y_pred_ent_std
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,128,1,0,best,3,0.09996666666666669,5.773502691896523e-05,-14.552092884790943,0.047182657713940354,1.0,0.0,-0.010347791144745601,0.003505848385389503,,,,,,,,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,-0.1,default,128,1,0,best,3,0.09996666666666669,5.773502691896523e-05,-14.539776836208299,0.023981756044875572,1.0,0.0,-0.009633077719517687,0.003399880878491058,,,,,,,,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,128,1,0,best,3,0.09996666666666666,5.773502691896623e-05,-14.49460604325815,0.024329564635110965,1.0,0.0,-0.007681742079983091,0.002151061038112211,,,,,,,,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,128,1,0,best,3,0.10000000000000002,0.0,-14.26416922288218,0.03320534343678922,1.0,0.0,-0.003958613323993631,0.0005469182749437,,,,,,,,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,128,1,0,best,3,0.10000000000000002,0.0,-12.493136334109352,0.09728428982285603,0.37666666666666665,0.04725815626252607,-1.7006453822416308,0.14425916831599844,,,,,,,,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,128,1,0,best,3,0.10000000000000002,0.0,-12.404663740229395,0.13009776919403132,0.2733333333333333,0.04725815626252607,-2.210738467174378,0.1773340526248544,,,,,,,,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,128,1,0,best,3,0.09996666666666669,5.773502691896523e-05,-14.555340636474988,0.012922216661013976,1.0,0.0,-0.009432823233090725,0.0028547465151854247,,,,,,,,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,-0.1,default,128,1,0,best,3,0.09996666666666669,5.773502691896523e-05,-14.735294919173377,0.0697903678598271,1.0,0.0,-0.029162664377676343,0.009545225409879518,,,,,,,,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,128,1,0,best,3,0.10000000000000002,0.0,-13.991522679130187,0.10452948863093764,0.98,0.0,-0.2065655939384804,0.010554409424534327,,,,,,,,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,128,1,0,best,3,0.10000000000000002,0.0,-12.323016684345284,0.05806043512401766,0.4466666666666666,0.06350852961085887,-0.9217949704937777,0.06673700200222378,,,,,,,,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,128,1,0,best,3,0.10000000000000002,0.0,-11.73750717087019,0.013910693524430449,0.10333333333333335,0.0057735026918962545,-2.514441757045303,0.08504307576887601,,,,,,,,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,128,1,0,best,3,0.10000000000000002,0.0,-11.77644907448673,0.03609387489807564,0.10000000000000002,0.0,-4.4410593252163375,0.2256442464398635,,,,,,,,
QminimalityDatasize,cifar10mnist,small,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,128,1,0,best,3,0.10266666666666667,0.00110151410945722,-12.137940277923386,0.17819536207113032,0.9246666666666666,0.01703917055884275,-0.25582221527332777,0.03889967173315452,,,,,,,,
QminimalityDatasize,cifar10mnist,small,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,-0.1,default,128,1,0,best,3,0.09970000000000001,0.007483982896827063,-12.125179272353302,0.20260544437350164,0.9256666666666667,0.01686218649325563,-0.24633236276352974,0.0221250896227803,,,,,,,,
QminimalityDatasize,cifar10mnist,small,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,128,1,0,best,3,0.09363333333333333,0.02135891695131879,-10.45214810803194,0.40450080656426496,0.7643333333333334,0.038370995990895634,-0.5766724208029697,0.12862316837568777,,,,,,,,
QminimalityDatasize,cifar10mnist,small,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,128,1,0,best,3,0.10389999999999999,0.0007000000000000052,-8.93637427855665,0.10576024046395077,0.5416666666666666,0.019604421270043523,-1.0590514122255001,0.048521400875951144,,,,,,,,
QminimalityDatasize,cifar10mnist,small,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,128,1,0,best,3,0.10103333333333335,0.0008386497083606026,-7.004461424126709,0.09922971556774449,0.18133333333333335,0.031754264805429415,-2.5272350019400602,0.2016240984960654,,,,,,,,
QminimalityDatasize,cifar10mnist,small,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,128,1,0,best,3,0.10000000000000002,0.0,-6.9143869967700935,0.11774371748305394,0.10000000000000002,0.0,-6.0477879109311905,0.20283313785315124,,,,,,,,
QminimalityDatasize,cifar10mnist,small,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,128,1,0,best,3,0.07243333333333334,0.0270000617283245,-11.818932479859015,0.17264445802112902,0.89,0.015999999999999875,-0.3456638910475203,0.0374082277877658,,,,,,,,
QminimalityDatasize,cifar10mnist,small,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,-0.1,default,128,1,0,best,3,0.10356666666666665,0.0004932882862316186,-10.864104710170986,0.13644652526397089,0.9116666666666667,0.011930353445448828,-0.27842988748436176,0.016838360333572895,,,,,,,,
QminimalityDatasize,cifar10mnist,small,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,128,1,0,best,3,0.10246666666666666,0.004152509281546923,-9.591613526137479,0.053217427128193134,0.922,0.012165525060596368,-0.270045671203921,0.017447174651166908,,,,,,,,
QminimalityDatasize,cifar10mnist,small,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,128,1,0,best,3,0.1042,0.0007211102550927955,-7.681721574290225,0.19586693987483825,0.878,0.03148015247739434,-0.3583245719842442,0.027391663717726646,,,,,,,,
QminimalityDatasize,cifar10mnist,small,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,128,1,0,best,3,0.10646666666666667,0.0029143323992525867,-5.571260492293665,0.3288588317344839,0.6946666666666667,0.11496231266520926,-0.6048139675053159,0.04993508796998532,,,,,,,,
QminimalityDatasize,cifar10mnist,small,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,128,1,0,best,3,0.10030000000000001,0.000519615242270668,-4.435909077314043,0.12780092413491576,0.10766666666666669,0.0132790561913614,-3.353538594747583,0.03347084942226456,,,,,,,,
