beta,run,epochs,train_loss_toagg,valid_loss_toagg,valid_acc_toagg,train_acc_toagg
0.01,3,0,1.2982929785034873,1.7031831363677978,0.4336,0.42644444444444446
0.01,3,1,0.6166305473674427,1.500895220375061,0.487,0.8228888888888889
0.01,3,2,0.3019026286016811,1.4639810125350952,0.5052,0.9379777777777778
0.01,3,3,0.13656945306821303,1.4814494218826293,0.5092,0.9732666666666666
0.01,3,4,0.0404974660908634,1.5346851978302003,0.5134,0.9854
0.01,3,5,-0.02010429051139138,1.5916839269638061,0.5158,0.9907555555555555
0.01,3,6,-0.0612403620400212,1.6589984865188598,0.5178,0.9933777777777778
0.01,3,7,-0.09218795071948659,1.7178923419952392,0.5182,0.9953777777777778
0.01,3,8,-0.11652174644686959,1.7902664445877075,0.5176,0.9960222222222223
0.01,3,9,-0.1364054924249649,1.8685909000396728,0.514,0.9967777777777778
0.01,3,10,-0.15374445469379425,1.9619849979400634,0.518,0.9973111111111111
0.01,3,11,-0.1694474224090576,2.0269671298980714,0.5158,0.9975333333333334
0.01,3,12,-0.1829158809553493,2.086502627944946,0.5198,0.9977777777777778
0.01,3,13,-0.195866192464395,2.167753037261963,0.5142,0.9973777777777778
0.01,3,14,-0.2084021684364839,2.2817023509979246,0.5108,0.9981333333333333
0.01,3,15,-0.21944454106851058,2.369128902435303,0.5108,0.9979555555555556
0.01,3,16,-0.23100042962160977,2.424330135345459,0.5074,0.9975777777777778
0.01,3,17,-0.24260450584671714,2.5674353588104246,0.5038,0.9977777777777778
0.01,3,18,-0.253114042745937,2.6348475387573242,0.5072,0.9976222222222222
0.01,3,19,-0.2648368967142972,2.7214044776916504,0.5064,0.9973555555555556
0.01,3,20,-0.2739801564520056,2.8118333000183107,0.5024,0.9972444444444445
0.01,3,21,-0.2855764765956185,2.862133110809326,0.499,0.9973555555555556
0.01,3,22,-0.2934347521305084,2.949273931121826,0.5008,0.9968
0.01,3,23,-0.30353152340975675,3.0520172023773195,0.4974,0.9969333333333333
0.01,3,24,-0.31174521561535923,3.1154563522338865,0.497,0.9966666666666667
0.01,3,25,-0.32012481342012233,3.175492752456665,0.499,0.9963777777777778
0.01,3,26,-0.3303871926654469,3.26264796295166,0.5,0.9959333333333333
0.01,3,27,-0.3370568255142732,3.2952259216308595,0.4956,0.9962888888888889
0.01,3,28,-0.34567438189333133,3.3858930683135986,0.4928,0.9967333333333334
0.01,3,29,-0.3540895832451907,3.412820278930664,0.4966,0.9960444444444444
0.01,3,30,-0.36159694724516434,3.5015813346862794,0.4928,0.9962888888888889
0.01,3,31,-0.36900933783704587,3.5517947025299073,0.493,0.9954666666666667
0.01,3,32,-0.37639656123681503,3.6116634078979493,0.488,0.9957555555555555
0.01,3,33,-0.38312343306107954,3.661318572998047,0.4942,0.9954888888888889
0.01,3,34,-0.38765722535306757,3.7199543998718263,0.4916,0.9952222222222222
0.01,3,35,-0.3940325996875763,3.773804885482788,0.4884,0.9960666666666667
0.01,3,36,-0.40039770782644096,3.78334634475708,0.4888,0.9952888888888889
0.01,3,37,-0.40616863656910984,3.843382388305664,0.488,0.9952222222222222
0.01,3,38,-0.4114330759265206,3.840775601196289,0.4924,0.9954888888888889
0.01,3,39,-0.41784696430726487,3.9724134773254396,0.4884,0.9957333333333334
0.01,3,40,-0.4226825876929543,3.9364627655029296,0.4864,0.9948888888888889
0.01,3,41,-0.4264010869589719,3.9837410926818846,0.4884,0.9955555555555555
0.01,3,42,-0.43203584407459605,4.033864315795898,0.4884,0.9954222222222222
0.01,3,43,-0.4381319328654896,4.029751351165771,0.4902,0.9950444444444444
0.01,3,44,-0.43933225471323184,4.058776929473877,0.4898,0.9949111111111111
0.01,3,45,-0.44672266079295764,4.113691952514649,0.4878,0.9953555555555555
0.01,3,46,-0.44985308700908316,4.150484706115723,0.4876,0.9952222222222222
0.01,3,47,-0.4537096540711143,4.1775794570922855,0.4868,0.9948
0.01,3,48,-0.45766389561999926,4.225463315582275,0.4854,0.9950444444444444
0.01,3,49,-0.46339934130581945,4.258785249328613,0.4846,0.9949555555555556
0.01,3,50,-0.46673414796048945,4.193750935363769,0.4852,0.9950888888888889
0.01,3,51,-0.47050360893119464,4.290649739074707,0.485,0.9947111111111111
0.01,3,52,-0.4734301522948525,4.287545655059814,0.4862,0.9948222222222223
0.01,3,53,-0.4770867252523249,4.328772289276123,0.4848,0.9947555555555555
0.01,3,54,-0.4783471518083052,4.33091302947998,0.4856,0.9948666666666667
0.01,3,55,-0.4839053000493483,4.406945682525635,0.485,0.9954666666666667
0.01,3,56,-0.48611174807548524,4.366236540222168,0.4872,0.9947555555555555
0.01,3,57,-0.4887388907952742,4.37721770401001,0.4858,0.9953555555555555
0.01,3,58,-0.4916165177518671,4.430998449707031,0.485,0.9947777777777778
0.01,3,59,-0.49384847916689784,4.434209217834472,0.485,0.9948666666666667
0.01,3,60,-0.49745497941537337,4.454618786621094,0.4862,0.9952
0.01,3,61,-0.5008058222857389,4.473711386108398,0.4864,0.9948
0.01,3,62,-0.5014188522772356,4.485554837799072,0.4872,0.9950888888888889
0.01,3,63,-0.5044508166486567,4.5056549774169925,0.4864,0.9945777777777778
0.01,3,64,-0.507878268770738,4.5279394744873045,0.4864,0.9947777777777778
0.01,3,65,-0.5100858038425445,4.514185176086426,0.4872,0.9945777777777778
0.01,3,66,-0.512324291489341,4.571548124694824,0.4838,0.9949777777777777
0.01,3,67,-0.5143649941531094,4.532061090087891,0.4846,0.9948888888888889
0.01,3,68,-0.5174429394635287,4.556138505554199,0.4852,0.9951111111111111
0.01,3,69,-0.5202852953477339,4.6015633155822755,0.483,0.9950222222222223
0.01,3,70,-0.5218562245455656,4.600464391326904,0.4846,0.9946
0.01,3,71,-0.5253261277372187,4.614930848693848,0.485,0.9950222222222223
0.01,3,72,-0.5244408714988015,4.63604979095459,0.4834,0.9948444444444444
0.01,3,73,-0.5278492056759921,4.615886408233642,0.4842,0.9947111111111111
0.01,3,74,-0.5297239673874595,4.618039019775391,0.4854,0.9946
0.01,3,75,-0.5288179622736844,4.672751954650879,0.485,0.9945111111111111
0.01,3,76,-0.5319675831968134,4.697787075805664,0.486,0.9946222222222222
0.01,3,77,-0.5344309280742299,4.714041032409668,0.4844,0.9949111111111111
0.01,3,78,-0.5372684431162748,4.6966205078125,0.4844,0.9948444444444444
0.01,3,79,-0.5391082007581537,4.747904320526123,0.485,0.9951555555555556
0.01,3,80,-0.5398120724851435,4.735844017028809,0.4866,0.9945777777777778
0.01,3,81,-0.5416616025924683,4.737917925262451,0.486,0.9949333333333333
0.01,3,82,-0.5437890566565774,4.7500832092285155,0.4856,0.9945111111111111
0.01,3,83,-0.5436448611432856,4.721964730072021,0.4864,0.9944888888888889
0.01,3,84,-0.5469218366276134,4.768485111236572,0.4858,0.995
0.01,3,85,-0.5481147354602813,4.751445906829834,0.4828,0.9943777777777778
0.01,3,86,-0.5471937656662681,4.7610482948303225,0.4858,0.9948
0.01,3,87,-0.5500761334722692,4.778618337249756,0.4866,0.9944222222222222
0.01,3,88,-0.5511415224682201,4.793356234741211,0.4826,0.9949777777777777
0.01,3,89,-0.5525105233452536,4.808463670349121,0.4836,0.9946222222222222
0.01,3,90,-0.5519882690949873,4.805747299957275,0.4846,0.9946888888888888
0.01,3,91,-0.5557484152620489,4.770377355957031,0.486,0.995
0.01,3,92,-0.5575570034287193,4.837041778564453,0.4842,0.9949111111111111
0.01,3,93,-0.5566652123711326,4.819562079620361,0.4866,0.9946888888888888
0.01,3,94,-0.5598084740335291,4.814599768829345,0.486,0.9948888888888889
0.01,3,95,-0.559710674051805,4.837842984771728,0.4842,0.9943777777777778
0.01,3,96,-0.5625322355183688,4.810755498504639,0.4864,0.9946444444444444
0.01,3,97,-0.5630087365410544,4.849715075683593,0.4856,0.9949333333333333
0.01,3,98,-0.5625666712023996,4.846213732910156,0.4824,0.9948888888888889
0.01,3,99,-0.5625842768929221,4.843445192718506,0.4834,0.9942666666666666
0.01,3,100,-0.5655168617508628,4.828678549194336,0.4852,0.9943555555555555
0.01,3,101,-0.5657716893282804,4.881349391174316,0.4842,0.9950888888888889
0.01,3,102,-0.5671876311648976,4.829221003723145,0.4866,0.9950444444444444
0.01,3,103,-0.5681992620121349,4.879827964019776,0.4822,0.9946
0.01,3,104,-0.5694370074055412,4.899635307312011,0.4846,0.9946
0.01,3,105,-0.5693817868059332,4.884882096862793,0.4844,0.9948444444444444
0.01,3,106,-0.570844991198453,4.893117365264892,0.4814,0.9949555555555556
0.01,3,107,-0.5708165718252008,4.8556825714111325,0.4816,0.9951333333333333
0.01,3,108,-0.5746272136601535,4.9158997665405275,0.482,0.9945555555555555
0.01,3,109,-0.573484451419657,4.888026208496094,0.4836,0.9947555555555555
0.01,3,110,-0.5748134583126415,4.941195887756348,0.483,0.9945333333333334
0.01,3,111,-0.5755530465993014,4.908160181427002,0.484,0.9944
0.01,3,112,-0.5743102310484106,4.9002358413696285,0.484,0.9948
0.01,3,113,-0.5774360591584986,4.91479475402832,0.4842,0.9949777777777777
0.01,3,114,-0.5754905149719932,4.927863181304931,0.4858,0.9945333333333334
0.01,3,115,-0.5795832138495012,4.925677151489258,0.4818,0.9945777777777778
0.01,3,116,-0.576777885202928,4.947050788879395,0.4834,0.9950444444444444
0.01,3,117,-0.5784721058281985,4.950599611663819,0.4818,0.9948666666666667
0.01,3,118,-0.5798831658710133,4.949229118347168,0.4864,0.9942
0.01,3,119,-0.5799063862887296,4.951479920196533,0.4844,0.9943333333333333
0.01,3,120,-0.5809583101532676,4.916116627502442,0.4844,0.9950222222222223
0.01,3,121,-0.5803524931127375,4.945959952545166,0.4816,0.9944444444444445
0.01,3,122,-0.5819472944736481,4.920031994628906,0.4862,0.9942444444444445
0.01,3,123,-0.5814859797997908,4.962382479858398,0.4842,0.9947777777777778
0.01,3,124,-0.5845580787745389,4.930627138519287,0.4866,0.9945111111111111
0.01,3,125,-0.5827748175404288,4.966167519378662,0.4838,0.9947333333333334
0.01,3,126,-0.5841767610549927,4.957536614227295,0.4858,0.9946
0.01,3,127,-0.5842681413043629,4.977107847595215,0.4822,0.9945777777777778
0.01,3,128,-0.5860654374512759,4.962861365509033,0.4844,0.9945555555555555
0.01,3,129,-0.5876565731742165,4.971975067138672,0.4826,0.9948
0.01,3,130,-0.5863455656831915,4.974330872344971,0.4826,0.9942444444444445
0.01,3,131,-0.587601705568487,4.977435325622559,0.4804,0.9947333333333334
0.01,3,132,-0.5861861279574307,4.953506047058106,0.4814,0.9947111111111111
0.01,3,133,-0.5890942902825096,5.03135458908081,0.481,0.9951777777777778
0.01,3,134,-0.5885699130925265,4.959662524414062,0.485,0.9951333333333333
0.01,3,135,-0.5854927279298956,4.968616968536377,0.4826,0.9943333333333333
0.01,3,136,-0.5884661315917968,4.982654173278808,0.4808,0.9948
0.01,3,137,-0.587630402209542,4.974562336730957,0.4856,0.9944
0.01,3,138,-0.5864726771918211,4.992941310119629,0.487,0.9949777777777777
0.01,3,139,-0.5875828028245406,4.986289294433594,0.4856,0.9944
0.01,3,140,-0.5881807578346946,4.986887104797363,0.4862,0.9940888888888889
0.01,3,141,-0.589179097331654,4.994597870635986,0.4838,0.9946
0.01,3,142,-0.5907301225228743,5.023480425262451,0.485,0.9946444444444444
0.01,3,143,-0.5903974672404203,5.006371804809571,0.482,0.9942888888888889
0.01,3,144,-0.5908342566923662,5.025574664306641,0.4828,0.9951111111111111
0.01,3,145,-0.5933948101303794,5.007995716094971,0.4828,0.9950888888888889
0.01,3,146,-0.5908125576105985,4.977460807800293,0.4854,0.9942666666666666
0.01,3,147,-0.5923284524917602,5.006937293243408,0.4828,0.9945777777777778
0.01,3,148,-0.5935662164428017,4.993421268463135,0.4834,0.9948
0.01,3,149,-0.590086373498223,5.012205386352539,0.483,0.9944888888888889
0.01,3,150,-0.5942063242218711,5.016385972595215,0.4842,0.9943777777777778
0.01,3,151,-0.5945098842187361,5.0186906349182125,0.4828,0.9950666666666667
0.01,3,152,-0.5920591479648243,4.992879857635498,0.4826,0.9950222222222223
