experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,run,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg,train_sharp_mag_toagg,train_var_grad_toagg,train_path_norm_toagg,train_y_pred_ent_toagg
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,3,128,1,0,-0.1,best,0.4575,-5.524507027505523,0.9970222222222224,-0.011119989874071071,,,,
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,0,128,1,0,-0.1,best,0.4596,-5.410296659007965,0.9967111111111112,-0.01264247702431335,,,,
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,1,128,1,0,-0.1,best,0.4586,-5.489603477611484,0.9977777777777778,-0.010850829899813676,,,,
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,2,128,1,0,-0.1,best,0.4583,-5.422302907410982,0.9979555555555556,-0.009136520359369585,,,,
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,4,128,1,0,-0.1,best,0.4531,-5.375810134523952,0.9965111111111112,-0.012945617048552502,,,,
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,1,default,3,128,1,0,-0.1,best,0.4657,-4.190996495564629,0.9963333333333332,-0.015949354027149292,,,,
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,1,default,0,128,1,0,-0.1,best,0.4733,-3.644723133917217,0.9805111111111112,-0.058642121921332516,,,,
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,1,default,1,128,1,0,-0.1,best,0.478,-3.9043016699526136,0.9915555555555556,-0.028798396584984093,,,,
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,1,default,4,128,1,0,-0.1,best,0.4728,-4.274516790193791,0.9957111111111112,-0.016302487576018213,,,,
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,1,default,2,128,1,0,-0.1,best,0.4725,-4.168889403990782,0.9972888888888888,-0.011504160806339684,,,,
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,1,default,0,128,1,0,-0.1,best,0.4625,-2.533306028136956,0.9479777777777778,-0.1750559897112179,,,,
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,1,default,1,128,1,0,-0.1,best,0.5029,-2.488790877153823,0.9903555555555555,-0.04902741058953474,,,,
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,1,default,2,128,1,0,-0.1,best,0.4967,-2.3747796838357567,0.9902444444444444,-0.05794543458148429,,,,
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,1,default,4,128,1,0,-0.1,best,0.48700000000000004,-2.449169142194372,0.9880888888888888,-0.06370772665608312,,,,
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,1,default,3,128,1,0,-0.1,best,0.4922,-2.2017908678521665,0.9735333333333334,-0.11437532065326075,,,,
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1000.0,0,1024,5,1,default,0,128,1,0,-0.1,best,0.2341,-2.1094191601157193,0.22717777777777776,-2.115208027862178,,,,
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1000.0,0,1024,5,1,default,4,128,1,0,-0.1,best,0.2447,-2.125966702926159,0.24457777777777776,-2.1279587424463697,,,,
QminimalityQsFinalNonormreg,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1000.0,0,1024,5,1,default,1,128,1,0,-0.1,best,0.2812,-2.0215572070539,0.27757777777777776,-2.0208071562992203,,,,
