beta,run,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg
0.01,3,0.4575,-5.524507027505523,0.9970222222222224,-0.011119989874071071
0.01,0,0.4596,-5.410296659007965,0.9967111111111112,-0.01264247702431335
0.01,1,0.4586,-5.489603477611484,0.9977777777777778,-0.010850829899813676
0.01,2,0.4583,-5.422302907410982,0.9979555555555556,-0.009136520359369585
0.01,4,0.4531,-5.375810134523952,0.9965111111111112,-0.012945617048552502
0.1,3,0.4657,-4.190996495564629,0.9963333333333332,-0.015949354027149292
0.1,0,0.4733,-3.644723133917217,0.9805111111111112,-0.058642121921332516
0.1,1,0.478,-3.9043016699526136,0.9915555555555556,-0.028798396584984093
0.1,4,0.4728,-4.274516790193791,0.9957111111111112,-0.016302487576018213
0.1,2,0.4725,-4.168889403990782,0.9972888888888888,-0.011504160806339684
1.0,0,0.4625,-2.533306028136956,0.9479777777777778,-0.1750559897112179
1.0,1,0.5029,-2.488790877153823,0.9903555555555555,-0.04902741058953474
1.0,2,0.4967,-2.3747796838357567,0.9902444444444444,-0.05794543458148429
1.0,4,0.48700000000000004,-2.449169142194372,0.9880888888888888,-0.06370772665608312
1.0,3,0.4922,-2.2017908678521665,0.9735333333333334,-0.11437532065326075
1000.0,0,0.2341,-2.1094191601157193,0.22717777777777776,-2.115208027862178
1000.0,4,0.2447,-2.125966702926159,0.24457777777777776,-2.1279587424463697
1000.0,1,0.2812,-2.0215572070539,0.27757777777777776,-2.0208071562992203
1000.0,3,0.2382,-2.126395596164465,0.2341111111111111,-2.1284863400936125
1000.0,2,0.2409,-2.1285093708097933,0.23295555555555555,-2.133148249452644
0.0,1,0.3822,-8.42891741062219,0.9992888888888888,-0.005037828217206177
0.0,2,0.3857,-8.397576387418821,0.9995333333333334,-0.0033329679163239113
0.0,0,0.3928,-8.423447363638129,0.9997333333333334,-0.003729034665311904
0.0,3,0.3887,-8.547005444265961,0.9997777777777778,-0.0036190149244076436
0.0,4,0.4022,-8.249547730079055,0.9997555555555556,-0.003209889105348079
100.0,4,0.37799999999999995,-1.7775825903967022,0.3799555555555556,-1.7674011074188682
100.0,1,0.3673,-1.7810126101851462,0.3637555555555556,-1.7800314471612373
100.0,2,0.3744,-1.7790166346728802,0.3682444444444444,-1.773653860590524
100.0,3,0.3757,-1.8085424535408616,0.3703555555555556,-1.8053203482104672
100.0,0,0.375,-1.7708758317932487,0.3679555555555555,-1.7677774786055087
10.0,2,0.5185,-1.4101732949558274,0.6667333333333333,-0.9474259396041128
10.0,4,0.5196,-1.3966290023006223,0.6496444444444445,-0.9942672615670828
10.0,3,0.5215,-1.378438249624346,0.6486444444444445,-1.0111063916929843
10.0,0,0.5297,-1.4448611861292364,0.7355111111111111,-0.7666590777877579
10.0,1,0.5276,-1.3685192691058592,0.6678,-0.9591674332922208
