experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,,epochs,run_count,test_I_xz_mean,test_I_xz_std,train_I_xz_mean,train_I_xz_std,train_DIQ_yz_mean,train_DIQ_yz_std,test_DIQ_yz_mean,test_DIQ_yz_std,train_DIQ_xz_mean,train_DIQ_xz_std,train_d_DIQ_xz_mean,train_d_DIQ_xz_std,train_H_zCx_mean,train_H_zCx_std,test_H_zCx_mean,test_H_zCx_std,train_H_Q_yCz_mean,train_H_Q_yCz_std,test_H_Q_yCz_mean,test_H_Q_yCz_std,train_DIQ_xzCy_mean,train_DIQ_xzCy_std,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,train_loss_mean,train_loss_std,test_loss_mean,test_loss_std,train_loglike_mean,train_loglike_std,test_loglike_mean,test_loglike_std,train_H_Q_xCz_mean,train_H_Q_xCz_std,train_d_H_Q_xCz_mean,train_d_H_Q_xCz_std,train_H_Q_xCzy_mean,train_H_Q_xCzy_std,train_h_acc_mean,train_h_acc_std,train_h_delta_acc_mean,train_h_delta_acc_std,train_z_norm_mean,train_z_norm_std,test_z_norm_mean,test_z_norm_std,train_z_mean_norm_mean,train_z_mean_norm_std,test_z_mean_norm_mean,test_z_mean_norm_std,train_z_std_mean,train_z_std_std,test_z_std_mean,test_z_std_std
corrLrBob,cifar10,all,False,False,decay,adam,1e-06,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,best,5,,,,,1.3940549622882497,0.011822293771160085,1.0364276790618896,0.014550288024823105,,,,,,,,,1.927873062003742,0.011822293771160137,2.2855003452301026,0.014550288024823263,,,0.5435377777777777,0.002628401382430133,0.4481400000000001,0.002891885198274643,,,,,-1.3363033308461996,0.008179477044863345,-1.583579348232127,0.010011006289245492,,,,,,,,,,,,,,,,,,,,,,
corrLrBob,cifar10,all,False,False,decay,adam,1e-06,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,best,5,,,,,2.212153506278992,0.013826464359293534,1.2616631650924683,0.025740213059157812,,,,,,,,,1.1097745190967214,0.013826462264726952,2.0602648591995245,0.025740213059157784,,,0.7701066666666667,0.005286399974591213,0.49074,0.005804567167326095,,,,,-0.7692164491409452,0.009597302271647599,-1.4272819741086344,0.017910690802463627,,,,,,,,,,,,,,,,,,,,,,
corrLrBob,cifar10,all,False,False,decay,adam,1e-05,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,best,5,,,,,3.1631854967637496,0.017275577206518785,0.323190860748291,0.08049377226187565,,,,,,,,,0.15874253538521851,0.017275580733056583,2.998737163543701,0.08049377226187569,,,0.9928844444444446,0.0018827613028359622,0.49567999999999995,0.005431114066192994,,,,,-0.11003142969912019,0.011967863965045001,-2.0767833253597097,0.0553851957708627,,,,,,,,,,,,,,,,,,,,,,
corrLrBob,cifar10,all,False,False,decay,adam,1e-05,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,best,5,,,,,3.321920518441634,8.012428110915562e-07,-2.732575740814209,0.10480928318630287,,,,,,,,,7.498607241855511e-06,7.901972647030806e-07,6.054503765106202,0.10480928318630334,,,1.0,0.0,0.49344,0.0066021208713563685,,,,,-5.298099569269412e-06,5.433925547948479e-07,-4.193086758131093,0.07159057831952123,,,,,,,,,,,,,,,,,,,,,,
corrLrBob,cifar10,all,False,False,decay,adam,0.0001,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,best,5,,,,,3.321927562626925,1.9591082722681453e-07,-6.791891250610351,0.874182107949796,,,,,,,,,4.624784509132951e-07,2.1460539794466953e-07,10.113819274902346,0.8741821079497966,,,1.0,0.0,0.52654,0.005897711420542712,,,,,-4.272325608602046e-07,2.084032961546278e-07,-6.7061413249894795,0.50331230703964,,,,,,,,,,,,,,,,,,,,,,
corrLrBob,cifar10,all,False,False,decay,adam,0.0001,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,best,5,,,,,3.3219280242919913,0.0,-2.048704719543457,0.15333644116141637,,,,,,,,,2.729833074537941e-08,1.6604189338051873e-08,5.370632743835449,0.15333644116141615,,,1.0,0.0,0.6464,0.0012369316876852919,,,,,-3.900107501225294e-08,1.6098483304972857e-08,-3.712370352180399,0.10336686579588501,,,,,,,,,,,,,,,,,,,,,,
corrLrBob,cifar10,all,False,False,decay,adam,0.001,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,best,5,,,,,3.321927896412936,6.828301189810929e-08,-11.290144996643068,0.3786306459213509,,,,,,,,,1.3423124898472655e-07,4.6714397228344176e-08,14.612073020935057,0.3786306459213507,,,1.0,0.0,0.5502800000000001,0.004356259863690447,,,,,-1.0611227924992287e-07,3.3136891544021676e-08,-8.579677779736127,0.1169468564301479,,,,,,,,,,,,,,,,,,,,,,
corrLrBob,cifar10,all,False,False,decay,adam,0.001,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,best,5,,,,,3.3219280242919913,0.0,0.567236328125,0.10096078245895143,,,,,,,,,5.39508533151353e-09,4.816411402040637e-09,2.7546916961669923,0.10096078245895151,,,1.0,0.0,0.8476199999999998,0.001914941252362556,,,,,-5.430124563253634e-09,4.130282041492218e-09,-1.8696215188629275,0.062414869897383006,,,,,,,,,,,,,,,,,,,,,,
corrLrBob,svhn,all,False,False,decay,adam,1e-06,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,best,5,,,,,2.0833308566700333,0.007984541039719543,1.7553540009718673,0.012020681804919744,,,,,,,,,1.143113621075948,0.007984552959921936,1.4710904818314774,0.012020681804919806,,,0.764711592422381,0.0027900833162458213,0.6985325752919482,0.002992172451048058,,,,,-0.7924853258347484,0.005366050718694006,-1.0208820706409498,0.00818530282816364,,,,,,,,,,,,,,,,,,,,,,
corrLrBob,svhn,all,False,False,decay,adam,1e-06,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,best,5,,,,,2.534403603004687,0.0614070187627195,1.8642405033111573,0.06375604385189747,,,,,,,,,0.6920408826885801,0.061407012450556894,1.3622039813261764,0.06375604088772771,,,0.8645371676449622,0.013821892990802496,0.698179164105716,0.016099012340588803,,,,,-0.4795214178878444,0.04353085729083121,-0.9449509140750972,0.04433851356929967,,,,,,,,,,,,,,,,,,,,,,
corrLrBob,svhn,all,False,False,decay,adam,1e-05,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,best,5,,,,,3.1436752507180876,0.006904230892255896,1.7173152483426608,0.03810380288083493,,,,,,,,,0.08276923569765958,0.006904230784891279,1.509129234460684,0.03810380288083494,,,0.994949265140829,0.0009203483312116232,0.7951290719114936,0.0025247550969451117,,,,,-0.05748596127999285,0.004871026945500201,-1.0462255632547848,0.026747401562336577,,,,,,,,,,,,,,,,,,,,,,
corrLrBob,svhn,all,False,False,decay,adam,1e-05,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,best,5,,,,,3.226406487551602,1.1421135487301221e-06,0.8746355313521164,0.10096554498508893,,,,,,,,,3.799000681310921e-05,1.1333654391101538e-06,2.351808951451228,0.10096554498508899,,,0.9999848326280503,0.0,0.778418869084204,0.008644207071986432,,,,,-2.694982060106047e-05,8.068924170877604e-07,-1.6306351224171227,0.07002470340951022,,,,,,,,,,,,,,,,,,,,,,
corrLrBob,svhn,all,False,False,decay,adam,0.0001,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,best,5,,,,,3.226396192203868,1.5005579977545466e-05,-0.41669976527874286,0.0903053904438457,,,,,,,,,4.829362022092303e-05,1.5006095891671926e-05,3.6431442480820877,0.09030539044384558,,,0.9999817991536606,6.783054943688741e-06,0.829678856791641,0.0015851177618026798,,,,,-3.430564610957631e-05,1.0642790717367375e-05,-2.287870453188602,0.03901177623271316,,,,,,,,,,,,,,,,,,,,,,
corrLrBob,svhn,all,False,False,decay,adam,0.0001,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,best,5,,,,,3.2264148018576884,1.2924124643324758e-08,2.107808309334975,0.028227564825900053,,,,,,,,,2.968322484128049e-05,1.4155823145484497e-08,1.1186361642984244,0.028227575210460223,,,0.9999848326280503,0.0,0.9201290719114936,0.0031371070242130527,,,,,-2.1097184694342473e-05,9.784922343133162e-09,-0.7624225584584136,0.02249529645829859,,,,,,,,,,,,,,,,,,,,,,
corrLrBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,best,5,,,,,3.226395943670562,1.5990778402340646e-05,-2.733234431193425,0.1473928897379027,,,,,,,,,4.855219992312286e-05,1.5989523466226066e-05,5.959678921332726,0.14739289707169212,,,0.9999757322048808,8.307511754602853e-06,0.8400968039336203,0.0012185860460871378,,,,,-3.450392366236137e-05,1.1355557782934252e-05,-3.050442593755817,0.03632217100077744,,,,,,,,,,,,,,,,,,,,,,
corrLrBob,svhn,all,False,False,decay,adam,0.001,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,best,5,,,,,3.2264001066034487,1.451390081563404e-05,1.9625146297308114,0.08644258509250469,,,,,,,,,4.43771214236706e-05,1.4516621980829154e-05,1.2639298604084896,0.08644258610374497,,,0.9999848326280503,0.0,0.9514597418561772,0.002180258813206911,,,,,-3.153152850134772e-05,1.0314425631813276e-05,-0.7414457407947326,0.048810474949573454,,,,,,,,,,,,,,,,,,,,,,
