data,lr,encoder,run,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_acc_toagg,test_acc_toagg,train_loglike_toagg,test_loglike_toagg
cifar10,0.0001,mlp,3,3.321927785873413,-6.718890571594239,1.510342945659266e-07,10.04081859588623,1.0,0.5248,-1.4161140684526193e-07,-6.663528087610532
cifar10,0.0001,mlp,2,3.321927384896712,-7.804910278320312,6.235411534176323e-07,11.126838302612304,1.0,0.5276,-6.713683450556118e-07,-7.2843728624661015
cifar10,0.0001,mlp,4,3.3219274174083364,-7.503104019165039,6.233861711280043e-07,10.825032043457034,1.0,0.5177,-4.947531966949885e-07,-7.121928330354781
cifar10,0.0001,mlp,0,3.3219277641989966,-6.245681381225586,3.242932445408025e-07,9.567609405517578,1.0,0.5337,-2.966392993296077e-07,-6.391156831274916
cifar10,0.0001,mlp,1,3.321927460757169,-5.686870002746582,5.901373909141099e-07,9.008798027038576,1.0,0.5289,-5.317905563755529e-07,-6.069720513241072
cifar10,0.0001,resnet18,2,3.3219280242919917,-1.9777297973632808,4.265178707188708e-08,5.299657821655273,1.0,0.6459,-5.357271958593578e-08,-3.663585143295356
cifar10,0.0001,resnet18,3,3.3219280242919917,-2.0609875679016114,4.1718639694336576e-08,5.382915592193603,1.0,0.6456,-4.87645973480413e-08,-3.7240328528593696
cifar10,0.0001,resnet18,1,3.3219280242919917,-1.9978130340576168,3.196664250476095e-08,5.319741058349608,1.0,0.6465,-4.69486236460802e-08,-3.6795380366696735
cifar10,0.0001,resnet18,0,3.3219280242919917,-2.303828430175781,5.3761746468791475e-09,5.625756454467774,1.0,0.6455,-1.4352806103564337e-08,-3.8828063662385657
cifar10,0.0001,resnet18,4,3.3219280242919917,-1.903164768218994,1.4778409809033314e-08,5.225092792510988,1.0,0.6485,-3.136662837764309e-08,-3.61188936183903
cifar10,1e-06,mlp,3,1.4009652896360918,1.0557651042938232,1.9209627346559004,2.2661629199981688,0.5450444444444444,0.4517,-1.331545540938465,-1.5701219522704837
cifar10,1e-06,mlp,2,1.399749132719907,1.0207417964935304,1.9221788915720848,2.301186227798462,0.5444,0.4487,-1.3323471876295114,-1.594295260073943
cifar10,1e-06,mlp,4,1.3805559114976362,1.0395718097686768,1.941372112794356,2.282356214523316,0.5404666666666667,0.4454,-1.345620119664844,-1.5812372245355977
cifar10,1e-06,mlp,0,1.3823312520980835,1.0231839179992677,1.9395967721939087,2.2987441062927245,0.5411555555555555,0.445,-1.3444382373205657,-1.5926992079852382
cifar10,1e-06,mlp,1,1.4066732254895298,1.0428757667541504,1.9152547988024624,2.279052257537842,0.5466222222222222,0.4499,-1.3275655686776124,-1.5795430962953716
cifar10,1e-06,resnet18,3,2.2073044343428183,1.2607232093811036,1.1146236007863826,2.0612048149108886,0.7677777777777778,0.4841,-0.7726074245774485,-1.427771389717597
cifar10,1e-06,resnet18,2,2.2151265794580635,1.2927316427230835,1.1068014339967207,2.0291963815689087,0.7713111111111111,0.4938,-0.7671593016719213,-1.405685690456233
cifar10,1e-06,resnet18,0,2.1910749673843384,1.2603555202484131,1.1308530514890498,2.0615725040435797,0.7625777777777778,0.4949,-0.7838375145853155,-1.4284593930069822
cifar10,1e-06,resnet18,1,2.2271358858455312,1.2724228382110596,1.0947921384464612,2.0495051860809332,0.7721111111111111,0.4961,-0.7588257673829684,-1.4196888713956506
cifar10,1e-06,resnet18,4,2.220125664364208,1.2220826148986816,1.1018023707649924,2.0998454093933105,0.7767555555555555,0.4848,-0.7636522374870721,-1.4548045259667095
cifar10,0.001,mlp,2,3.321927796710621,-11.522493362426758,2.1120071251475148e-07,14.84442138671875,1.0,0.5449,-1.6061550382775952e-07,-8.696343583799651
cifar10,0.001,mlp,3,3.321927970105952,-11.170903968811038,9.32994040813252e-08,14.492831993103028,1.0,0.5512,-7.95341511854354e-08,-8.54687077965213
cifar10,0.001,mlp,4,3.321927948431535,-10.678687858581544,1.0378395936589352e-07,14.000615882873536,1.0,0.5467,-8.482700575093026e-08,-8.41130662638919
cifar10,0.001,mlp,1,3.3219278942454946,-11.59925479888916,1.217778740877665e-07,14.921182823181152,1.0,0.5536,-9.1835419005785e-08,-8.685569816738564
cifar10,0.001,mlp,0,3.321927872571078,-11.479384994506836,1.410942948738962e-07,14.801313018798828,1.0,0.555,-1.137493164797042e-07,-8.558298092101106
cifar10,0.001,resnet18,0,3.3219280242919917,0.5068080425262451,5.411862145290123e-09,2.815119981765747,1.0,0.8503,-5.0028288718016894e-09,-1.9011184661957152
cifar10,0.001,resnet18,1,3.3219280242919917,0.6358845710754395,4.743488765920648e-09,2.6860434532165534,1.0,0.8449,-5.466413330168507e-09,-1.8364865098077323
cifar10,0.001,resnet18,4,3.3219280242919917,0.4588525295257568,7.328806147813535e-10,2.863075494766236,1.0,0.8474,-1.5311778936519557e-09,-1.9314280995626467
cifar10,0.001,resnet18,3,3.3219280242919917,0.7057623386383056,1.3363420340003788e-08,2.6161656856536863,1.0,0.8478,-1.2246791869882951e-08,-1.7768383811342894
cifar10,0.001,resnet18,2,3.3219280242919917,0.5288741588592529,2.72377479157174e-09,2.7930538654327397,1.0,0.8477,-2.903410850763066e-09,-1.902236137614254
cifar10,1e-05,resnet18,1,3.321920730850913,-2.690117073059082,7.276051829566396e-06,6.012045097351074,1.0,0.5024,-5.144080467387212e-06,-4.165690307460078
cifar10,1e-05,resnet18,0,3.321919224478982,-2.8615960121154784,8.771330985010453e-06,6.183524036407472,1.0,0.4942,-6.173161650843895e-06,-4.281680032561479
cifar10,1e-05,resnet18,4,3.3219208283857866,-2.77536096572876,7.202472571324588e-06,6.097288990020753,1.0,0.4892,-5.095868654968664e-06,-4.222904893642012
cifar10,1e-05,resnet18,2,3.321921381083402,-2.580452060699463,6.643934098478481e-06,5.902380084991455,1.0,0.4962,-4.709933729286479e-06,-4.08896815659066
cifar10,1e-05,resnet18,3,3.321920427409085,-2.755352592468262,7.599246724897636e-06,6.0772806167602536,1.0,0.4852,-5.367453343860815e-06,-4.206190400401241
cifar10,1e-05,mlp,3,3.1634693795984443,0.404939079284668,0.15845865891738373,2.9169889450073243,0.9934666666666668,0.5044,-0.10983068531742696,-2.0204508792125964
cifar10,1e-05,mlp,2,3.1792868484150283,0.2218625545501709,0.1426411751996387,3.1000654697418213,0.9946222222222222,0.4972,-0.09887942373982783,-2.146501093371758
cifar10,1e-05,mlp,4,3.1341231086037378,0.4062770366668701,0.1878049292347648,2.915650987625122,0.9896666666666668,0.4931,-0.13016659217141707,-2.019795955555141
cifar10,1e-05,mlp,0,3.1673479947176846,0.2962838649749756,0.15458001738244834,3.0256441593170167,0.9931555555555556,0.4905,-0.1071437839269882,-2.094223250425571
cifar10,1e-05,mlp,1,3.171700152483853,0.2865917682647705,0.15022789619185709,3.0353362560272217,0.9935111111111112,0.4932,-0.10413666333994084,-2.1029454482334833
svhn,1e-05,resnet18,3,3.2264061985593853,0.8571316645695612,3.8288267467468173e-05,2.3693128182337837,0.9999848326280504,0.7749308543331285,-2.7147481244116456e-05,-1.641324288774
svhn,1e-05,resnet18,2,3.226407224481756,1.028911718955407,3.7260763471722114e-05,2.197532763847938,0.9999848326280504,0.7918715427166564,-2.644785454320752e-05,-1.5231694500704511
svhn,1e-05,resnet18,0,3.226404724699078,0.8451881592090313,3.9731064162245297e-05,2.3812563235943136,0.9999848326280504,0.7743546404425322,-2.8192110197504327e-05,-1.656312737312811
svhn,1e-05,resnet18,1,3.2264077013189136,0.8918326634627122,3.677466371631123e-05,2.3346118193406324,0.9999848326280504,0.7814612784265519,-2.607458275086061e-05,-1.6173796436434915
svhn,1e-05,resnet18,4,3.2264065886988784,0.7501134505638709,3.789527524779921e-05,2.4763310322394743,0.9999848326280504,0.7694760295021512,-2.6887074269613448e-05,-1.7149894922848592
svhn,1e-05,mlp,4,3.13668070417462,1.7661365454013531,0.08976378472465457,1.4603079374019916,0.9942515660311538,0.7980562384757222,-0.06245937759098715,-1.0113698977217425
svhn,1e-05,mlp,0,3.146210244207672,1.6992942920097938,0.08023423724102252,1.527150190793551,0.995540792646858,0.7921020282728949,-0.055874043958522135,-1.0595544979203897
svhn,1e-05,mlp,1,3.1451248183394913,1.6967612321560201,0.08131966423807722,1.5296832506473248,0.9952374452078688,0.7929087277197295,-0.05616435407042725,-1.0596547384881725
svhn,1e-05,mlp,3,3.1371586322784424,1.7484161395293016,0.08928585549195607,1.4780283432740433,0.9937510427568216,0.7965580823601721,-0.06211168815364833,-1.0252145317029822
svhn,1e-05,mlp,2,3.153201854590214,1.6759680326168354,0.07324263679258751,1.5504764501865094,0.9959654790614432,0.7960202827289491,-0.05082034262637935,-1.0753341504406375
svhn,0.001,resnet18,4,3.226414832201871,1.8510724122707658,2.964919396643242e-05,1.3753720797025242,0.9999848326280504,0.9522126613398894,-2.1066887468140186e-05,-0.7958305530533359
svhn,0.001,resnet18,0,3.2263859329801616,2.037992055599506,5.855055733013386e-05,1.1884524501287022,0.9999848326280504,0.9506376767055932,-4.1602263797696367e-05,-0.7168705992863911
svhn,0.001,resnet18,1,3.226385701786388,2.0547786675966697,5.878765140187979e-05,1.1716658152066743,0.9999848326280504,0.9541333743085432,-4.177044254178464e-05,-0.6710548518245156
