experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,,epochs,run_count,train_H_Q_yCz_mean,train_H_Q_yCz_std,train_DIQ_yz_mean,train_DIQ_yz_std,valid_H_Q_yCz_mean,valid_H_Q_yCz_std,valid_DIQ_yz_mean,valid_DIQ_yz_std,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,valid_acc_mean,valid_acc_std,valid_loglike_mean,valid_loglike_std,train_acc_mean,train_acc_std
corrLrBob,cifar10,all,False,False,decay,adam,1e-06,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,0,5,4.215320873531429,0.49302409939574016,-0.893392849239436,0.49302409939574016,3.6016238212585447,0.19696899601300638,-0.27969579696655267,0.19696899601300638,4.216071142120361,0.49335871182183283,3.6039642854309086,0.2045468928894649,0.16556,0.012337260635975882,-2.4980777365111,0.14178117283918423,0.1324488888888889,0.01287726870818172
corrLrBob,cifar10,all,False,False,decay,adam,1e-06,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,1,5,3.404216094179587,0.13200084451944358,-0.08228806988759474,0.1320008445194437,3.263875643412272,0.0870389968594449,0.05805238087972005,0.08703899685944501,3.4044274685414635,0.1321140107965862,3.2651906771087638,0.09051309597583305,0.21308,0.010468619775309442,-2.263257773430273,0.06273893364485121,0.19037333333333334,0.017377894287759467
corrLrBob,cifar10,all,False,False,decay,adam,1e-06,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,2,5,3.1700561249797996,0.07014813087144507,0.15187189931219272,0.07014813087144522,3.1087840398152666,0.058236532773485346,0.21314398447672528,0.05823653277348552,3.1701964165412058,0.07016621056598207,3.1103363922119143,0.05951145735361807,0.24476,0.008470419115958777,-2.1559209071289005,0.04125018842190784,0.23051999999999997,0.016496027205974376
corrLrBob,cifar10,all,False,False,decay,adam,1e-06,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,3,5,3.0400708824396134,0.05183055808364598,0.28185714185237887,0.051830558083645936,3.01076561609904,0.04650758910515184,0.3111624081929525,0.04650758910515173,3.040098186687893,0.05183899307142697,3.0125982654571533,0.0465717300872598,0.26576000000000005,0.0059789631208094956,-2.0881740558509527,0.03228105374787368,0.2576044444444444,0.014120717639931288
corrLrBob,cifar10,all,False,False,decay,adam,1e-06,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,4,5,2.949587979099967,0.04492196107608635,0.3723400451920249,0.04492196107608629,2.9393088817596436,0.04087258660816155,0.38261914253234863,0.040872586608161614,2.949544395802816,0.04489498473901541,2.9413476071166995,0.04047362731471094,0.28404,0.005133030294085555,-2.038786814209446,0.028054152319985447,0.2784577777777778,0.011894854162853604
corrLrBob,cifar10,all,False,False,decay,adam,1e-06,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,5,5,2.879835757342252,0.041703291821262214,0.44209226694974024,0.04170329182126218,2.883639113108317,0.037385856347478354,0.4382889111836751,0.037385856347478284,2.879879017859565,0.041654185292142855,2.8858968610382076,0.0365239675760402,0.29652,0.00412456058265606,-2.000351297340319,0.02531648849396238,0.29532444444444444,0.010550590645218065
corrLrBob,cifar10,all,False,False,decay,adam,1e-06,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,6,5,2.8229180067777633,0.039454486648908965,0.4990100175142288,0.039454486648909076,2.8384319305419923,0.035404741384060474,0.48349609375,0.035404741384060516,2.8229224955579975,0.039464832662746155,2.8408080268859863,0.034144325825400564,0.30744,0.005050544525098252,-1.9690981148172917,0.02366703879350017,0.30892444444444445,0.010277863062709204
corrLrBob,cifar10,all,False,False,decay,adam,1e-06,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,7,5,2.7746487002481115,0.03776771633650642,0.5472793240438808,0.0377677163365066,2.800037352244059,0.03359297578998489,0.5218906720479329,0.033592975789984846,2.774722221332126,0.03777427482034336,2.802462721939087,0.031950359258637304,0.31744,0.005038650613011366,-1.942519169774465,0.022146281144473277,0.32136444444444445,0.009460569241349628
corrLrBob,cifar10,all,False,False,decay,adam,1e-06,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,8,5,2.7328582381660285,0.036184255889723356,0.5890697861259634,0.03618425588972309,2.7669361114501956,0.03209121193722625,0.5549919128417968,0.03209121193722621,2.7328870054880783,0.03607957995281963,2.769398484344482,0.029960643001494553,0.32552,0.004940850129279357,-1.9196007745407893,0.020767121578867075,0.3317422222222222,0.00898807989767078
corrLrBob,cifar10,all,False,False,decay,adam,1e-06,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,transformer,9,5,2.695804053544998,0.03468165816690176,0.626123970746994,0.03468165816690177,2.7376971880594887,0.030990981686172005,0.5842308362325033,0.030990981686172144,2.6959504688602025,0.034491478001561,2.740306064529419,0.028469258172948604,0.33431999999999995,0.004681025528663569,-1.8994354349859806,0.01973343086401812,0.34156444444444445,0.00840625281678782
