experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,run_count,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std,train_sharp_mag_mean,train_sharp_mag_std,train_var_grad_mean,train_var_grad_std,train_path_norm_mean,train_path_norm_std,train_y_pred_ent_mean,train_y_pred_ent_std
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,default,128,1,0,-0.1,best,3,0.5143333333333334,0.0022278539748675965,-1.6142942762500183,0.074298644260069,0.8912888888888889,0.028309672037383254,-0.4006837362032278,0.07897551147232774,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,5,default,128,1,0,-0.1,best,3,0.5009,0.008272242743053469,-1.8463778152554386,0.0659958042967954,0.9560074074074074,0.007656009769893722,-0.20793948720793,0.026664845517047633,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,1,default,128,1,0,-0.1,best,3,0.36343333333333333,0.00887937685501257,-1.8117931862468524,0.03882007800559828,0.3623111111111111,0.01116263608850726,-1.8079522597317343,0.041635301422707466,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,default,128,1,0,-0.1,best,3,0.4014,0.007950471684120376,-1.7201850578223665,0.011916025838750725,0.40571111111111113,0.010507774899251268,-1.7070586492483262,0.018097589887644795,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,5,default,128,1,0,-0.1,best,3,0.43016666666666664,0.007414400402819709,-1.6525869981509942,0.021512717016042997,0.4402074074074074,0.004336029550565159,-1.6230694059432798,0.02296037499671077,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibrand,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,best,3,0.45473333333333327,0.003350124375800576,-5.526151773491219,0.07492017853548315,0.997,0.0003355481971231553,-0.012121775930212889,0.0007555307794814715,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibrand,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,default,128,1,0,-0.1,best,3,0.4723,0.006850547423381605,-5.066519257978176,0.11192910759724485,0.9980148148148148,0.000361296248837254,-0.009278606230584407,0.0005661444270198007,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibrand,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,5,default,128,1,0,-0.1,best,3,0.4781333333333333,0.00756394958558908,-5.042313517477052,0.015581608842824352,0.9979925925925927,7.804187965076384e-05,-0.008714754464839667,0.0002860720855349892,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibrand,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,1,default,128,1,0,-0.1,best,3,0.46176666666666666,0.0059584673644598515,-4.0344595488459385,0.17403085976608748,0.9951037037037037,0.0015367648130194804,-0.0197203411185766,0.004305630241106757,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibrand,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,default,128,1,0,-0.1,best,3,0.41496666666666665,0.011935800489842871,-4.349635609291167,0.10818236153041418,0.9962592592592592,0.00047105520283208675,-0.02098863307279614,0.0032591556967019202,,,,,,,,
