model,beta,mchead,run_count,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std
cdib,0.01,1,3,0.45883333333333337,0.0006806859285554084,-5.440734348010143,0.04274554212047361,0.9974814814814815,0.0006730558039466511,-0.010876609094498871,0.0017531204919442552
cdib,0.01,3,3,0.46773333333333333,0.003952636251077688,-5.27119599960684,0.0681301908348638,0.9976740740740743,0.00016679007776578887,-0.01005108206380051,0.0004952961471134869
cdib,0.01,5,3,0.4718,0.004573838650411727,-5.2113299863143965,0.10633223776414176,0.9981555555555555,0.0007058835633008554,-0.00892034026327496,0.002283425362809255
cdib,0.1,1,3,0.47459999999999997,0.0029715315916207267,-3.9059714026202044,0.2620871242089057,0.9897851851851852,0.00852784352731309,-0.03298155977088543,0.023845774996832336
cdib,0.1,3,3,0.4266666666666667,0.017863463643239333,-4.160716493067039,0.1185939735826067,0.9962148148148149,0.0011988334521903683,-0.021684506936210744,0.004238421481860975
cdib,0.1,5,3,0.3960000000000001,0.007534586916347839,-4.364469708401347,0.11039220164247388,0.9965037037037038,0.0006119522830317715,-0.02460924932159526,0.0030129627686727584
cdib,1.0,1,3,0.48736666666666667,0.021757144420473308,-2.465625529708845,0.08176261646413027,0.9761925925925926,0.024434809548991153,-0.09400961162741232,0.07032971874220471
cdib,1.0,3,3,0.47806666666666664,0.006178457196852084,-2.5368228635388603,0.04271745048441872,0.9941185185185185,0.005763500879398755,-0.036512629827490685,0.01604752616215911
cdib,1.0,5,3,0.4807333333333333,0.010059986746180796,-2.4653003474449235,0.20014320047095008,0.9977333333333332,0.0008388704928078054,-0.02720948596922486,0.0012708421913817363
cdib,10.0,1,2,0.52865,0.0014849242404917434,-1.4066902276175477,0.05398188721601069,0.7016555555555555,0.04787898582834245,-0.8629132555399893,0.13612396361227633
cdib,10.0,3,3,0.5143333333333334,0.0022278539748675965,-1.6142942762500183,0.074298644260069,0.8912888888888889,0.028309672037383254,-0.4006837362032278,0.07897551147232774
cdib,10.0,5,3,0.5009,0.008272242743053469,-1.8463778152554386,0.0659958042967954,0.9560074074074074,0.007656009769893722,-0.20793948720793,0.026664845517047633
cdib,100.0,1,3,0.36343333333333333,0.00887937685501257,-1.8117931862468524,0.03882007800559828,0.3623111111111111,0.01116263608850726,-1.8079522597317343,0.041635301422707466
cdib,100.0,3,3,0.4014,0.007950471684120376,-1.7201850578223665,0.011916025838750725,0.40571111111111113,0.010507774899251268,-1.7070586492483262,0.018097589887644795
cdib,100.0,5,3,0.43016666666666664,0.007414400402819709,-1.6525869981509942,0.021512717016042997,0.4402074074074074,0.004336029550565159,-1.6230694059432798,0.02296037499671077
cdibrand,0.01,1,3,0.45473333333333327,0.003350124375800576,-5.526151773491219,0.07492017853548315,0.997,0.0003355481971231553,-0.012121775930212889,0.0007555307794814715
cdibrand,0.01,3,3,0.4723,0.006850547423381605,-5.066519257978176,0.11192910759724485,0.9980148148148148,0.000361296248837254,-0.009278606230584407,0.0005661444270198007
cdibrand,0.01,5,3,0.4781333333333333,0.00756394958558908,-5.042313517477052,0.015581608842824352,0.9979925925925927,7.804187965076384e-05,-0.008714754464839667,0.0002860720855349892
cdibrand,0.1,1,3,0.46176666666666666,0.0059584673644598515,-4.0344595488459385,0.17403085976608748,0.9951037037037037,0.0015367648130194804,-0.0197203411185766,0.004305630241106757
cdibrand,0.1,3,3,0.41496666666666665,0.011935800489842871,-4.349635609291167,0.10818236153041418,0.9962592592592592,0.00047105520283208675,-0.02098863307279614,0.0032591556967019202
cdibrand,0.1,5,3,0.3965666666666667,0.004630694692304106,-4.382351470304234,0.09310329410914833,0.9968370370370371,0.00047105520283221246,-0.024562117631294077,0.00332292669513964
cdibrand,1.0,1,3,0.4836333333333333,0.011610914405563992,-2.634450616981401,0.3570252621553933,0.968288888888889,0.016623469947228808,-0.11118311168460336,0.039130558745006996
cdibrand,1.0,3,3,0.4591666666666667,0.013376970259865775,-2.718876319078305,0.10712811397206444,0.9898148148148148,0.008984330208780809,-0.04927489697249834,0.023845675138954896
cdibrand,1.0,5,3,0.4725333333333333,0.006664332924857061,-2.5750880039063166,0.39875678648307944,0.9767037037037039,0.03230319583114565,-0.08792989793597865,0.08836052064198238
cdibrand,10.0,1,3,0.5105333333333333,0.010152011294976674,-1.6573765978163502,0.09463424433534717,0.862037037037037,0.020972237184198734,-0.45014036325674733,0.06020571048451605
cdibrand,10.0,3,3,0.48933333333333334,0.0021221058723196206,-2.2008732912416753,0.018113907253820866,0.996511111111111,0.0011950515253109997,-0.050265924661183396,0.004746915615686752
cdibrand,10.0,5,3,0.47553333333333336,0.008381129597693462,-2.347947526650204,0.10968354513167607,0.9988740740740741,0.0002527218090256062,-0.03241348411202378,0.002469625838794859
cdibrand,100.0,1,3,0.3889666666666667,0.006850060826980529,-1.7543696201036372,0.02832871221969191,0.39157037037037035,0.009007002305705262,-1.744909058454412,0.02971344338112625
cdibrand,100.0,3,3,0.44383333333333336,0.0033842773723992033,-1.6228682228869449,0.022458515328879894,0.4634740740740741,0.010559679506297555,-1.5724140535629596,0.03542266939284494
cdibrand,100.0,5,3,0.46636666666666665,0.005065899064661017,-1.5581793800214925,0.014837806118005153,0.5180814814814815,0.013079667253919385,-1.4488134539886068,0.034158594447073094
