model,beta,mchead,epochs,run_count,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,valid_acc_mean,valid_acc_std,train_acc_mean,train_acc_std
cdib,0.01,1,0,3,1.233805732426499,0.03145629810347812,1.6366172665278116,0.018769533173117525,0.44893333333333335,0.0035907288025320964,0.455,0.013035412356678305
cdib,0.01,1,1,3,0.5884654850179499,0.025087152265660016,1.450654765510559,0.011187292906921555,0.5026666666666667,0.006331929669013504,0.8436074074074075,0.0022598299218569724
cdib,0.01,1,2,3,0.28292204948483096,0.01225044419825967,1.4190289266586305,0.005200819421114857,0.5208666666666667,0.006331929669013508,0.9485555555555556,0.0034782569779902915
cdib,0.01,1,3,3,0.12356381600011479,0.0067535234544470685,1.4456598375956216,0.006536931879399388,0.5261999999999999,0.0051999999999999885,0.9777481481481481,0.002958255519755596
cdib,0.01,1,4,3,0.033360843859748406,0.004764136669444799,1.4939447266260784,0.0037786577000498375,0.5266666666666667,0.006047589051294182,0.9882814814814815,0.002141458293172961
cdib,0.01,1,5,3,-0.02591000086561297,0.004166573651832573,1.5543804365793863,0.006782687687639324,0.5280666666666667,0.005001333155602952,0.9930148148148148,0.0011340593172226542
cdib,0.01,1,6,3,-0.06545932845166236,0.0035689239529709212,1.6184694447199506,0.00317748785449337,0.5306666666666666,0.007003808487768182,0.9951925925925926,0.0011509166144851783
cdib,0.01,1,7,3,-0.09505341957157308,0.003242810813529137,1.681329382896423,0.00588157084507542,0.5299999999999999,0.004886716689148249,0.9964814814814815,0.0008667616282257843
cdib,0.01,1,8,3,-0.11894485892382535,0.0033757248246212724,1.7495544127146403,0.001249209505022015,0.5298666666666666,0.005076744363598919,0.9974148148148148,0.0006318045225641758
cdib,0.01,1,9,3,-0.13737064817890976,0.003773422711250625,1.8138506929397582,0.005604789821602444,0.5289333333333334,0.0068770148562681595,0.9978296296296296,0.0005701779377163526
cdib,0.01,1,10,3,-0.15410427451928455,0.003648324791956065,1.8905500923156737,0.012523184260522532,0.5292666666666667,0.007354817015625418,0.9979999999999999,0.0003777777777778102
