model,beta,mchead,run,epochs,train_loss_toagg,valid_loss_toagg,valid_acc_toagg,train_acc_toagg
cdib,1.0,1,0,0,1.5279258914774114,2.0776587715148924,0.2606,0.2529777777777778
cdib,1.0,1,0,1,1.3822098700956864,2.000680912017822,0.3032,0.39524444444444445
cdib,1.0,1,0,2,1.2706282765648582,1.929266143798828,0.3494,0.49604444444444445
cdib,1.0,1,0,3,1.1663509057651866,1.8662977352142334,0.3702,0.5678444444444445
cdib,1.0,1,0,4,1.0706137247605758,1.8241321178436278,0.3872,0.6220222222222223
cdib,1.0,1,0,5,0.9819948078849099,1.7753662086486817,0.3986,0.6619777777777778
cdib,1.0,1,0,6,0.8998365755427967,1.738708780860901,0.4156,0.6970444444444445
cdib,1.0,1,0,7,0.8225010157671842,1.7120333057403565,0.4182,0.7234222222222222
cdib,1.0,1,0,8,0.7522939369288357,1.6974522890090942,0.4308,0.7468888888888889
cdib,1.0,1,0,9,0.687400428945368,1.6745889583587648,0.4378,0.7696888888888889
cdib,1.0,1,0,10,0.627599620550329,1.6604778285980224,0.4398,0.7892666666666667
cdib,1.0,1,0,11,0.5760830806211992,1.651845223045349,0.4452,0.8043555555555556
cdib,1.0,1,0,12,0.5282218812942505,1.6497244688034058,0.4482,0.8201777777777778
cdib,1.0,1,0,13,0.48553540513298726,1.648693037033081,0.453,0.8303333333333334
cdib,1.0,1,0,14,0.44406699460636484,1.6477729488372803,0.4542,0.8439111111111111
cdib,1.0,1,0,15,0.4071737341967496,1.6470364353179932,0.4578,0.853
cdib,1.0,1,0,16,0.3740231520175934,1.6468363767623901,0.46,0.8631111111111112
cdib,1.0,1,0,17,0.3440879717350006,1.6569576244354247,0.461,0.8705777777777778
cdib,1.0,1,0,18,0.31875552783445876,1.6677220670700073,0.462,0.8748888888888889
cdib,1.0,1,0,19,0.2938772568225861,1.672762823677063,0.465,0.8833777777777778
cdib,1.0,1,0,20,0.2701071397412907,1.6792457790374755,0.4636,0.8888888888888888
cdib,1.0,1,0,21,0.25060925207354806,1.686389365005493,0.466,0.8918666666666667
cdib,1.0,1,0,22,0.2318130055362528,1.7031673921585082,0.4662,0.8962666666666667
cdib,1.0,1,0,23,0.21424302248954774,1.7103675680160522,0.466,0.8993555555555556
cdib,1.0,1,0,24,0.1972952871799469,1.7224484199523926,0.4664,0.9030666666666667
cdib,1.0,1,0,25,0.1840005024736578,1.7309102685928344,0.4682,0.9051333333333333
cdib,1.0,1,0,26,0.16921213527972048,1.7493218912124633,0.468,0.908
