beta,zdim,epochs,run_count,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,valid_acc_mean,valid_acc_std,train_acc_mean,train_acc_std
0.01,2,0,3,3.34812105327375,0.5097503207845535,3.547649187088013,0.3159187603618777,0.21373333333333333,0.05180514774936301,0.2960074074074074,0.08196123845485435
0.01,2,1,3,1.72386518981818,0.26797572852659574,2.527194505182902,0.1411985838623761,0.2868,0.019378338422062907,0.4109481481481481,0.06601638529616731
0.01,2,2,3,0.9082482509338495,0.17265143770560834,2.158649341328939,0.04714149565838903,0.34126666666666666,0.015315787062156912,0.5877851851851852,0.010124955926338016
0.01,2,3,3,0.5282278763872205,0.10512993651877114,2.080978933461507,0.007719917315861374,0.36739999999999995,0.010219589032832946,0.7026370370370371,0.033326861100048025
0.01,2,4,3,0.3443087972908309,0.06612278889052307,2.1227770977020266,0.017737055586678804,0.3741333333333334,0.015555492063362495,0.8505407407407408,0.0450370071880993
0.01,2,5,3,0.24687890966083068,0.04829160728353049,2.2010646006266277,0.019192542861066253,0.37379999999999997,0.015029304707803332,0.9123851851851853,0.0628886310687033
0.01,2,6,3,0.18176883896625404,0.04053676681777783,2.2857351863861086,0.02030752056394699,0.37306666666666666,0.015462643154820994,0.9358296296296297,0.04194588126064958
0.01,2,7,3,0.1321874107425863,0.03688724247182907,2.370668861134847,0.021624572024273335,0.37220000000000003,0.01655536166925991,0.9544666666666667,0.018115854866134925
0.01,2,8,3,0.09196307521516627,0.035105961449688985,2.4544912816365563,0.023020552749048812,0.3740666666666667,0.014705554506149453,0.9600666666666667,0.013807691540551312
0.01,2,9,3,0.057980226284988,0.03431583401861458,2.536836135482788,0.025072908733102348,0.37333333333333335,0.013764204783907195,0.962362962962963,0.012713642586565444
0.01,2,10,3,0.02860939379984682,0.033968618061468524,2.6175436992645262,0.027455356270487365,0.3746666666666667,0.012946556813814784,0.9632444444444443,0.012645908917340796
0.01,2,11,3,0.00267808406362028,0.03377980589427991,2.6956264699300134,0.030259920877016257,0.37433333333333335,0.01218578406723728,0.964111111111111,0.012276143682105696
0.01,2,12,3,-0.020570116872137244,0.03362281167473421,2.7721986970265706,0.03154910901837318,0.3752,0.011961605243444546,0.9643703703703704,0.012298375549326232
0.01,2,13,3,-0.041657239956256344,0.033554399978437635,2.8462286188761396,0.03473376462113105,0.37506666666666666,0.012461674579820045,0.964474074074074,0.012174823918585377
0.01,2,14,3,-0.06085937465140314,0.03355212945198431,2.919604138056437,0.037201658935165666,0.37413333333333326,0.012576698029822166,0.9647481481481481,0.011955975484846051
