beta,zdim,run_count,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std
0.01,2,3,0.36579999999999996,0.009331130692472359,-4.611194492584363,0.10963669664249134,0.9648296296296297,0.011715903159008896,-0.14611789516453785,0.03618813215887225
0.01,10,3,0.5135333333333333,0.0038991452054692333,-2.7889385104346345,0.08617511854756885,0.9937333333333332,0.0017022860446404174,-0.032658479859867466,0.0057752325852786
0.01,100,3,0.5156999999999999,0.002762245463386657,-3.0288398721580307,0.16115772341241164,0.9922666666666667,0.002596959285561621,-0.03457939020542263,0.011273627464950961
0.01,1024,3,0.47856666666666664,0.0030005555041247396,-5.033686441415166,0.11396179424208683,0.9973777777777778,0.00018986674989595454,-0.012274141621386498,0.0009131505111791846
0.1,2,3,0.3602666666666667,0.005005330491918929,-4.242235585379077,0.472100670549504,0.9368962962962962,0.06399655211906004,-0.2090798316628981,0.14665901620842717
0.1,10,3,0.4969666666666666,0.00533041586870418,-2.796697410987792,0.05234967289636548,0.9965999999999999,0.0009119237568301712,-0.02174523183787966,0.0035111084937910174
0.1,100,3,0.5096333333333334,0.0015885003409925103,-3.199307267310756,0.2301431197185313,0.995688888888889,0.0014365596763461943,-0.021945527819850378,0.0051599354412616965
0.1,1024,3,0.4849666666666667,0.005337914698956257,-4.354649837029498,0.1588769824682188,0.9970148148148148,0.0003033421515472901,-0.013961557802718362,0.0006724535901648607
1.0,2,3,0.34476666666666667,0.002993882651897605,-2.41790115211388,0.15750302304079183,0.6652148148148148,0.0552456437401482,-0.8772716695604729,0.1383112350131533
1.0,10,3,0.46459999999999996,0.01118525815526844,-2.6679570468603035,0.13947969725444567,0.997362962962963,0.0001445868244144535,-0.0245489775851164,0.00032029985648085696
1.0,100,3,0.4917,0.007318469785412782,-2.8575111347465616,0.13089117448370763,0.9971407407407407,0.0011368862247673635,-0.024378682532985748,0.0025441592699112802
1.0,1024,3,0.48469999999999996,0.001997498435543836,-3.381605514638842,0.11912550936361582,0.997074074074074,0.0002984183270885719,-0.020848843012512924,0.0009195034383466936
10.0,2,3,0.23526666666666665,0.008554141297250921,-2.002395382669816,0.024893097984551273,0.26743703703703703,0.022052197710620874,-1.8755678254261061,0.04949490316746546
10.0,10,2,0.4765,0.004242640687119289,-1.607552981962844,0.07246045670920406,0.6941333333333333,0.08079873486358277,-0.8874896076665486,0.22546139425471204
10.0,100,2,0.42845,0.04334564568673538,-1.6085455006349934,0.1170484435157518,0.4839555555555556,0.08268435294674696,-1.4697382317276877,0.2248197637238625
10.0,1024,2,0.36635,0.12551145366061217,-1.7777514702402522,0.35154113007917503,0.39860000000000007,0.1631373911617497,-1.7016586349824419,0.4433578272887661
