beta,zdim,run,epochs,train_loss_toagg,valid_loss_toagg,valid_acc_toagg,train_acc_toagg
0.1,2,1,0,2.015622119626132,2.6064876029968262,0.2638,0.34357777777777776
0.1,2,1,1,1.2160945154536855,2.128920439529419,0.3036,0.4972888888888889
0.1,2,1,2,0.8018251453226263,1.9587868728637696,0.3252,0.5659333333333333
0.1,2,1,3,0.5910604008934714,1.933506978416443,0.3498,0.6937555555555556
0.1,2,1,4,0.4771729096022519,1.961642436981201,0.3514,0.7916222222222222
0.1,2,1,5,0.4061630035617135,2.0086680202484133,0.3472,0.8314222222222222
0.1,2,1,6,0.3555795793836767,2.061902763748169,0.3476,0.8378222222222222
0.1,2,1,7,0.31605891108946366,2.1176997959136963,0.3484,0.8399555555555556
0.1,2,1,8,0.2837183446667411,2.1742946853637695,0.3498,0.8414444444444444
0.1,2,1,9,0.2562518435283141,2.230684313583374,0.349,0.8423777777777778
0.1,2,1,10,0.2324787178949876,2.288148366546631,0.3484,0.8442444444444445
0.1,2,1,11,0.21140459526668895,2.3431155433654784,0.3482,0.8452444444444445
0.1,2,1,12,0.1926997582652352,2.3978808727264402,0.3488,0.8477555555555556
0.1,2,1,13,0.1757302771243182,2.4520792903900146,0.3506,0.8498222222222223
0.1,2,1,14,0.1603829511837526,2.503113684463501,0.3488,0.8491333333333333
0.1,2,1,15,0.14625538811250166,2.555142230606079,0.3502,0.8532222222222222
0.1,2,1,16,0.13327449703866784,2.6049859226226806,0.3484,0.8519555555555556
0.1,2,1,17,0.12122616275874051,2.653956344985962,0.3486,0.8533555555555555
0.1,2,1,18,0.11005398003513163,2.7000653285980225,0.3486,0.8530222222222222
0.1,2,1,19,0.09959975653344935,2.7454525436401367,0.3484,0.8547333333333333
0.1,2,1,20,0.08987456261407245,2.789863048553467,0.3482,0.8553555555555555
0.1,2,1,21,0.08081080631126057,2.8322666152954104,0.3476,0.8564666666666667
0.1,2,1,22,0.07229103393554688,2.8726522575378417,0.3472,0.857
0.1,2,1,23,0.06431159729524093,2.911781044006348,0.3476,0.8568666666666667
0.1,2,1,24,0.05686782326102257,2.9496788108825682,0.3474,0.8576666666666667
0.1,2,1,25,0.04974870308745991,2.9870392475128176,0.3472,0.8579333333333333
0.1,2,1,26,0.04311043957796964,3.021129050064087,0.347,0.8579111111111111
0.1,2,1,27,0.036816833484985614,3.0547635330200196,0.3472,0.8586666666666667
0.1,2,1,28,0.030880336973883888,3.0866322216033937,0.3474,0.8582666666666666
0.1,2,1,29,0.0253092294476249,3.1168161632537843,0.3466,0.8592222222222222
0.1,2,1,30,0.02002036277705973,3.1463053787231448,0.3474,0.8588888888888889
0.1,2,1,31,0.015068061562830751,3.173925309371948,0.3476,0.8594444444444445
0.1,2,1,32,0.010367469789765098,3.2004739448547364,0.347,0.8594888888888889
0.1,2,1,33,0.005940422890403054,3.2262143829345704,0.3474,0.8604222222222222
0.1,2,1,34,0.0017859107329086825,3.2502562362670897,0.3476,0.8600888888888889
0.1,2,1,35,-0.0022422896656123076,3.2733580879211424,0.3472,0.8603111111111111
0.1,2,1,36,-0.005976632232015783,3.295531481552124,0.3474,0.8601555555555556
0.1,2,1,37,-0.009485248823599381,3.316500992965698,0.3478,0.8605777777777778
0.1,2,1,38,-0.012856482913277366,3.336293659591675,0.3482,0.8604444444444445
0.1,2,1,39,-0.016050259026851168,3.355273223876953,0.3478,0.8608666666666667
0.1,2,1,40,-0.019049709434942767,3.373838782119751,0.3476,0.8608
0.1,2,1,41,-0.021896869228102946,3.3908767700195312,0.3482,0.8607777777777778
0.1,2,1,42,-0.024619800071113487,3.4073832580566408,0.3482,0.8607777777777778
0.1,2,1,43,-0.027170662711967122,3.4231173614501955,0.3482,0.8613111111111111
0.1,2,1,44,-0.02962476901303638,3.4377566013336183,0.3482,0.8611555555555556
0.1,2,1,45,-0.03195290434116667,3.452081731414795,0.3476,0.8611777777777778
0.1,2,1,46,-0.034125989545712415,3.4651397956848147,0.3472,0.8609333333333333
0.1,2,1,47,-0.03617587696097114,3.4776360137939455,0.3474,0.8616
0.1,2,1,48,-0.03813222650018605,3.489672740936279,0.3474,0.8618666666666667
0.1,2,1,49,-0.03996553263230757,3.5011439311981203,0.3472,0.8618444444444444
0.1,2,1,50,-0.04172215803482316,3.5120389835357666,0.3472,0.8613555555555555
0.1,2,1,51,-0.043404386297139254,3.5222481498718263,0.3474,0.8617777777777778
0.1,2,1,52,-0.04495108382918618,3.532075287246704,0.3468,0.8620666666666666
0.1,2,1,53,-0.04650413349758495,3.5413791805267336,0.347,0.8619333333333333
0.1,2,1,54,-0.04791610231182792,3.550240835189819,0.3472,0.862
0.1,2,1,55,-0.04922955461198633,3.5588818809509277,0.3476,0.8622
0.1,2,1,56,-0.05052804669033397,3.5668864093780517,0.347,0.8622888888888889
0.1,2,1,57,-0.05180853277824142,3.5748160175323487,0.347,0.8622666666666666
0.1,2,1,58,-0.05296891091140834,3.582129498672485,0.3472,0.8622888888888889
0.1,2,1,59,-0.05409496059200981,3.589457074737549,0.347,0.8623777777777778
0.1,2,1,60,-0.05513700411319733,3.5960061374664307,0.3468,0.8623111111111111
0.1,2,1,61,-0.056168715564771134,3.6025239437103274,0.347,0.862
0.1,2,1,62,-0.05711521889296445,3.6086520912170412,0.3474,0.8622888888888889
0.1,2,1,63,-0.05804190014275638,3.614458891296387,0.347,0.8621333333333333
0.1,2,1,64,-0.058937987807664,3.6199767208099365,0.347,0.8625777777777778
0.1,2,1,65,-0.05976265215873718,3.625241905975342,0.347,0.8626222222222222
0.1,2,1,66,-0.06057882883169434,3.6302996002197268,0.3474,0.8623111111111111
0.1,2,1,67,-0.06131060423580083,3.6351131599426267,0.347,0.8622222222222222
0.1,2,1,68,-0.06202554800510406,3.6397229335784913,0.347,0.8626222222222222
0.1,2,1,69,-0.06270414327708157,3.6440049743652345,0.347,0.8626444444444444
0.1,2,1,70,-0.06336556036905809,3.648139658355713,0.347,0.8624222222222222
0.1,2,1,71,-0.06397816927974874,3.6520771270751955,0.3472,0.8625333333333334
0.1,2,1,72,-0.06458418043309992,3.6559046382904055,0.3472,0.8624888888888889
0.1,2,1,73,-0.06510501441955567,3.6594700157165527,0.347,0.8626666666666667
0.1,2,1,74,-0.06567359627160159,3.662870227432251,0.3468,0.8625333333333334
0.1,2,1,75,-0.06621322810974987,3.6661060340881346,0.3466,0.8626
0.1,2,1,76,-0.06664391213221983,3.6693583152770994,0.3468,0.8626
0.1,2,1,77,-0.06715360331643712,3.6722962543487547,0.347,0.8625555555555555
0.1,2,1,78,-0.06759954966848547,3.675112981414795,0.3468,0.8627555555555556
0.1,2,1,79,-0.06803935701088472,3.6778021381378174,0.347,0.8626888888888888
0.1,2,1,80,-0.06840907589549368,3.6803913242340087,0.347,0.8628
0.1,2,1,81,-0.06880261879942634,3.6828021755218505,0.347,0.8628888888888889
0.1,2,1,82,-0.06915488303141161,3.6851341228485106,0.3472,0.8628222222222223
0.1,2,1,83,-0.06951515304608778,3.6874520610809327,0.347,0.8629555555555556
0.1,2,1,84,-0.06986313591762022,3.689491053009033,0.3468,0.8627555555555556
0.1,2,1,85,-0.0701514714977958,3.6915531284332275,0.3472,0.8628
0.1,2,1,86,-0.07048588896447962,3.6935132595062257,0.347,0.8631555555555556
0.1,2,1,87,-0.07076936206817627,3.6953439086914064,0.3468,0.8628666666666667
0.1,2,1,88,-0.07102812460010702,3.697025308227539,0.347,0.8628444444444444
0.1,2,1,89,-0.07128592473810369,3.698688928604126,0.3472,0.8629777777777777
0.1,2,1,90,-0.07157303217974575,3.700356149673462,0.3468,0.8629333333333333
0.1,2,1,91,-0.07180042649290778,3.70196538772583,0.3472,0.863
0.1,2,1,92,-0.07202442171519453,3.703383307647705,0.347,0.8630222222222222
0.1,2,1,93,-0.07223961570533839,3.7047799125671386,0.3472,0.863
0.1,2,1,94,-0.07245237672979181,3.7060580383300783,0.347,0.8630666666666666
0.1,2,1,95,-0.07266425406228412,3.7073746055603025,0.3474,0.8630666666666666
0.1,2,1,96,-0.07283515455451879,3.7085800132751463,0.347,0.8628444444444444
0.1,2,1,97,-0.07301487068262967,3.7097263748168947,0.3476,0.8628888888888889
0.1,2,1,98,-0.07320141258564862,3.7108856540679933,0.347,0.8629555555555556
0.1,2,1,99,-0.07336668865247206,3.7118814151763915,0.3472,0.8630666666666666
0.1,2,0,0,3.057881309856068,3.37523546333313,0.1724,0.2796666666666667
0.1,2,0,1,1.6198662929361516,2.3991199142456057,0.2682,0.3683777777777778
0.1,2,0,2,0.8709137334910306,2.0746358806610106,0.3374,0.5891555555555555
0.1,2,0,3,0.5350995385343378,1.99499098777771,0.3722,0.6485555555555556
