beta,zdim,run,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_acc_toagg,test_acc_toagg,train_loglike_toagg,test_loglike_toagg,train_z_norm_toagg,test_z_norm_toagg,train_z_mean_norm_toagg,test_z_mean_norm_toagg,train_z_std_toagg,test_z_std_toagg
0.1,2,1,3.2762722969055176,-2.9965971946716308,0.045655722814527434,6.318525218963622,0.9999555555555556,0.3277,-0.03164676288430874,-4.377904323734093,6.305881283499978,4.735822010040283,2.22257906740362,1.7728553533554077,0.0002968848500379616,0.00029320968315005297
0.1,2,0,3.284710678187284,-2.6891985893249517,0.03721734762869098,6.011126613616942,1.0,0.3396,-0.0257961131865352,-4.1638945214853065,6.044109387831255,4.581328296661377,2.153461456298828,1.7189570903778075,0.0003195340276843953,0.0003233324037864804
0.1,2,2,3.224989891052246,-2.237041664123536,0.09693812443451448,5.558969688415528,1.0,0.3415,-0.06719038370539575,-3.85249585608248,8.615625164725564,6.88912525177002,2.5359709587964145,2.121864318847656,0.00042203952828210527,0.00042409895104356116
0.1,1024,1,3.316248752854087,-0.4863265037536621,0.005679272961887446,3.8082545280456537,1.0,0.5201,-0.003936975914346837,-2.6388313771101197,1.9115590128031643,1.8935150384902957,1.2138876481489702,1.2093346357345578,0.011193871667439287,0.01114833988249302
0.1,1024,0,3.3158201412721118,-0.4827265739440918,0.006107871399515055,3.804654598236084,1.0,0.5162,-0.0042335861702678355,-2.634481563518285,1.9654486179351809,1.9455307006835936,1.2585868564519016,1.253889846801758,0.010374898598952726,0.01032315082848072
0.1,1024,2,3.316544619473544,-0.4501957893371582,0.0053834107873792,3.7721238136291504,1.0,0.5158,-0.003731549249695597,-2.613783977258848,1.8395531340078877,1.8233692169189453,1.2147053588520398,1.21092426776886,0.009338053366677328,0.009315460175275802
0.1,10,1,3.3173681714318017,0.1541586399078369,0.004559877011078325,3.1677693843841555,1.0,0.4971,-0.003160649775057916,-2.1969426520472406,1.355925722555681,1.168698263168335,0.9280235469341278,0.8463233113288879,0.0016211954749781976,0.001629614899866283
0.1,10,0,3.316435391252691,0.12501349449157714,0.005492614984342998,3.196914529800415,1.0,0.4869,-0.003807130892515143,-2.214284150424247,1.617204926230691,1.4091247081756593,1.0337091305039146,0.9380277752876282,0.0013485745717348025,0.0013485632836818696
0.1,10,2,3.316825584931807,0.239925479888916,0.005102412309497596,3.082002544403076,1.0,0.4928,-0.003536846791821804,-2.1371487009408767,1.518888906999068,1.3359797954559327,0.9985934821042148,0.9105289578437804,0.0013779048564505172,0.001386447926051915
0.1,100,0,3.317431991750544,-0.04404487609863282,0.004496047315611081,3.365972900390625,1.0,0.5194,-0.003116280904573755,-2.332908385745311,1.6389650214802136,1.6032992124557497,1.0010649209672755,0.9901057362556458,0.004118467088450086,0.004113680310547352
0.1,100,1,3.31765231219205,-0.06751408576965331,0.004275707803158598,3.3894421100616454,1.0,0.5189,-0.0029637363242493732,-2.346393591837458,1.6354017474434592,1.6026000738143922,0.9625837748700922,0.9500515341758728,0.004347673342139883,0.004345913790166378
0.1,100,2,3.316832206465981,-0.12837367057800292,0.005095808766782285,3.450301694869995,1.0,0.5144,-0.003532271986434686,-2.390840856214833,1.7566994482820684,1.711690998077393,1.0387774272398516,1.0251177072525024,0.00439347328872166,0.004390764888375998
0.01,1024,1,3.3201988501982256,-0.8676438331604004,0.0017291542026214304,4.1895718574523935,1.0,0.5357,-0.0011986339050582575,-2.9040551782105886,5.267103823748502,5.203532123565674,1.8849576657468623,1.876548767089844,0.13887155530127612,0.13752594888210296
0.01,1024,0,3.3199773051522,-0.8832801818847656,0.0019507334535856817,4.205208206176758,1.0,0.5283,-0.0013520913570938822,-2.9126935573060315,5.53215234929865,5.487095355987549,1.979735943404111,1.9743804931640625,0.12945772301067004,0.1285064548254013
0.01,1024,2,3.320020307194103,-0.7657706737518309,0.0019077333801595323,4.087698698043823,1.0,0.5389,-0.0013223849665262065,-2.8323725943042586,5.601710016077215,5.547490215301512,1.9892108332027088,1.9823564291000368,0.1428176076574759,0.14147959649562836
0.01,2,0,3.2971886829896406,-3.133422374725342,0.024739296598867932,6.455350399017334,1.0,0.3575,-0.017147088910460444,-4.470495939043944,9.276975414969703,7.003975296020508,2.6522540070793847,2.1270332813262938,0.0003868338681058958,0.00039331006119027736
0.01,2,1,3.285608540881764,-3.3470343589782714,0.036319456486539406,6.668962383270264,0.9997111111111112,0.33299999999999996,-0.0251751550300809,-4.622100990449078,9.185247204520486,6.935694694519043,2.628900517116893,2.1439018726348875,0.000271249726541679,0.00027337925857864317
0.01,2,2,3.24964760650288,-2.2521574020385744,0.07228041541847316,5.574085426330567,0.9999777777777776,0.3496,-0.05009979306607785,-3.8623527638957316,9.363628040660512,7.581462574005128,2.6706866567785092,2.2358726024627686,0.0003344750875839964,0.00033689805422909563
0.01,10,0,3.320244214751504,-0.2712968349456787,0.0016838080641305582,3.5932248592376714,1.0,0.514,-0.0011671008332970758,-2.489279289360152,4.922712152654475,4.396600341796875,1.7990456982092424,1.6502132177352906,0.001106456837574528,0.0011012780014425516
0.01,10,1,3.32044424793937,-0.4425976276397705,0.0014837606841782956,3.7645256519317623,1.0,0.5125,-0.0010284528667721274,-2.609547825672841,4.302365064620972,3.826038694381714,1.6566743904894048,1.5428807258605957,0.0014010045137679713,0.0014043635921552778
0.01,10,2,3.3201973763379184,-0.2739125728607178,0.0017306475730782206,3.59584059715271,1.0,0.512,-0.0011996197692098573,-2.4927680812911195,4.744243144989014,4.229718112945557,1.7508439313281663,1.624719762802124,0.0009971325687894766,0.0010024672839790583
0.01,100,0,3.3208241137591274,-0.7192494392395019,0.0011039122261784294,4.041177463531493,1.0,0.5313,-0.0007651406916263639,-2.7997730234751628,3.9829313213175,3.8549044609069822,1.557578910480846,1.5311601638793946,0.004610521697693251,0.004604801069945097
0.01,100,1,3.32094803723422,-0.6103129386901855,0.0009799859941598368,3.9322409629821777,1.0,0.5308,-0.0006793027721294738,-2.7235778932797565,3.611237677660856,3.5128708839416505,1.543615769256245,1.5268743991851808,0.0034163658591833982,0.0034178494010120627
0.01,100,2,3.3206554651260376,-0.6567878723144531,0.0012725816817361524,3.978715896606445,1.0,0.5306,-0.0008820902684274713,-2.7559022508640294,4.232172640887174,4.103801250457764,1.656749199737202,1.6330303192138669,0.00412317693487487,0.004121808335185051
1.0,1024,0,3.2864398414438423,0.4276381015777588,0.035488188605416915,2.8942899227142336,1.0,0.509,-0.024598189803362244,-2.00319835793195,1.0427946502512149,1.038424515724182,0.9282817298715764,0.9265420794487,0.006549875082617456,0.006548570282757282
1.0,1024,1,3.2896345528689297,0.4544482231140137,0.03229346278716217,2.8674798011779785,1.0,0.509,-0.022384542322165517,-1.986682329495668,1.030564627864144,1.0251659870147705,0.917774037881331,0.9157370686531068,0.006640429820188067,0.006638155970722437
1.0,1024,2,3.289408705451272,0.5145154476165772,0.03251933509653265,2.807412576675415,1.0,0.514,-0.022541523995764246,-1.9447237175982024,1.034173954616893,1.0273446321487427,0.933104932308197,0.9303081393241882,0.0064955323468893775,0.006493794079869985
1.0,100,0,3.2986990321766245,0.39275012016296384,0.02322899584065784,2.929177904129028,1.0,0.4976,-0.0161009566492187,-2.0304369234368207,1.0099788010120392,0.9988347172737122,0.7096161137927662,0.7028250694274902,0.004781188464469529,0.00478028180077672
1.0,100,1,3.298212940042669,0.33779163360595704,0.023715078153393486,2.984136390686035,1.0,0.4981,-0.016437846356168368,-2.067750642711684,1.006338945843957,0.9970731258392334,0.75221740657633,0.7463312864303588,0.00471615065312521,0.004722363688051701
1.0,100,2,3.2967281991785224,0.31241779327392577,0.025199831971390682,3.0095102310180666,1.0,0.494,-0.017467392233223612,-2.0866579082128416,1.0096722082658247,0.9975043535232544,0.7197363159873269,0.7129211187362671,0.004970268812030554,0.004973543342202903
1.0,10,0,3.3145896413109517,0.2378300189971924,0.0073383697731928405,3.0840980052948,1.0,0.4786,-0.005086477230462583,-2.138043424667728,0.9727691655809227,0.8762120127677917,0.7948665618896484,0.7362791061401367,0.0014821091687984087,0.0014856740832328796
1.0,10,1,3.315722172910517,0.10881094932556153,0.0062058364379812365,3.2131170749664313,1.0,0.4852,-0.0043014721710438655,-2.2274451272970146,0.9762371697209098,0.8908549904823303,0.7778823863376271,0.7353141903877258,0.0017041909476657483,0.0017133952351287007
1.0,10,2,3.3146474578163843,0.3518986225128174,0.007280529900030656,2.970029401779174,1.0,0.4915,-0.005046696175685829,-2.0599404176974305,0.9682665331797168,0.8832826614379883,0.7960050783374093,0.7495483279228209,0.0013773151705126193,0.0013802297879010438
1.0,2,0,2.8637946518984707,-0.4420156478881836,0.4581334062597968,3.7639436721801762,0.9619555555555556,0.3272,-0.3175508613480643,-2.6078844744153846,1.414466137235815,1.138951539993286,1.0284041274677624,0.8463057994842529,0.00048350502567535096,0.0004922158608678728
1.0,2,1,2.8738600340756504,-0.4109477996826172,0.44806801730936224,3.73287582397461,0.9043777777777776,0.3283,-0.310576157427596,-2.5872684425497674,1.2658169107003645,1.005990219116211,0.9628573249686848,0.8053601384162903,0.0006548329150642861,0.0006608102936297655
1.0,2,2,2.87880493294109,-0.4864269733428955,0.443123072385788,3.808354997634888,0.9993333333333332,0.3393,-0.30713822554465536,-2.6389218519624733,1.6776138598268682,1.4319389581680295,1.1098164590922268,0.9618641018867492,0.0007563396700954236,0.0007593568647280335
10.0,10,0,2.99869966506958,0.9777666568756104,0.3232283754782243,2.344161367416382,0.9887777777777778,0.4744,-0.22404135110581827,-1.6245118708716415,0.9642973054539072,0.9359460115432741,0.7853755815462633,0.7750100374221802,0.0030049006242982364,0.003011121926829219
10.0,10,2,3.031479055231268,0.978614616394043,0.29044897041537543,2.3433134078979494,0.9901777777777778,0.4821,-0.20132714464699614,-1.6232555673575642,0.9621919312260367,0.9295598268508912,0.7915205982598391,0.7712435126304626,0.002831577619707043,0.002843902353197336
10.0,2,0,1.5418137203563342,0.6770724773406982,1.7801143039356584,2.6448555469512938,0.5877777777777777,0.3102,-1.2338829759634204,-1.8333508528832343,0.2266135744073174,0.21804312765598294,0.3918454240668904,0.3724494934082031,0.0017429401209069926,0.0017593059921637176
10.0,2,1,1.4723282022909685,0.6217992782592774,1.849599822001024,2.700128746032715,0.4931111111111111,0.287,-1.282065880565904,-1.8723166446746795,0.17696110091426154,0.1706117123365402,0.35914260149002075,0.3335967540740967,0.0020095271227711983,0.002023363206535578
10.0,2,2,1.2722846594723791,0.6871308803558349,2.0496433648196133,2.6347971439361566,0.4631777777777778,0.2978,-1.4206671697230802,-1.8264982721295209,0.2707249806685881,0.2595970153808594,0.42676989192312415,0.4037502765655517,0.0026171996723860502,0.0026295395102351907
10.0,100,0,2.169691031629389,1.2272771835327148,1.1522370034998113,2.094650840759277,0.8136666666666666,0.4949,-0.7986564052020135,-1.451955700515115,0.9684820527380164,0.9662710666656494,0.7009397907690569,0.7000648379325867,0.005811244969002225,0.005815632548183203
