data,encoder,run,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg,train_sharp_mag_toagg,train_path_norm_toagg,train_y_pred_ent_toagg,train_d_H_Q_xCz_toagg,train_H_Q_xCz_toagg,train_d_H_Qm_xCz_toagg,train_d_H_Qp_xCz_toagg
svhn,width32,4,0.760141364474493,-3.5122289087610112,0.998361923829458,-0.013391860383630712,12422.391410986165,171.47730694431553,0.055120784789323814,12.989697219789493,15.624900928763454,16.065331806508144,6.255015417586925
svhn,width32,0,0.7621004917025199,-3.3212865535927185,0.9986652712684472,-0.012661664245198823,12945.382716049382,167.37477828588752,0.053287606686353683,13.043621137160663,15.732863448386967,16.065828086793886,6.426307478616403
svhn,width32,1,0.7604486785494776,-3.5495907529935766,0.999378137750072,-0.009935174819690659,14513.162629757786,170.7707882202779,0.04766283929347992,12.939316623894744,15.763700566550558,16.064987581829687,5.594917382380759
svhn,width32,3,0.7623309772587584,-3.24249457733746,0.9977855636953784,-0.017306847174040532,15175.275934196394,178.2206541411517,0.06492243707180023,13.005386899608052,15.721552959708278,16.0649550238321,5.085737906685171
svhn,width32,2,0.7629071911493547,-3.4027766370554566,0.9991961292866784,-0.010194284644890124,13127.07007677637,180.0268100693616,0.047517426311969764,13.026157068651777,15.689879291741425,16.0666183205538,5.717675534329673
svhn,width2048,3,0.8457667486170867,-1.7164422307727172,0.9954497884151612,-0.014318913172509376,54782.74612244898,248.66502945730025,0.025744281709194183,13.174969310908356,15.998241025348044,16.060232103332993,9.968355884847712
svhn,width2048,2,0.8460740626920713,-1.7626939669154322,0.9986349365245484,-0.005950142749924316,35876.301379932505,168.4957459589114,0.018817301839590076,13.102491097856861,15.927347405012267,16.055043908052667,4.763904066972954
svhn,width2048,4,0.8510295021511985,-1.7696749847080566,0.9977552289514796,-0.007467211941208798,38043.573696145126,133.48802468526904,0.017398357391357422,13.084818219029627,15.849586361138394,16.054992084355312,3.7147408770036328
svhn,width2048,0,0.8522971727105101,-1.6565104892863072,0.9985135975489527,-0.005765596249310093,42472.284482417635,232.4333153696991,0.0185813270509243,13.101373812949008,15.963055521942847,16.0579957000969,6.792852767678196
svhn,width2048,1,0.8481484326982176,-1.7377455634104264,0.997512551000288,-0.008595286392772563,47721.858844444454,257.00159593376065,0.02067345380783081,13.18175956814788,15.989238088445148,16.061629214028056,8.354487311932468
svhn,width128,3,0.8135371850030731,-2.3474655089637215,0.9986197691525991,-0.006494773432617553,11173.1719458897,110.52783957136093,0.02182762511074543,12.412761518197467,15.326803192611813,16.054692763690802,0.34751300017038983
svhn,width128,2,0.8151121696373694,-2.303110772343312,0.9988017776159924,-0.005807625371558595,11173.1719458897,111.04392782250635,0.019713560119271282,12.520131961319796,15.403398802114088,16.05446874633316,0.1991623899964399
svhn,width128,0,0.8166103257529195,-2.3164357446984516,0.9985590996648009,-0.0070536411537950325,11318.749198853096,104.90534703215799,0.02121138945221901,12.429729565169461,15.250918055689613,16.05269600624262,0.4184304672156193
svhn,width128,1,0.8106561155500922,-2.3548451493660667,0.9988927818476891,-0.005848735233692022,9510.89342403628,105.82969717752907,0.01991635374724865,12.344173350075419,15.190314869547999,16.05474316796591,0.3345692332169806
svhn,width128,4,0.8100030731407498,-2.378055485122204,0.998195082738014,-0.0071059616382465295,11173.1719458897,114.91899320825955,0.021260637789964683,12.342141491498134,15.137954926305964,16.052892847578654,0.2840052982864454
svhn,width512,4,0.832821143208359,-2.0905000018230986,0.999014120823285,-0.004528046446257399,22184.74842975207,142.8476365419638,0.015447371639311312,12.893533418344893,15.622493189434671,16.044819351314572,0.8978053520816242
