data,datasize,encoder,train_DIQ_yz_mean,train_DIQ_yz_std,test_DIQ_yz_mean,test_DIQ_yz_std,train_H_Q_yCz_mean,train_H_Q_yCz_std,test_H_Q_yCz_mean,test_H_Q_yCz_std,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,train_loglike_mean,train_loglike_std,test_loglike_mean,test_loglike_std,run_count
cifar10,b128,mlp,3.3219276298176155,3.429252962310222e-07,-6.85378761291504,0.7845036718711752,4.1165908609999943e-07,3.3392099883838493e-07,10.17571563720703,0.7845036718711739,1.0,0.0,0.51712,0.0059650649619262105,-4.094604480518329e-07,3.369902442522646e-07,-6.765025634659454,0.4497735075122879,5
cifar10,b128,resnet18,3.32192802212455,4.84654675133208e-09,-2.331660747528076,0.10452580451759774,3.900420956720103e-08,6.978376539893636e-09,5.6535887718200675,0.10452580451759795,1.0,0.0,0.6222799999999999,0.0026929537686339994,-3.957788275209218e-08,5.710023043870452e-09,-3.9101748536066667,0.07151895791830731,5
cifar10,b2048,mlp,3.287658715248108,0.0076091897987383495,-0.4622073459625245,0.1462824104677087,0.03426930274475705,0.007609196598174076,3.7841353702545164,0.1462824104677086,0.9999155555555556,7.436978013633584e-05,0.5028,0.006344288770224768,-0.023752835592826375,0.005272718167239207,-2.621128790825728,0.10095618989226109,5
cifar10,b2048,resnet18,3.321848665584217,1.2404718355065996e-05,-1.8085107803344727,0.125945545625092,7.935697087139653e-05,1.2414050809433489e-05,5.130438804626466,0.12594554562509191,1.0,0.0,0.49976000000000004,0.006665808278070983,-5.5070130581530126e-05,8.603035385449947e-06,-3.5536978724326374,0.08717114174833596,5
cifar10,b32,mlp,3.3219187346371735,5.403135719219854e-06,-10.96014621734619,0.2891267295217491,9.299171954973478e-06,5.389208553545554e-06,14.282074241638181,0.2891267295217491,1.0,0.0,0.5210999999999999,0.0045315560241488825,-7.306352239332783e-06,3.848062136463508e-06,-8.663134441571263,0.10033532121668873,5
cifar10,b32,resnet18,3.321923310106451,1.0474659225973245e-05,-0.6407094573974609,0.08183315698945623,4.721217850070261e-06,1.0474135300484217e-05,3.962637481689453,0.08183315698945624,0.9999955555555555,9.938079900064172e-06,0.7260800000000001,0.0013718600511713366,-3.27850306946958e-06,7.269422175990722e-06,-2.741032029751942,0.053918446365533064,5
cifar10,b512,mlp,3.321909499168396,1.6720157351448974e-05,-5.234426250457764,0.6901591205655331,1.8532973883173495e-05,1.6716918474154358e-05,8.556354274749754,0.6901591205655321,1.0,0.0,0.5050600000000001,0.0018406520583749673,-1.2924366133272797e-05,1.1578511570554428e-05,-5.8195326530231934,0.43969163284952234,5
cifar10,b512,resnet18,3.321927380561829,4.781653296838325e-07,-2.813088626861572,0.18319694541439552,6.102317840372961e-07,4.904800235517673e-07,6.135016651153565,0.18319694541439543,1.0,0.0,0.53468,0.006919320775914336,-5.461197857691029e-07,3.3619526577110405e-07,-4.247305754177449,0.12641964846022033,5
cifar10,b8,mlp,3.3219188343394883,1.6422929910059439e-06,-19.4318675994873,0.8014395252865063,9.18673248716831e-06,1.6484426908108312e-06,22.753795623779297,0.8014395252865086,1.0,0.0,0.5280000000000001,0.004656178690729122,-7.2590072036364795e-06,1.1755733957367465e-06,-10.983496366389318,0.15194444748601282,5
cifar10,b8,resnet18,3.32187096639113,9.953057245150913e-05,0.05861341476440429,0.10625002679841103,5.706093112958374e-05,9.953154586082249e-05,3.263314609527588,0.10625002679841102,0.999991111111111,1.2171612389083429e-05,0.80766,0.0032423756722502195,-3.9600997783140196e-05,6.907587627752195e-05,-2.2467566284205285,0.07164060004023842,5
svhn,b128,mlp,3.2263963164705225,1.3996720739262776e-05,-0.29477649468642014,0.11955852474145717,4.815983839679657e-05,1.3992305722872603e-05,3.5212209774897643,0.11955852474145717,0.9999817991536606,6.7830549437296e-06,0.8259142593730793,0.0007090527262539483,-3.417611320637783e-05,9.898847959999833e-06,-2.2315292754671843,0.0573139607545418,5
svhn,b128,resnet18,3.2264144521771057,1.7276200317934142e-07,2.018844465109018,0.03646001050693581,3.002292134302973e-05,1.578080216340975e-07,1.2076000241132883,0.036460011671353154,0.9999848326280503,0.0,0.9080593116164721,0.002737484324652164,-2.1340831543914898e-05,1.0737832825460074e-07,-0.8301697846594639,0.025768702907421177,5
