experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,run,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg,train_sharp_mag_toagg,train_var_grad_toagg,train_path_norm_toagg,train_y_pred_ent_toagg,train_d_H_Q_xCz_toagg,train_H_Q_xCz_further_toagg,train_H_Q_xCz_toagg,train_d_H_Q_xCz_nofreeze_toagg,train_d_H_Q_xCz_maxep_toagg,train_d_H_Q_xCz_minep_toagg,train_H_Q_xCzy_toagg,test_d_H_Q_xCz_test_toagg,train_d_H_Qm_xCz_toagg,train_d_H_Qp_xCz_toagg,train_d_H_Q-_xCz_toagg,train_d_H_Q+_xCz_toagg
corrBatchBob,svhn,b2048,False,False,decay,adam,5e-05,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,3,128,2,0,0,best,0.7688229870928088,-1.5607301419472843,0.9999848326280504,-5.353971563364962e-05,5679295.598016528,,12817.541105843977,0.0005291847046464682,13.163060395292533,,15.99504139626673,,,,,,16.060449895932692,14.617109616597496,,
corrBatchBob,svhn,b2048,False,False,decay,adam,5e-05,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,2,128,2,0,0,best,0.7864167178856791,-1.3755504645479308,0.9999848326280504,-5.0022843036236716e-05,5679295.598016528,,11360.226758300205,0.0004895443562418221,13.170174081196153,,16.023098997367445,,,,,,16.05366394870965,15.030797211698784,,
corrBatchBob,svhn,b2048,False,False,decay,adam,5e-05,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,0,128,2,0,0,best,0.763560233558697,-1.5388998077665028,0.9999848326280504,-5.272203726233408e-05,6002225.23678924,,13745.506902257188,0.0005312171997502446,13.188232274018517,,16.00964851527251,,,,,,16.05405959787295,14.908193780470267,,
corrBatchBob,svhn,b2048,False,False,decay,adam,5e-05,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,1,128,2,0,0,best,0.7796173939766441,-1.4202093142689156,0.9999848326280504,-5.09174920942124e-05,5783980.871643801,,14220.307169678157,0.0005004744743928313,13.182648311289705,,16.02122184842132,,,,,,16.056079420932505,15.129900895347893,,
corrBatchBob,svhn,b2048,False,False,decay,adam,5e-05,last,0,erm,0,resnet18,128,2,0,128,2,0,1,0,1024,0,3,default,4,128,2,0,0,best,0.7696296865396435,-1.517088709232587,0.9999848326280504,-5.345351186817358e-05,6116008.9654681375,,12436.744911752432,0.0005146691109985113,13.180301821509072,,16.016809323037318,,,,,,16.060723031214042,14.769993397616599,,
corrBatchBob,svhn,b2048,False,False,decay,adam,5e-05,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,0,128,2,0,0,best,0.7954056545789797,-1.1964085869031365,0.999180961914729,-0.02518555151697264,1117317.19458897,,30.930914900500944,0.13403847813606262,13.03609252160834,,15.746157328287758,,,,,,16.03745926258176,3.551059488178224,,
corrBatchBob,svhn,b2048,False,False,decay,adam,5e-05,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,1,128,2,0,0,best,0.7969038106945298,-1.2142856887429845,0.9996814851890612,-0.01933356975544389,1193046.4711111109,,30.430546963151393,0.11168202757835388,13.044567677401755,,15.704423105993936,,,,,,16.04079038043355,4.254687175270199,,
corrBatchBob,svhn,b2048,False,False,decay,adam,5e-05,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,4,128,2,0,0,best,0.8008988936693301,-1.1668144163299683,0.99943880723787,-0.02409329288736848,1276744.142687277,,28.84069847753128,0.12855523824691772,12.980275198470714,,15.658435200535974,,,,,,16.037181381107303,4.686101822890053,,
corrBatchBob,svhn,b2048,False,False,decay,adam,5e-05,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,3,128,2,0,0,best,0.7969038106945298,-1.2038797286923029,0.9997269873049096,-0.02086769354853937,1154250.8185971512,,30.884893523358933,0.1183491200208664,12.995996260827827,,15.71460439253223,,,,,,16.036082748294803,3.0059734860131906,,
corrBatchBob,svhn,b2048,False,False,decay,adam,5e-05,last,0,erm,0,mlp,128,2,0,128,2,0,1,0,1024,0,3,default,2,128,2,0,0,best,0.7976336816226183,-1.2704428619066592,0.9997118199329602,-0.018267702395708987,1369568.6530612244,,30.971576088255905,0.10633311420679092,12.911359306453733,,15.669004832127296,,,,,,16.037846143855607,3.2593844463658885,,
