data,datasize,encoder,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std,train_sharp_mag_mean,train_sharp_mag_std,train_path_norm_mean,train_path_norm_std,train_y_pred_ent_mean,train_y_pred_ent_std,train_d_H_Q_xCz_mean,train_d_H_Q_xCz_std,train_H_Q_xCz_mean,train_H_Q_xCz_std,train_d_H_Qm_xCz_mean,train_d_H_Qm_xCz_std,train_d_H_Qp_xCz_mean,train_d_H_Qp_xCz_std,run_count
cifar10,b128,mlp,0.51712,0.0059650649619262105,-6.765025634659454,0.4497735075122879,1.0,0.0,-4.094604480518329e-07,3.369902442522646e-07,803353.3452610653,457357.76941471256,39.37170520866625,0.6959318317649495,8.86662437551422e-06,6.435023754855062e-06,11.552953195571899,0.3353529911640952,14.922861742973328,0.32908375127516853,15.508271904425186,0.013058751210046718,3.127100750185888,5.120603490246921,5
cifar10,b128,resnet18,0.6222799999999999,0.0026929537686339994,-3.9101748536066667,0.07151895791830731,1.0,0.0,-3.957788275209218e-08,5.710023043870452e-09,2968434.674961922,96350.33272154786,7922.792032916959,354.36704690818294,8.827084911899874e-07,1.1464665658890832e-07,12.093360326506875,0.028723463566530664,15.409519303928722,0.02208559490615624,15.535693365877325,0.0033521154284527786,13.060245266827673,0.33574765900607856,5
cifar10,b2048,mlp,0.5028,0.006344288770224768,-2.621128790825728,0.10095618989226109,0.9999155555555556,7.436978013633584e-05,-0.023752835592826375,0.005272718167239207,713162.99085442,45163.48190937732,31.428323310437513,0.9563825914512568,0.16004127264022827,0.02667980937659538,11.533537942712957,0.12901395261530432,14.86800976449793,0.07397050822350518,15.504938879880038,0.002437512683274444,1.5709253607825802,0.3518462820604495,5
cifar10,b2048,resnet18,0.49976000000000004,0.006665808278070983,-3.5536978724326374,0.08717114174833596,1.0,0.0,-5.5070130581530126e-05,8.603035385449947e-06,12345181.530549023,2212033.225285991,14258.56928495022,604.8028049229688,0.0008853437379002571,0.00012824671503845262,12.128065640276128,0.024727413235058966,15.433547150004994,0.012150675198632225,15.537735603072425,0.00474924572240026,14.452072969349947,0.21526927739267063,5
cifar10,b32,mlp,0.5210999999999999,0.0045315560241488825,-8.663134441571263,0.10033532121668873,1.0,0.0,-7.306352239332783e-06,3.848062136463508e-06,2192959.3838286186,240871.24773031776,46.015593483503444,0.8105596675335738,0.00010884566654567607,4.198372596785848e-05,12.167807730761439,0.031180542469242994,15.477506949684837,0.024056282004873194,15.544986787709323,0.003758454999989752,15.159065636721525,0.23636766903441117,5
cifar10,b32,resnet18,0.7260800000000001,0.0013718600511713366,-2.741032029751942,0.053918446365533064,0.9999955555555555,9.938079900064172e-06,-3.27850306946958e-06,7.269422175990722e-06,1045954.898003901,83356.45886815837,2115.8627175845572,108.51445949557083,4.7835812864605025e-06,9.846252957648926e-06,12.06625058163296,0.021154570974367272,15.408590557358483,0.08344085950635818,15.54714966253801,0.006225326655694922,11.564232606237585,2.3789505287702815,5
cifar10,b512,mlp,0.5050600000000001,0.0018406520583749673,-5.8195326530231934,0.43969163284952234,1.0,0.0,-1.2924366133272797e-05,1.1578511570554428e-05,1027636.1108144054,90458.95772373724,36.520647977285435,1.022907085152754,0.00021865882736165075,0.0001836176030213953,11.586548614501954,0.1274766636834925,14.967768220467999,0.11046291371578695,15.50708254033869,0.0031250197996391723,1.6029174602844498,0.5614021044992432,5
cifar10,b512,resnet18,0.53468,0.006919320775914336,-4.247305754177449,0.12641964846022033,1.0,0.0,-5.461197857691029e-07,3.3619526577110405e-07,7307225.535470052,488470.17132027727,13408.536147105202,650.9869351350051,1.1797518891398794e-05,6.6933703765878555e-06,12.11905569596724,0.021625625177962907,15.445279470357027,0.01826509491985616,15.53791715448553,0.002312211900772785,14.573347399451517,0.13945603239946255,5
cifar10,b8,mlp,0.5280000000000001,0.004656178690729122,-10.983496366389318,0.15194444748601282,1.0,0.0,-7.2590072036364795e-06,1.1755733957367465e-06,1498677.1874876604,97240.67162270476,61.740875396006935,0.9658782174433952,0.00010734562965808436,1.5371970775406187e-05,12.14982195117257,0.009824891938005295,15.473714347319168,0.021476963702678813,15.543324875831605,0.004666576702668431,14.310602231459185,0.5925262215780315,5
cifar10,b8,resnet18,0.80766,0.0032423756722502195,-2.2467566284205285,0.07164060004023842,0.999991111111111,1.2171612389083429e-05,-3.9600997783140196e-05,6.907587627752195e-05,285305.61473807966,15378.612601900986,388.7772161427558,6.6457183856360045,1.226388646102805e-05,1.1120688195606312e-05,11.985453178665855,0.01985312293501134,15.264681339263916,0.0270400983924382,15.545636094700205,0.001781583673342518,10.464564376527614,0.5172911178448784,5
svhn,b128,mlp,0.8259142593730793,0.0007090527262539483,-2.2315292754671843,0.0573139607545418,0.9999817991536606,6.7830549437296e-06,-3.417611320637783e-05,9.898847959999833e-06,225394.75660913545,13791.54047138007,38.632512591978035,0.733723223560688,0.00011353627196513117,4.1412056281261385e-05,12.753612759316614,0.08300874732194087,15.465044206427049,0.05951899906908331,16.032624530052953,0.002723534279515558,0.39677908466767897,0.2756246421920789,5
svhn,b128,resnet18,0.9080593116164721,0.002737484324652164,-0.8301697846594639,0.025768702907421177,0.9999848326280503,0.0,-2.1340831543914898e-05,1.0737832825460074e-07,741267.231340048,44567.659262438574,2720.9816961842507,201.10572166859993,3.4274458448635416e-05,1.2411458844436986e-06,13.153911617190337,0.03657724828446361,16.007342969909196,0.01140923381841591,16.060704185426697,0.002929564782039613,14.039016697018644,0.1556694741187471,5
svhn,b2048,mlp,0.7975491702519975,0.0020405530195080368,-1.2103662565150102,0.037941451053122605,0.9995480123159061,0.00023628993632562152,-0.021549562020806674,0.0029932071123710546,1222185.4560091465,101439.6430393608,30.411725990559695,0.9048975696029494,0.11979159563779831,0.011497300173787523,12.993658192952475,0.05326848429650241,15.698524971895438,0.035499315306525316,16.037871983254604,0.0017582904473980082,3.751441283743511,0.7008640708855616,5
svhn,b2048,resnet18,0.7736094038106944,0.009217605396167654,-1.4824956875526443,0.08033617616124643,0.9999848326280503,0.0,-5.213111997892128e-05,1.5811206131027852e-06,5852161.253986847,197831.01902442635,12916.065369566391,1123.511108694409,0.0005130179692059755,1.8053056279641705e-05,13.176883376661195,0.010121847252745996,16.013164016073066,0.01137660837925254,16.056995178932368,0.003405337569676207,14.891198980346207,0.20406547126994218,5
svhn,b32,mlp,0.8308696988322065,0.0008795103867562842,-2.6907076217711534,0.05856120981555151,0.9999787656792707,8.30751175465944e-06,-3.215674217537809e-05,1.0062608195389172e-05,54065.15272174221,5640.581214579529,45.05811670700209,0.7887574207688403,5.118449043948203e-05,1.7609148613872937e-05,12.372330579831617,0.19712596895271048,15.226260296134063,0.14227524334295838,16.026297977358794,0.0036588968038301487,0.4507765630014645,0.47079242598251864,5
svhn,b32,resnet18,0.9404655808236017,0.0008924187234261452,-0.6829420117550998,0.011259782669116905,0.9999848326280503,0.0,-2.111813086136147e-05,2.085686753118487e-08,254427.36793214883,10998.571292084609,387.7734652458299,28.936399033940187,3.123365386272781e-05,2.207583198416634e-07,13.16670576731364,0.036809628626609456,15.978561399888624,0.015101832982806186,16.06333349656689,0.0019136667525478256,13.121598978560101,0.24917753750582716,5
svhn,b512,mlp,0.8087123540258144,0.003061546583311848,-1.9924152620773732,0.07572508665336092,0.9999817991536606,6.7830549437296e-06,-0.00016256123644022572,4.9346898682862866e-05,889847.5577676585,67834.94285826603,34.88854515005196,1.041534493869574,0.0017571256496012211,0.0005472368028131006,12.94030580890271,0.0573580914899924,15.667707415144573,0.05687362292345563,16.039031918843584,0.0022883478469154467,2.292824414534162,0.41331599191731655,5
svhn,b512,resnet18,0.8491625691456669,0.002702491607947327,-1.1703739057365337,0.04418542805535437,0.9999848326280503,0.0,-2.170113640772421e-05,1.472884395299166e-07,2407167.175657962,220638.35292202406,9051.63332159355,832.5363441145579,4.196375593892299e-05,3.0810710977838376e-06,13.190619517481604,0.023046268849828924,16.02323878384376,0.0054223634445665515,16.06147128851839,0.002568788397462315,15.259955931079478,0.0915862963415811,5
svhn,b8,mlp,0.8247848801475108,0.006588431853645552,-3.6087484564706664,0.44249813642099717,0.9999757322048808,8.3075117546113e-06,-3.40177678263251e-05,1.0241562091231144e-05,81531.7433598745,74617.65973690597,60.47380977016504,2.403831944297728,5.937518581049517e-05,5.367460834870112e-06,12.730432099334953,0.28941809128891954,15.536995404265648,0.20461911513163658,16.034527129535526,0.00811230693973819,1.6379740509413936,1.7649069829468949,5
svhn,b8,resnet18,0.9523970497848803,0.0012959903120185838,-0.7774958791947854,0.0175814852936589,0.9999848326280503,0.0,-2.114908936541027e-05,9.443288651559954e-08,165670.54286395726,29745.832288146925,81.67806452426035,2.502470991843208,3.090469690505415e-05,2.2789823119510158e-07,12.926430178797522,0.03494916788987058,15.593755520961082,0.039304542275764916,16.064214665021083,0.0010745299330539315,12.683966564208038,0.23126494117215501,5
