beta,clfs,run,gamma,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg
0.1,distractor,0,0.0,0.4698,-1.637121055653249,0.4856666666666667,-1.6107106305888854
0.1,distractor,1,0.0,0.4796,-1.5948713306905702,0.4962888888888889,-1.5729624344518616
0.1,distractor,2,0.0,0.4817,-1.6041063984717243,0.4933111111111111,-1.5830423392521114
0.1,default,1,-0.55,0.3983,-5.513828158996353,0.9961333333333332,-0.01685649248071105
0.1,default,0,-0.55,0.3993,-5.172742459234639,0.9957777777777778,-0.020808926361477
0.1,default,2,-0.55,0.3939,-5.513807913810497,0.9957111111111112,-0.019561025413251342
0.01,default,2,-0.55,0.4132,-5.245147290800208,0.9980222222222224,-0.012732642241367168
0.01,default,0,-0.55,0.4235,-5.018778887674593,0.9982888888888888,-0.012444416771988069
0.01,default,1,-0.55,0.4007,-5.9366942527229245,0.9973555555555556,-0.01205856359971145
0.01,distractor,2,0.0,0.5937,-1.2366467363770617,0.6082666666666666,-1.2067655178491714
0.01,distractor,1,0.0,0.6139,-1.1854619242656683,0.6241333333333333,-1.1612355721687575
0.01,distractor,0,0.0,0.603,-1.2081531275754451,0.6152,-1.1820671209767384
0.0,default,1,-0.55,0.3935,-7.0503939748769024,0.9966222222222222,-0.011613472976566655
0.0,default,0,-0.55,0.3893,-6.661643836603807,0.9970444444444444,-0.01119894366083777
0.0,default,2,-0.55,0.3972,-6.794314835304773,0.9973555555555556,-0.010259326218260091
0.0,distractor,1,0.0,0.639,-1.1023133324221486,0.6624888888888889,-1.0321848449968167
0.0,distractor,0,0.0,0.6346,-1.101379704691002,0.6672222222222223,-1.012320904304609
0.0,distractor,2,0.0,0.6342,-1.1067385931573874,0.6705111111111111,-1.0132676717001117
100.0,distractor,2,0.0,0.1552,-2.28323670386076,0.15526666666666664,-2.282117881242434
100.0,distractor,1,0.0,0.1568,-2.276787904512882,0.16484444444444446,-2.2744907318327163
100.0,default,2,-0.55,0.1869,-2.190353163647652,0.19011111111111112,-2.1936678783125347
100.0,default,1,-0.55,0.2217,-2.1725958622097967,0.22397777777777775,-2.171388104128837
1.0,distractor,0,0.0,0.3394,-2.0277406693667173,0.34353333333333336,-2.0215899327503313
1.0,distractor,1,0.0,0.3463,-2.0096756211876867,0.35844444444444445,-1.9970171491867963
1.0,distractor,2,0.0,0.3116,-2.0789121913135054,0.3128222222222222,-2.074263538544708
1.0,default,0,-0.55,0.3897,-3.880093705567688,0.9963555555555555,-0.028141484356463662
1.0,default,1,-0.55,0.3939,-3.6914931045416073,0.9970222222222224,-0.02789506146765311
1.0,default,2,-0.55,0.3959,-3.472432251490186,0.9980222222222224,-0.030173430838326507
10.0,distractor,2,0.0,0.2073,-2.2440039266228675,0.20693333333333333,-2.239689910883374
10.0,distractor,0,0.0,0.2155,-2.2447252337813377,0.21537777777777775,-2.239572150908576
10.0,distractor,1,0.0,0.1967,-2.2469314894795422,0.1983111111111111,-2.2447310630083086
10.0,default,0,-0.55,0.4325,-1.6126799522369606,0.6202888888888889,-1.1311273102540544
10.0,default,2,-0.55,0.4334,-1.6092230994791261,0.5599777777777778,-1.2773498758060855
