beta,clfs,gamma,run_count,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std
0.0,default,-0.55,3,0.3933333333333333,0.003952636251077685,-6.835450882261827,0.19761274825090935,0.9970074074074073,0.00036806691107575505,-0.011023914285221504,0.0006938334256177831
0.0,distractor,0.0,3,0.6359333333333334,0.0026633312473917556,-1.1034772100901795,0.002862757380288312,0.6667407407407406,0.004032726206728669,-1.0192578070005125,0.011205147283445977
0.01,default,-0.55,3,0.4124666666666667,0.011417676354378462,-5.400206810399243,0.4781994827597217,0.9978888888888889,0.0004807401700618585,-0.012411874204355562,0.00033821556412322486
0.01,distractor,0.0,3,0.6035333333333334,0.0101105555402922,-1.2100872627393917,0.025647161769754782,0.6158666666666667,0.007954313993746498,-1.1833560703315558,0.02279232395445495
0.1,default,-0.55,3,0.39716666666666667,0.002872861523522049,-5.400126177347164,0.19692007655257937,0.995874074074074,0.00022698597697832088,-0.019075481418479798,0.00202045740454994
0.1,distractor,0.0,3,0.47703333333333336,0.0063516402081142355,-1.612032928271848,0.022212208824420956,0.49175555555555556,0.005479298864762037,-1.5889051347642862,0.019545098012365782
1.0,default,-0.55,3,0.39316666666666666,0.0031643851430148695,-3.681339687199827,0.20402030339633623,0.9971333333333335,0.0008388704928079304,-0.02873665888748109,0.0012503664619160817
1.0,distractor,0.0,3,0.3324333333333333,0.01836908634998848,-2.0387761606226364,0.03591325954492925,0.3382666666666667,0.0232626336311431,-2.0309568734939454,0.03946588211834756
10.0,default,-0.55,2,0.43295,0.0006363961030679012,-1.6109515258580434,0.0024443640266281733,0.5901333333333334,0.04264639564756203,-1.20423859303007,0.10339496766433555
10.0,distractor,0.0,3,0.20650000000000002,0.009425497334358539,-2.245220216627916,0.0015252580384153276,0.20687407407407407,0.008533487652925598,-2.2413310416000862,0.002945093552876428
100.0,default,-0.55,2,0.2043,0.024607315985291853,-2.181474512928724,0.012556308262280845,0.20704444444444442,0.02394734965618439,-2.182527991220686,0.01575417940859766
100.0,distractor,0.0,2,0.156,0.0011313708498984691,-2.2800123041868208,0.004559989749395691,0.16005555555555556,0.006772511615364511,-2.278304306537575,0.005393209068734401
