beta,clfs,run,gamma,epochs,train_loss_toagg,valid_loss_toagg,valid_acc_toagg,train_acc_toagg
0.1,distractor,0,0.0,0,2.4094207340664333,2.345502247238159,0.1144,0.10791111111111111
0.1,distractor,0,0.0,1,2.319689255905151,2.296764842224121,0.1494,0.13357777777777777
0.1,distractor,0,0.0,2,2.2712982216729056,2.2503183795928954,0.169,0.16315555555555555
0.1,distractor,0,0.0,3,2.221780717171563,2.2042471981048584,0.2008,0.1944
0.1,distractor,0,0.0,4,2.1760836773342556,2.160701470184326,0.237,0.2216
0.1,distractor,0,0.0,5,2.135688168885973,2.1238511291503905,0.2634,0.2501777777777778
0.1,distractor,0,0.0,6,2.0965754719628227,2.086942929458618,0.2818,0.27344444444444443
0.1,distractor,0,0.0,7,2.0611735858917237,2.0506409156799315,0.2952,0.29346666666666665
0.1,distractor,0,0.0,8,2.028368484242757,2.025268381881714,0.3108,0.31493333333333334
0.1,distractor,0,0.0,9,1.9982947781032987,1.9996446479797363,0.3308,0.33097777777777776
0.1,distractor,0,0.0,10,1.9719014058219062,1.9695905475616455,0.3488,0.3451111111111111
0.1,distractor,0,0.0,11,1.9436302911334569,1.944198632621765,0.3548,0.3552
0.1,distractor,0,0.0,12,1.9184390726301406,1.925637522506714,0.3634,0.369
0.1,distractor,0,0.0,13,1.8988795943578085,1.9081608892440796,0.3656,0.3788888888888889
0.1,distractor,0,0.0,14,1.8792356896506415,1.8852185724258423,0.3814,0.38735555555555556
0.1,distractor,0,0.0,15,1.8624888697942097,1.8760151796340943,0.3846,0.39442222222222223
0.1,distractor,0,0.0,16,1.846884195751614,1.8558780893325806,0.3928,0.4000888888888889
0.1,distractor,0,0.0,17,1.8317034292221068,1.8453585018157959,0.391,0.40628888888888887
0.1,distractor,0,0.0,18,1.8163334977467855,1.8261751020431518,0.3994,0.41071111111111114
0.1,distractor,0,0.0,19,1.8002404382069905,1.8141117841720582,0.4064,0.41602222222222224
0.1,distractor,0,0.0,20,1.7881720394982232,1.8195333709716797,0.3962,0.4214888888888889
0.1,distractor,0,0.0,21,1.7780396768569946,1.7999344804763795,0.4102,0.42444444444444446
0.1,distractor,0,0.0,22,1.7692502982457479,1.7889793504714966,0.412,0.4273777777777778
0.1,distractor,0,0.0,23,1.758525597360399,1.7776524339675903,0.423,0.43166666666666664
0.1,distractor,0,0.0,24,1.749592737367418,1.767940320777893,0.4248,0.4367333333333333
0.1,distractor,0,0.0,25,1.7417119211408827,1.7620723821640014,0.4302,0.4388666666666667
0.1,distractor,0,0.0,26,1.73448847433726,1.75840004863739,0.4296,0.44093333333333334
0.1,distractor,0,0.0,27,1.727668348121643,1.7535874494552612,0.4306,0.4424444444444444
0.1,distractor,0,0.0,28,1.7212445093154907,1.7426914951324464,0.4356,0.4464666666666667
0.1,distractor,0,0.0,29,1.7156067593892415,1.7387100368499755,0.4376,0.44937777777777776
0.1,distractor,0,0.0,30,1.7095755957285563,1.735599236869812,0.439,0.4498666666666667
0.1,distractor,0,0.0,31,1.704950427224901,1.7281459663391114,0.439,0.45235555555555557
0.1,distractor,0,0.0,32,1.69970709944831,1.7266386205673219,0.4404,0.4542888888888889
0.1,distractor,0,0.0,33,1.6946103604634604,1.7193734201431274,0.444,0.45653333333333335
0.1,distractor,0,0.0,34,1.690635066371494,1.7162673233032226,0.4488,0.4580444444444444
0.1,distractor,0,0.0,35,1.6866825945748223,1.7137574365615844,0.4444,0.4593555555555556
0.1,distractor,0,0.0,36,1.682919160525004,1.7093762462615967,0.4472,0.46075555555555553
0.1,distractor,0,0.0,37,1.679678971396552,1.710104520225525,0.448,0.4624666666666667
0.1,distractor,0,0.0,38,1.6759288817511664,1.7027812105178832,0.4472,0.46268888888888887
0.1,distractor,0,0.0,39,1.6725280494054158,1.7035973224639893,0.4484,0.46413333333333334
0.1,distractor,0,0.0,40,1.669769377178616,1.6968330018997193,0.4498,0.4661111111111111
0.1,distractor,0,0.0,41,1.66621578095754,1.6945211492538452,0.4504,0.46675555555555553
0.1,distractor,0,0.0,42,1.663743520503574,1.6935565813064575,0.4536,0.46786666666666665
0.1,distractor,0,0.0,43,1.6607536102718776,1.6921323135375976,0.4548,0.46786666666666665
0.1,distractor,0,0.0,44,1.658680288696289,1.6891553911209107,0.4508,0.4697777777777778
0.1,distractor,0,0.0,45,1.6562577494515314,1.6859561487197876,0.4554,0.46995555555555557
0.1,distractor,0,0.0,46,1.654045659743415,1.6850476539611816,0.4596,0.4703555555555556
0.1,distractor,0,0.0,47,1.651845273929172,1.6817992319107056,0.456,0.47255555555555556
0.1,distractor,0,0.0,48,1.6497297160254585,1.6803961711883544,0.456,0.4731111111111111
0.1,distractor,0,0.0,49,1.6479707315233019,1.6801860515594482,0.4592,0.4733111111111111
0.1,distractor,0,0.0,50,1.6459766099294026,1.676788904953003,0.4602,0.4734888888888889
0.1,distractor,0,0.0,51,1.6446298818588256,1.6757223226547242,0.4586,0.47315555555555555
0.1,distractor,0,0.0,52,1.642535880894131,1.67447196559906,0.4584,0.4749777777777778
0.1,distractor,0,0.0,53,1.641140713098314,1.6729803302764892,0.4602,0.4746888888888889
0.1,distractor,0,0.0,54,1.6395947554058499,1.6725976236343383,0.459,0.4749333333333333
0.1,distractor,0,0.0,55,1.6381893214755587,1.6703328512191773,0.4608,0.4771111111111111
0.1,distractor,0,0.0,56,1.636846140522427,1.6684789546966552,0.4618,0.4761111111111111
0.1,distractor,0,0.0,57,1.6353399209128485,1.6685270601272584,0.462,0.4769333333333333
0.1,distractor,0,0.0,58,1.6346947954601712,1.6673621980667115,0.4614,0.47704444444444444
0.1,distractor,0,0.0,59,1.6331805621465048,1.6662843639373779,0.4646,0.4785333333333333
0.1,distractor,0,0.0,60,1.6321342886182997,1.6646878969192505,0.4602,0.47786666666666666
0.1,distractor,0,0.0,61,1.6299406790839301,1.6624685470581055,0.4636,0.47942222222222225
0.1,distractor,0,0.0,62,1.6281717267990112,1.6609967655181885,0.4646,0.4808
0.1,distractor,0,0.0,63,1.6270456187354194,1.6602505350112915,0.4648,0.4804888888888889
0.1,distractor,0,0.0,64,1.626215571975708,1.659732925605774,0.4686,0.4798
0.1,distractor,0,0.0,65,1.625336678483751,1.6590941814422608,0.466,0.48035555555555554
0.1,distractor,0,0.0,66,1.6244133786943225,1.657980634689331,0.4668,0.48144444444444445
0.1,distractor,0,0.0,67,1.6235267435709635,1.657845651435852,0.4686,0.48073333333333335
0.1,distractor,0,0.0,68,1.6231464430703058,1.6567822847366334,0.4642,0.4802222222222222
0.1,distractor,0,0.0,69,1.6220249408721923,1.6560437417984009,0.4682,0.48133333333333334
0.1,distractor,0,0.0,70,1.621450178443061,1.655515619277954,0.4676,0.48155555555555557
0.1,distractor,0,0.0,71,1.6206983446121215,1.6548039613723755,0.4668,0.4822222222222222
0.1,distractor,0,0.0,72,1.6203676492479113,1.6543681146621705,0.4664,0.48106666666666664
0.1,distractor,0,0.0,73,1.6194919317033556,1.6536251865386964,0.467,0.4822444444444444
0.1,distractor,0,0.0,74,1.6191476539611815,1.6536601949691772,0.4668,0.48217777777777776
0.1,distractor,0,0.0,75,1.6184207891676161,1.6530592855453492,0.4682,0.48288888888888887
0.1,distractor,0,0.0,76,1.618240023358663,1.6526622606277466,0.4662,0.48344444444444445
0.1,distractor,0,0.0,77,1.6177290977478027,1.6520657007217407,0.4678,0.48246666666666665
0.1,distractor,0,0.0,78,1.6171627267837525,1.651768120956421,0.4658,0.4828
0.1,distractor,0,0.0,79,1.616730640856425,1.6508634963989257,0.4684,0.48388888888888887
0.1,distractor,0,0.0,80,1.616515489663018,1.6509759111404418,0.4682,0.4832444444444444
0.1,distractor,0,0.0,81,1.6160634128358629,1.6503001070022583,0.4684,0.4837111111111111
0.1,distractor,0,0.0,82,1.6154427637736002,1.6504733427047729,0.4698,0.48404444444444444
0.1,distractor,0,0.0,83,1.6151174383587308,1.6496658142089844,0.4686,0.4836888888888889
0.1,distractor,0,0.0,84,1.614844344774882,1.6497615720748902,0.4678,0.4837111111111111
0.1,distractor,0,0.0,85,1.614560654619005,1.6496166437149047,0.4678,0.4846888888888889
0.1,distractor,0,0.0,86,1.6142788797166612,1.649118162727356,0.468,0.4834888888888889
