experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,run_count,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,valid_acc_mean,valid_acc_std,train_acc_mean,train_acc_std
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,128,1,0,-0.55,0,3,1.1996595781615287,0.019655898723572554,2.078752718480428,0.09701877151277481,0.41006666666666663,0.0043096790290384195,0.47643703703703705,0.01219142247209096
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,128,1,0,-0.55,1,3,0.11917669330094799,0.04066527676432233,2.3259269317626954,0.13092474057916106,0.43766666666666665,0.0057838856604650515,0.8698814814814814,0.006793981844280342
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,128,1,0,-0.55,2,3,-0.1075011788216504,0.03174176528314059,2.5918823659261068,0.1702871151941578,0.44333333333333336,0.004801388688008242,0.9582296296296297,0.003419647901399696
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,128,1,0,-0.55,3,3,-0.19764881679939503,0.02761221287505526,2.824720787302653,0.1712971926864104,0.44473333333333337,0.005300314456080261,0.981051851851852,0.002242169731059772
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,128,1,0,-0.55,4,3,-0.25073598250186807,0.023662110065035828,3.0555530143737797,0.16687560683685804,0.44506666666666667,0.004001666319589048,0.9893555555555555,0.0013533679980964502
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,128,1,0,-0.55,5,3,-0.29008854438247106,0.021650514477070594,3.2766211580912277,0.16969405165069668,0.4452,0.0023999999999999924,0.9929925925925925,0.0011730162309999306
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,128,1,0,-0.55,6,3,-0.32262215495181806,0.021097352370535546,3.4722754360198973,0.1611278221052663,0.4431333333333333,0.002343786110832915,0.9944518518518518,0.0006907978330095155
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,128,1,0,-0.55,7,3,-0.3501717513113311,0.02047254567199225,3.6604033082326257,0.18719461902476658,0.4428666666666667,0.004981298358192707,0.9953111111111111,0.0002036700308869492
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,128,1,0,-0.55,8,3,-0.37517351678212485,0.02068999162336178,3.8196125938415526,0.1498938673986354,0.4408666666666667,0.002386070689089805,0.9960222222222223,0.0005828834243823944
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,128,1,0,-0.55,9,3,-0.3971631995692398,0.021400627258266112,3.9828661711374913,0.185434949277977,0.4422,0.00373630833845391,0.9958962962962962,0.0002813839987143742
QminimalityTasks,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,default,128,1,0,-0.55,10,3,-0.41924577874559343,0.02115989897782958,4.1402682788848875,0.18849544069891813,0.4376,0.004599999999999993,0.9962222222222222,0.0002703450013466247
